model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y,alpha,s2,alpha_shrunk
Qwen3-0.6B-Base,amh_Ethi,0.2966666666666667,Ethi,Afro-Asiatic,8.5541337799261,5.9294,0.016666666666666666,-0.1204712763428688,-0.06042369082570076,Afro-Asiatic,other,-2.7128008038608074,-0.22009849022096306,0.3631577038398295,-6.059017821835868e-05
Qwen3-0.6B-Base,som_Latn,0.26666666666666666,Latn,Afro-Asiatic,3.781970673912552,1.7642,0.06,-0.18230745196342468,-0.07067234069108963,Afro-Asiatic,Latn,-3.7841896339182615,-0.17792846564544273,2.4545454545454564,-7.248642154246233e-06
Qwen3-0.6B-Base,arb_Arab,0.51,Arab,Afro-Asiatic,10.841073612355865,1.7374,0.7966666666666666,-0.03227681294083595,0.08795904368162155,Afro-Asiatic,Arab,-0.6337237600891445,1.1388334197268934,0.028868796039125715,0.0039312418030577785
Qwen3-0.6B-Base,arb_Latn,0.25666666666666665,Latn,Afro-Asiatic,10.841073612355865,1.7374,,,,Afro-Asiatic,Latn,-4.304065093204169,-2.7208634332893236,6.587837837837826,-4.130068465957573e-05
Qwen3-0.6B-Base,heb_Hebr,0.39,Hebr,Afro-Asiatic,9.693476506485494,1.8212,0.6566666666666666,-0.029699407517910004,0.09066983312368393,Afro-Asiatic,other,-1.4718165345580525,0.27117582037967836,0.06116175978588154,0.0004426510458395007
Qwen3-1.7B-Base,amh_Ethi,0.31666666666666665,Ethi,Afro-Asiatic,8.5541337799261,5.9294,0.013333333333333334,-0.12843753397464752,-0.057646509259939194,Afro-Asiatic,other,-2.3272777055844176,-0.8288968609463576,0.19550304878048794,-0.0004237647961395258
Qwen3-1.7B-Base,som_Latn,0.25666666666666665,Latn,Afro-Asiatic,3.781970673912552,1.7642,0.07,-0.1368151158094406,-0.049203962087631226,Afro-Asiatic,Latn,-4.304065093204169,-1.6921253939331349,6.587837837837826,-2.568520581507858e-05
Qwen3-1.7B-Base,arb_Arab,0.65,Arab,Afro-Asiatic,10.841073612355865,1.7374,0.9466666666666667,-8.318424079334363e-05,0.15253020823001862,Afro-Asiatic,Arab,0.13353139262452257,0.9117671034387758,0.021763392857142853,0.004170290994635091
Qwen3-1.7B-Base,arb_Latn,0.28,Latn,Afro-Asiatic,10.841073612355865,1.7374,,,,Afro-Asiatic,Latn,-3.178053830347945,-2.589173639434884,0.8101851851851838,-0.00031953856328761866
Qwen3-1.7B-Base,heb_Hebr,0.6066666666666667,Hebr,Afro-Asiatic,9.693476506485494,1.8212,0.8833333333333333,0.015099437907338142,0.16331788897514343,Afro-Asiatic,other,-0.09785579000375869,0.6508150959321879,0.022733463510246615,0.002850268841801726
Qwen3-4B-Base,amh_Ethi,0.4066666666666667,Ethi,Afro-Asiatic,8.5541337799261,5.9294,0.056666666666666664,-0.09911583364009857,-0.027485745027661324,Afro-Asiatic,other,-1.3316359485820264,-0.8834577269206745,0.05235858413741537,-0.001684105168747985
Qwen3-4B-Base,som_Latn,0.25333333333333335,Latn,Afro-Asiatic,3.781970673912552,1.7642,0.08333333333333333,-0.13764311373233795,-0.03935088962316513,Afro-Asiatic,Latn,-4.304065093204169,-2.742328016909842,6.587837837837826,-4.162650108573016e-05
Qwen3-4B-Base,arb_Arab,0.82,Arab,Afro-Asiatic,10.841073612355865,1.7374,0.9066666666666666,-0.0022843957412987947,0.14847064018249512,Afro-Asiatic,Arab,1.1526795099383849,0.8807125977759305,0.026290140556068528,0.0033372789201710214
Qwen3-4B-Base,arb_Latn,0.2966666666666667,Latn,Afro-Asiatic,10.841073612355865,1.7374,,,,Afro-Asiatic,Latn,-2.7128008038608074,-3.1741232359244536,0.3631577038398295,-0.0008737937839445027
Qwen3-4B-Base,heb_Hebr,0.7233333333333334,Hebr,Afro-Asiatic,9.693476506485494,1.8212,0.8766666666666667,0.008319278247654438,0.16484703123569489,Afro-Asiatic,other,0.536986449804663,0.2354547127639015,0.021880071366601105,0.0010712190549392144
Qwen3-8B-Base,amh_Ethi,0.4766666666666667,Ethi,Afro-Asiatic,8.5541337799261,5.9294,0.12666666666666668,-0.08498737961053848,-0.011823076754808426,Afro-Asiatic,other,-0.8367381001722014,-0.7086700398300836,0.033240101492076776,-0.0021255785318825817
Qwen3-8B-Base,som_Latn,0.25333333333333335,Latn,Afro-Asiatic,3.781970673912552,1.7642,0.09,-0.11860663443803787,-0.03176070377230644,Afro-Asiatic,Latn,-4.304065093204169,-3.062438178229077,6.587837837837826,-4.648553541784972e-05
Qwen3-8B-Base,arb_Arab,0.87,Arab,Afro-Asiatic,10.841073612355865,1.7374,0.9466666666666667,0.02242252044379711,0.16670022904872894,Afro-Asiatic,Arab,1.5621850275835547,0.9701079541018662,0.03264328023693268,0.0029627696036823832
Qwen3-8B-Base,arb_Latn,0.3566666666666667,Latn,Afro-Asiatic,10.841073612355865,1.7374,,,,Afro-Asiatic,Latn,-1.7969542861051588,-2.57838687948804,0.09136298777525904,-0.0028190494780307865
Qwen3-8B-Base,heb_Hebr,0.7966666666666666,Hebr,Afro-Asiatic,9.693476506485494,1.8212,0.9166666666666666,0.03481314331293106,0.1889142096042633,Afro-Asiatic,other,0.9889925636508868,0.3673506652908912,0.02458239265269501,0.0014883105964027688
OLMo-2-0425-1B,amh_Ethi,0.2733333333333333,Ethi,Afro-Asiatic,8.5541337799261,11.1132,0.01,-0.10885105282068253,-0.06501533836126328,Afro-Asiatic,other,-3.4385849137337767,1.5555870947953054,1.2954034824939167,0.00012007587135615408
OLMo-2-0425-1B,som_Latn,0.29333333333333333,Latn,Afro-Asiatic,3.781970673912552,1.7769,0.056666666666666664,-0.08685576915740967,-0.01929933950304985,Afro-Asiatic,Latn,-2.7916369172104756,2.7828556424771116,0.4144802947415429,0.0006712464817689258
OLMo-2-0425-1B,arb_Arab,0.25,Arab,Afro-Asiatic,10.841073612355865,3.274,0.12666666666666668,-0.07074402272701263,-0.005410997197031975,Afro-Asiatic,Arab,-4.304065093204169,-0.40613358320506565,6.587837837837826,-6.1648059208662455e-06
OLMo-2-0425-1B,arb_Latn,0.25,Latn,Afro-Asiatic,10.841073612355865,3.274,,,,Afro-Asiatic,Latn,-4.304065093204169,-0.5954891031062579,6.587837837837826,-9.039081977534976e-06
OLMo-2-0425-1B,heb_Hebr,0.2833333333333333,Hebr,Afro-Asiatic,9.693476506485494,4.3273,0.02666666666666667,-0.07171106338500977,-0.008548700250685215,Afro-Asiatic,other,-3.0680529351336174,0.9002875534755086,0.6671511627906979,0.00013492483847361757
