model,mean_acc,PaR@10,multilingual_sharpe,tail_alpha
Qwen3-8B-Base,0.7595890410958903,0.4123809523809524,3.6027644041672304,0.0005824131546682342
Qwen3-4B-Base,0.7117808219178082,0.3619047619047619,3.0595852847966247,0.0007536390225726604
Llama-3.1-8B,0.5489497716894978,0.3171428571428571,2.1612416582763,0.0009928796093057188
Qwen3-1.7B-Base,0.5481278538812786,0.2885714285714286,2.154098580950718,0.0015093658929049754
Yi-1.5-9B,0.5292694063926942,0.27714285714285714,1.651431542258208,0.0013653188978243898
Mistral-7B-v0.3,0.4128767123287671,0.2585714285714285,1.2352697200028582,0.0017835198908050583
Qwen3-0.6B-Base,0.4150228310502283,0.2571428571428571,1.6047542702837378,0.0015728009876157978
Falcon3-7B-Base,0.3596803652968037,0.2509523809523809,0.9247774116291981,0.00033790699837456646
OLMo-2-1124-7B,0.3436986301369863,0.2442857142857143,1.0412903595702239,0.0006045861971100044
SmolLM2-1.7B,0.28890410958904117,0.24047619047619048,1.138764700778569,0.00020878346902547166
granite-3.1-8b-base,0.37662100456621,0.23904761904761904,1.1105462552789056,0.0006739884384880669
salamandra-7b,0.31123287671232874,0.22523809523809527,1.2318022962817632,0.0003343268120717019
OLMo-2-0425-1B,0.2671232876712329,0.22238095238095237,0.6185659878159011,0.00019794314523851188
EuroLLM-1.7B,0.25657534246575336,0.21571428571428572,0.29897015727185416,1.2959638042041558e-05
bloom-7b1,0.2415525114155251,0.21,-0.4972471245434065,2.2223279787731707e-05
bloom-1b7,0.25310502283105024,0.20428571428571426,0.12872555371661568,4.901472673520321e-05
salamandra-2b,0.24666666666666667,0.19380952380952382,-0.11796339729772608,1.1614737525140565e-05
