model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y
Qwen3-0.6B-Base,acm_Arab,0.4066666666666667,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-1.3316359485820264
Qwen3-0.6B-Base,arz_Arab,0.3233333333333333,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-2.222163525683472
Qwen3-0.6B-Base,ceb_Latn,0.33666666666666667,Latn,Austronesian,,,,,,Austronesian,Latn,-2.03520828670301
Qwen3-0.6B-Base,fin_Latn,0.39,Latn,Uralic,10.461273505456898,1.7471,0.41333333333333333,-0.06295087188482285,0.05018266290426254,Uralic,Latn,-1.4718165345580525
Qwen3-0.6B-Base,hin_Deva,0.36666666666666664,Deva,Indo-European,10.225085947081105,4.2175,0.38,-0.07424554973840714,0.01901366002857685,Indo-European,Deva,-1.6916760106710726
Qwen3-0.6B-Base,ita_Latn,0.58,Latn,Indo-European,11.218657350111846,1.3051,0.97,0.03823678940534592,0.1947302222251892,Indo-European,Latn,-0.24116205681688824
Qwen3-0.6B-Base,khm_Khmr,0.30666666666666664,Khmr,Austroasiatic,8.873125289337338,5.2412,0.06,-0.09396259486675262,-0.02210882119834423,other,other,-2.5043247356451026
Qwen3-0.6B-Base,lvs_Latn,0.42,Latn,Balto-Slavic,9.894602930159628,2.1688,0.48,-0.06584028899669647,0.05783069506287575,Balto-Slavic,Latn,-1.2272296664902034
Qwen3-0.6B-Base,npi_Deva,0.31666666666666665,Deva,Indo-European,9.314204818644845,4.2745,0.09666666666666666,-0.08946482092142105,-0.006353830453008413,Indo-European,Deva,-2.3272777055844176
Qwen3-0.6B-Base,pol_Latn,0.5,Latn,Balto-Slavic,11.069183544489329,1.7446,0.7733333333333333,-0.024338997900485992,0.10378936678171158,Balto-Slavic,Latn,-0.6931471805599454
Qwen3-0.6B-Base,slv_Latn,0.4633333333333333,Latn,Balto-Slavic,9.903501694149961,1.791,0.6866666666666666,-0.03430616110563278,0.08687815070152283,Balto-Slavic,Latn,-0.9225212816247911
Qwen3-0.6B-Base,swe_Latn,0.4766666666666667,Latn,Indo-European,10.585304823582218,1.4982,0.89,0.025871360674500465,0.15311791002750397,Indo-European,Latn,-0.8367381001722014
Qwen3-0.6B-Base,tso_Latn,0.2733333333333333,Latn,Afro-Asiatic,,,,,,Afro-Asiatic,Latn,-3.4385849137337767
Qwen3-0.6B-Base,xho_Latn,0.27,Latn,Atlantic-Congo,,1.8378,0.04666666666666667,-0.1747792512178421,-0.06787436455488205,Atlantic-Congo,Latn,-3.5973122605884447
Qwen3-0.6B-Base,afr_Latn,0.4633333333333333,Latn,Indo-European,9.04883387717687,1.4949,0.6666666666666666,-0.047154609113931656,0.10458170622587204,Indo-European,Latn,-0.9225212816247911
Qwen3-0.6B-Base,asm_Beng,0.31333333333333335,Beng,Indo-European,7.923181284977745,,,,,Indo-European,other,-2.38343718962314
Qwen3-0.6B-Base,ces_Latn,0.49,Latn,Balto-Slavic,10.755192300065602,2.0635,0.8533333333333334,-0.005069301463663578,0.11969370394945145,Balto-Slavic,Latn,-0.7537718023763801
Qwen3-0.6B-Base,fra_Latn,0.54,Latn,Indo-European,11.504243358607456,1.2989,0.9233333333333333,-0.01114707998931408,0.15303577482700348,Indo-European,Latn,-0.46134556650262076
Qwen3-0.6B-Base,hin_Latn,0.29333333333333333,,,,,,,,other,other,-2.7916369172104756
Qwen3-0.6B-Base,jav_Latn,0.3466666666666667,Latn,Austronesian,,,,,,Austronesian,Latn,-1.9108188292440431
Qwen3-0.6B-Base,kin_Latn,0.26,Latn,Atlantic-Congo,,1.7992,0.04666666666666667,-0.18660826981067657,-0.07064895331859589,Atlantic-Congo,Latn,-4.304065093204169
