iso_code,bytes
af,305000000.0
am,133000000.0
ar,5400000000.0
as,7600000.0
az,1300000000.0
be,692000000.0
bg,9300000000.0
bn,860000000.0
br,21000000.0
bs,18000000.0
ca,2400000000.0
cs,4400000000.0
cy,179000000.0
da,12000000000.0
de,18000000000.0
el,7400000000.0
en,82000000000.0
eo,250000000.0
es,14000000000.0
et,1700000000.0
eu,488000000.0
fa,20000000000.0
ff,3100000.0
fi,15000000000.0
fr,14000000000.0
fy,38000000.0
ga,108000000.0
gd,22000000.0
gl,708000000.0
gn,1500000.0
gu,242000000.0
ha,61000000.0
he,6100000000.0
hi,2500000000.0
hr,5700000000.0
ht,9100000.0
hu,15000000000.0
hy,776000000.0
id,36000000000.0
ig,6600000.0
is,779000000.0
it,7800000000.0
ja,15000000000.0
jv,37000000.0
ka,1100000000.0
kk,889000000.0
km,153000000.0
kn,360000000.0
ko,14000000000.0
ku,90000000.0
ky,173000000.0
la,609000000.0
lg,7300000.0
ln,2300000.0
lo,63000000.0
lt,3400000000.0
lv,2100000000.0
mg,29000000.0
mk,706000000.0
ml,831000000.0
mn,397000000.0
mr,334000000.0
ms,2100000000.0
my,46000000.0
ne,393000000.0
nl,7900000000.0
no,13000000000.0
ns,1800000.0
om,11000000.0
or,56000000.0
pa,90000000.0
pl,12000000000.0
ps,107000000.0
pt,13000000000.0
qu,1500000.0
rm,4800000.0
ro,16000000000.0
ru,46000000000.0
sa,44000000.0
sc,143000.0
sd,67000000.0
si,452000000.0
sk,6100000000.0
sl,2800000000.0
so,78000000.0
sq,1300000000.0
sr,1500000000.0
ss,86000.0
su,15000000.0
sv,21000000000.0
sw,332000000.0
ta,1300000000.0
te,536000000.0
th,8700000000.0
tl,701000000.0
tn,8000000.0
tr,5400000000.0
ug,46000000.0
uk,14000000000.0
ur,884000000.0
uz,155000000.0
vi,28000000000.0
wo,3600000.0
xh,25000000.0
yi,51000000.0
yo,1100000.0
zh,14000000000.0
zu,4300000.0
