flores_code,model,fertility
afr_Latn,Qwen3-0.6B-Base,1.4949
afr_Latn,Qwen3-1.7B-Base,1.4949
afr_Latn,Qwen3-4B-Base,1.4949
afr_Latn,Qwen3-8B-Base,1.4949
als_Latn,Qwen3-0.6B-Base,1.8695
als_Latn,Qwen3-1.7B-Base,1.8695
als_Latn,Qwen3-4B-Base,1.8695
als_Latn,Qwen3-8B-Base,1.8695
amh_Ethi,Qwen3-0.6B-Base,5.9294
amh_Ethi,Qwen3-1.7B-Base,5.9294
amh_Ethi,Qwen3-4B-Base,5.9294
amh_Ethi,Qwen3-8B-Base,5.9294
arb_Arab,Qwen3-0.6B-Base,1.7374
arb_Arab,Qwen3-1.7B-Base,1.7374
arb_Arab,Qwen3-4B-Base,1.7374
arb_Arab,Qwen3-8B-Base,1.7374
arb_Latn,Qwen3-0.6B-Base,1.7374
arb_Latn,Qwen3-1.7B-Base,1.7374
arb_Latn,Qwen3-4B-Base,1.7374
arb_Latn,Qwen3-8B-Base,1.7374
azj_Latn,Qwen3-0.6B-Base,2.1428
azj_Latn,Qwen3-1.7B-Base,2.1428
azj_Latn,Qwen3-4B-Base,2.1428
azj_Latn,Qwen3-8B-Base,2.1428
ben_Beng,Qwen3-0.6B-Base,4.9675
ben_Beng,Qwen3-1.7B-Base,4.9675
ben_Beng,Qwen3-4B-Base,4.9675
ben_Beng,Qwen3-8B-Base,4.9675
ben_Latn^,Qwen3-0.6B-Base,4.9675
ben_Latn^,Qwen3-1.7B-Base,4.9675
ben_Latn^,Qwen3-4B-Base,4.9675
ben_Latn^,Qwen3-8B-Base,4.9675
bod_Tibt,Qwen3-0.6B-Base,6.0659
bod_Tibt,Qwen3-1.7B-Base,6.0659
bod_Tibt,Qwen3-4B-Base,6.0659
bod_Tibt,Qwen3-8B-Base,6.0659
bul_Cyrl,Qwen3-0.6B-Base,2.0365
bul_Cyrl,Qwen3-1.7B-Base,2.0365
bul_Cyrl,Qwen3-4B-Base,2.0365
bul_Cyrl,Qwen3-8B-Base,2.0365
cat_Latn,Qwen3-0.6B-Base,1.4294
cat_Latn,Qwen3-1.7B-Base,1.4294
cat_Latn,Qwen3-4B-Base,1.4294
cat_Latn,Qwen3-8B-Base,1.4294
ces_Latn,Qwen3-0.6B-Base,2.0635
ces_Latn,Qwen3-1.7B-Base,2.0635
ces_Latn,Qwen3-4B-Base,2.0635
ces_Latn,Qwen3-8B-Base,2.0635
dan_Latn,Qwen3-0.6B-Base,1.4893
dan_Latn,Qwen3-1.7B-Base,1.4893
dan_Latn,Qwen3-4B-Base,1.4893
dan_Latn,Qwen3-8B-Base,1.4893
deu_Latn,Qwen3-0.6B-Base,1.291
deu_Latn,Qwen3-1.7B-Base,1.291
deu_Latn,Qwen3-4B-Base,1.291
deu_Latn,Qwen3-8B-Base,1.291
ell_Grek,Qwen3-0.6B-Base,3.8961
ell_Grek,Qwen3-1.7B-Base,3.8961
ell_Grek,Qwen3-4B-Base,3.8961
ell_Grek,Qwen3-8B-Base,3.8961
eng_Latn,Qwen3-0.6B-Base,1.0
eng_Latn,Qwen3-1.7B-Base,1.0
eng_Latn,Qwen3-4B-Base,1.0
eng_Latn,Qwen3-8B-Base,1.0
est_Latn,Qwen3-0.6B-Base,1.7888
est_Latn,Qwen3-1.7B-Base,1.7888
est_Latn,Qwen3-4B-Base,1.7888
est_Latn,Qwen3-8B-Base,1.7888
eus_Latn,Qwen3-0.6B-Base,1.6796
eus_Latn,Qwen3-1.7B-Base,1.6796
eus_Latn,Qwen3-4B-Base,1.6796
eus_Latn,Qwen3-8B-Base,1.6796
fin_Latn,Qwen3-0.6B-Base,1.7471
fin_Latn,Qwen3-1.7B-Base,1.7471
fin_Latn,Qwen3-4B-Base,1.7471
fin_Latn,Qwen3-8B-Base,1.7471
fra_Latn,Qwen3-0.6B-Base,1.2989
fra_Latn,Qwen3-1.7B-Base,1.2989
fra_Latn,Qwen3-4B-Base,1.2989
fra_Latn,Qwen3-8B-Base,1.2989
gaz_Latn,Qwen3-0.6B-Base,1.8212
gaz_Latn,Qwen3-1.7B-Base,1.8212
gaz_Latn,Qwen3-4B-Base,1.8212
gaz_Latn,Qwen3-8B-Base,1.8212
guj_Gujr,Qwen3-0.6B-Base,6.8984
guj_Gujr,Qwen3-1.7B-Base,6.8984
guj_Gujr,Qwen3-4B-Base,6.8984
guj_Gujr,Qwen3-8B-Base,6.8984
hau_Latn,Qwen3-0.6B-Base,1.7729
hau_Latn,Qwen3-1.7B-Base,1.7729
hau_Latn,Qwen3-4B-Base,1.7729
hau_Latn,Qwen3-8B-Base,1.7729
heb_Hebr,Qwen3-0.6B-Base,1.8212
heb_Hebr,Qwen3-1.7B-Base,1.8212
heb_Hebr,Qwen3-4B-Base,1.8212
heb_Hebr,Qwen3-8B-Base,1.8212
hin_Deva,Qwen3-0.6B-Base,4.2175
hin_Deva,Qwen3-1.7B-Base,4.2175
hin_Deva,Qwen3-4B-Base,4.2175
hin_Deva,Qwen3-8B-Base,4.2175
hin_Latn^,Qwen3-0.6B-Base,4.2175
hin_Latn^,Qwen3-1.7B-Base,4.2175
hin_Latn^,Qwen3-4B-Base,4.2175
hin_Latn^,Qwen3-8B-Base,4.2175
hrv_Latn,Qwen3-0.6B-Base,1.7484
hrv_Latn,Qwen3-1.7B-Base,1.7484
hrv_Latn,Qwen3-4B-Base,1.7484
hrv_Latn,Qwen3-8B-Base,1.7484
hun_Latn,Qwen3-0.6B-Base,1.8957
hun_Latn,Qwen3-1.7B-Base,1.8957
hun_Latn,Qwen3-4B-Base,1.8957
hun_Latn,Qwen3-8B-Base,1.8957
hye_Armn,Qwen3-0.6B-Base,4.5443
hye_Armn,Qwen3-1.7B-Base,4.5443
hye_Armn,Qwen3-4B-Base,4.5443
