flores_code,name,script,family,macro_family
acm_Arab,Mesopotamian Arabic,Arab,Afro-Asiatic,Afro-Asiatic
afr_Latn,Afrikaans,Latn,Germanic,Indo-European
als_Latn,Tosk Albanian,Latn,Paleo-Balkanic,Indo-European
amh_Ethi,Amharic,Ethi,Afro-Asiatic,Afro-Asiatic
apc_Arab,North Levantine Arabic,Arab,Afro-Asiatic,Afro-Asiatic
arb_Arab,Modern Standard Arabic,Arab,Afro-Asiatic,Afro-Asiatic
arb_Latn,Modern Standard Arabic (Romanized),Latn,Afro-Asiatic,Afro-Asiatic
ars_Arab,Najdi Arabic,Arab,Afro-Asiatic,Afro-Asiatic
ary_arab,Moroccan Arabic,Arab,Afro-Asiatic,Afro-Asiatic
arz_Arab,Egyptian Arabic,Arab,Afro-Asiatic,Afro-Asiatic
asm_Beng,Assamese,Beng,Indo-Aryan,Indo-European
azj_Latn,North Azerbaijani,Latn,Turkic,Turkic
bam_Latn,Bambara,Latn,Mande,Mande
ben_Beng,Bengali,Beng,Indo-Aryan,Indo-European
ben_Latn^,Bengali (Romanized),Latn,Indo-Aryan,Indo-European
bod_Tibt,Standard Tibetan,Tibt,Sino-Tibetan,Sino-Tibetan
bul_Cyrl,Bulgarian,Cyrl,Balto-Slavic,Balto-Slavic
cat_Latn,Catalan,Latn,Romance,Indo-European
ceb_Latn,Cebuano,Latn,Austronesian,Austronesian
ces_Latn,Czech,Latn,Balto-Slavic,Balto-Slavic
ckb_Arab,Central Kurdish,Arab,Iranian,Indo-European
dan_Latn,Danish,Latn,Germanic,Indo-European
deu_Latn,German,Latn,Germanic,Indo-European
ell_Grek,Greek,Grek,Hellenic,Indo-European
eng_Latn,English,Latn,Germanic,Indo-European
est_Latn,Estonian,Latn,Uralic,Uralic
eus_Latn,Basque,Latn,Basque,isolate
fin_Latn,Finnish,Latn,Uralic,Uralic
fra_Latn,French,Latn,Romance,Indo-European
fuv_Latn,Nigerian Fulfulde,Latn,Atlantic-Congo,Atlantic-Congo
gaz_Latn,West Central Oromo,Latn,Afro-Asiatic,Afro-Asiatic
grn_Latn,Guarani,Latn,Tupian,Tupian
guj_Gujr,Gujarati,Gujr,Indo-Aryan,Indo-European
hat_Latn,Haitian Creole,Latn,Atlantic-Congo,Atlantic-Congo
hau_Latn,Hausa,Latn,Afro-Asiatic,Afro-Asiatic
heb_Hebr,Hebrew,Hebr,Afro-Asiatic,Afro-Asiatic
hin_Deva,Hindi,Deva,Indo-Aryan,Indo-European
hin_Latn^,Hindi (Romanized),Latn,Indo-Aryan,Indo-European
hrv_Latn,Croatian,Latn,Balto-Slavic,Balto-Slavic
hun_Latn,Hungarian,Latn,Uralic,Uralic
hye_Armn,Armenian,Armn,Armenian,Indo-European
ibo_Latn,Igbo,Latn,Atlantic-Congo,Atlantic-Congo
