flores_code,script,macro_family,log_tokens,token_source
acm_Arab,Arab,Afro-Asiatic,,missing
afr_Latn,Latn,Indo-European,9.04883387717687,culturax
als_Latn,Latn,Indo-European,9.562161153905935,culturax
amh_Ethi,Ethi,Afro-Asiatic,8.5541337799261,culturax
apc_Arab,Arab,Afro-Asiatic,,missing
arb_Arab,Arab,Afro-Asiatic,10.841073612355865,culturax
arb_Latn,Latn,Afro-Asiatic,10.841073612355865,culturax
ars_Arab,Arab,Afro-Asiatic,,missing
ary_arab,Arab,Afro-Asiatic,,missing
arz_Arab,Arab,Afro-Asiatic,,missing
asm_Beng,Beng,Indo-European,7.923181284977745,culturax
azj_Latn,Latn,Turkic,9.545721659518483,culturax
bam_Latn,Latn,Mande,,missing
ben_Beng,Beng,Indo-European,9.981044874347496,culturax
ben_Latn^,Latn,Indo-European,9.981044874347496,culturax
bod_Tibt,Tibt,Sino-Tibetan,,missing
bul_Cyrl,Cyrl,Balto-Slavic,10.360175858097726,culturax
cat_Latn,Latn,Indo-European,10.097961053275002,culturax
ceb_Latn,Latn,Austronesian,,missing
ces_Latn,Latn,Balto-Slavic,10.755192300065602,culturax
ckb_Arab,Arab,Indo-European,8.481429599472412,culturax
dan_Latn,Latn,Indo-European,10.360245901721395,culturax
deu_Latn,Latn,Indo-European,11.552705133249123,culturax
ell_Grek,Grek,Indo-European,10.634956550916772,culturax
eng_Latn,Latn,Indo-European,12.454382979077453,culturax
est_Latn,Latn,Uralic,9.944761723531126,culturax
eus_Latn,Latn,isolate,9.101082328203272,culturax
fin_Latn,Latn,Uralic,10.461273505456898,culturax
fra_Latn,Latn,Indo-European,11.504243358607456,culturax
fuv_Latn,Latn,Atlantic-Congo,,missing
gaz_Latn,Latn,Afro-Asiatic,,missing
grn_Latn,Latn,Tupian,4.10407720615511,culturax
guj_Gujr,Gujr,Indo-European,9.053743034427566,culturax
hat_Latn,Latn,Atlantic-Congo,4.418019405728941,culturax
hau_Latn,Latn,Afro-Asiatic,7.685933591909558,cc100_imputed
heb_Hebr,Hebr,Afro-Asiatic,9.693476506485494,culturax
hin_Deva,Deva,Indo-European,10.225085947081105,culturax
hin_Latn^,Latn,Indo-European,10.225085947081105,culturax
hrv_Latn,Latn,Balto-Slavic,7.610626216540094,culturax
hun_Latn,Latn,Uralic,10.637669631397417,culturax
hye_Armn,Armn,Indo-European,9.379338026785135,culturax
ibo_Latn,Latn,Atlantic-Congo,6.3705796858140715,cc100_imputed
ilo_Latn,Latn,Austronesian,,missing
ind_Latn,Latn,Austronesian,10.081454105942349,culturax
isl_Latn,Latn,Indo-European,9.371177412080815,culturax
ita_Latn,Latn,Indo-European,11.218657350111846,culturax
jav_Latn,Latn,Austronesian,7.390215556462902,cc100_imputed
jpn_Jpan,Jpan,Japonic,11.032916144087627,culturax
kac_Latn,Latn,Sino-Tibetan,,missing
kan_Knda,Knda,Dravidian,9.094221311622814,culturax
kat_Geor,Geor,kartvelian,9.417907523376437,culturax
kaz_Cyrl,Cyrl,Turkic,9.447543326977344,culturax
kea_Latn,Latn,Portuguese Creole,,missing
khk_Cyrl,Cyrl,Mongolic-Khitan,9.267328434893145,culturax
khm_Khmr,Khmr,Austroasiatic,8.873125289337338,culturax
kin_Latn,Latn,Atlantic-Congo,,missing
kir_Cyrl,Cyrl,Turkic,8.70022124395045,culturax
kor_Hang,Hang,Koreanic,10.39384619552899,culturax
lao_Laoo,Laoo,Tai-Kadai,8.225972821174405,culturax
lin_Latn,Latn,Atlantic-Congo,5.747056195655631,cc100_imputed
lit_Latn,Latn,Balto-Slavic,10.153726802927073,culturax
lug_Latn,Latn,Atlantic-Congo,6.430204473751823,cc100_imputed
luo_Latn,Latn,Nilotic,,missing
lvs_Latn,Latn,Balto-Slavic,9.894602930159628,culturax
mal_Mlym,Mlym,Dravidian,9.322334431411548,culturax
mar_Deva,Deva,Indo-European,9.291197362643686,culturax
mkd_Cyrl,Cyrl,Balto-Slavic,9.301746425904852,culturax
mlt_Latn,Latn,Afro-Asiatic,,missing
mri_Latn,Latn,Austronesian,,missing
mya_Mymr,Mymr,Sino-Tibetan,8.94576714414124,culturax
nld_Latn,Latn,Indo-European,10.903264809073452,culturax
nob_Latn,Latn,Indo-European,10.265445888776227,culturax
npi_Deva,Deva,Indo-European,9.314204818644845,culturax
npi_Latn^,Latn,Indo-European,9.314204818644845,culturax
nso_Latn,Latn,Atlantic-Congo,,missing
nya_Latn,Latn,Afro-Asiatic,,missing
ory_Orya,Orya,Indo-European,8.00140143263562,culturax
pan_Guru,Guru,Indo-European,8.861860543889303,culturax
pbt_Arab,Arab,Indo-European,8.559915920992061,culturax
pes_Arab,Arab,Indo-European,10.662263375070816,culturax
plt_Latn,Latn,Austronesian,8.15437957359287,culturax
pol_Latn,Latn,Balto-Slavic,11.069183544489329,culturax
por_Latn,Latn,Indo-European,11.136535917638877,culturax
ron_Latn,Latn,Indo-European,10.598220789235436,culturax
rus_Cyrl,Cyrl,Balto-Slavic,11.867586387163913,culturax
shn_Mymr,Mymr,Tai-Kadai,,missing
sin_Latn^,Latn,Indo-European,8.94462532284678,culturax
sin_Sinh,Sinh,Indo-European,8.94462532284678,culturax
slk_Latn,Latn,Balto-Slavic,10.215972316299656,culturax
slv_Latn,Latn,Balto-Slavic,9.903501694149961,culturax
sna_Latn,Latn,Atlantic-Congo,,missing
snd_Arab,Arab,Indo-European,8.168753912613957,culturax
som_Latn,Latn,Afro-Asiatic,3.781970673912552,culturax
sot_Latn,Latn,Atlantic-Congo,,missing
spa_Latn,Latn,Indo-European,11.572692346038526,culturax
srp_Cyrl,Cyrl,Balto-Slavic,9.664593347362308,culturax
ssw_Latn,Latn,Atlantic-Congo,,missing
sun_Latn,Latn,Austronesian,6.11676045067112,culturax
swe_Latn,Latn,Indo-European,10.585304823582218,culturax
swh_Latn,Latn,Atlantic-Congo,7.487255902011655,culturax
tam_Taml,Taml,Dravidian,9.641283555217916,culturax
tel_Telu,Telu,Dravidian,9.195061276656201,culturax
tgk_Cyrl,Cyrl,Indo-European,,missing
tgl_Latn,Latn,Austronesian,8.383970492667663,culturax
tha_Thai,Thai,Tai-Kadai,10.196379987855126,culturax
tir_Ethi,Ethi,Afro-Asiatic,,missing
tsn_Latn,Latn,Atlantic-Congo,,missing
tso_Latn,Latn,Afro-Asiatic,,missing
tur_Latn,Latn,Turkic,10.808162253319553,culturax
ukr_Cyrl,Cyrl,Balto-Slavic,10.582360317494818,culturax
urd_Arab,Arab,Indo-European,9.431854501264098,culturax
urd_Latn^,Latn,Indo-European,9.431854501264098,culturax
