,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B
eng_Latn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fra_Latn,1.0,0.9881894413605763,0.9899534686971235,1.0,1.0,0.7600580671920365,0.9898941289701635,1.0,0.9099987031513422
por_Latn,1.0,0.99303177040274,0.9899534686971235,1.0,1.0,0.8399004562422232,0.9898941289701635,1.0,0.8199974063026845
deu_Latn,0.9990193942035303,0.9881894413605763,0.9899534686971235,1.0,1.0,0.7299875570302778,1.0,1.0,0.8399688756322138
spa_Latn,0.9970581826105906,0.9773237274123066,1.0,1.0,1.0,0.7600580671920365,1.0,1.0,0.7299961094540266
ita_Latn,0.9990193942035303,0.9782685721034605,0.9699661590524535,1.0,1.0,0.7299875570302778,1.0,1.0,0.7200103747892621
cat_Latn,0.9970581826105906,0.9733081374749026,0.9899534686971235,1.0,1.0,0.8100373289091662,1.0,1.0,0.6499805472701335
nld_Latn,0.9980387884070605,0.9683477028463445,1.0,1.0,1.0,0.7100788054749066,1.0,1.0,0.6799377512644275
rus_Cyrl,0.9960775768141208,0.9723632927837487,0.9899534686971235,1.0,1.0,0.6999170468685193,0.9898941289701635,0.9899868875908929,0.6599662819348983
zho_Hans,0.9941163652211811,0.9495689146096611,0.9899534686971235,1.0,1.0,0.6700539195354624,0.820019249278152,0.9699606627726786,0.8000259369731553
glg_Latn,0.9990193942035303,0.9762607771347585,0.9600253807106599,1.0,1.0,0.6399834093737038,0.980028873917228,0.9799737751817857,0.6799377512644275
swe_Latn,1.0,0.9812212117633163,1.0,1.0,1.0,0.7899211945250934,1.0,1.0,0.4799636882375827
dan_Latn,0.9980387884070605,0.9762607771347585,0.9899534686971235,1.0,1.0,0.6399834093737038,0.9898941289701635,0.9799737751817857,0.5699649850862404
ces_Latn,0.9970581826105906,0.9713003425062006,1.0,1.0,1.0,0.5400248859394442,1.0,1.0,0.5599792504214758
ron_Latn,0.9980387884070605,0.9633872682177866,0.9899534686971235,1.0,1.0,0.46992948983824134,0.9898941289701635,0.9899868875908929,0.6200233432758397
nob_Latn,0.9960775768141208,0.9723632927837487,1.0,1.0,1.0,0.6999170468685193,0.9400866217516842,0.9699606627726786,0.5000648424328881
zho_Hant,0.9931357594247113,0.9594897838667769,0.9899534686971235,1.0,1.0,0.6499377851513894,0.7601058710298364,0.9400405292645131,0.6799377512644275
pol_Latn,1.0,0.9614975788354789,1.0,1.0,1.0,0.45997511406055575,1.0,1.0,0.48994942290234733
ast_Latn,0.9782087600784486,0.9506318648872091,0.9600253807106599,1.0,0.9899873403153412,0.44006636250518455,0.9699230028873917,0.9200143044462988,0.639994812605369
ind_Latn,1.0,0.9841738514231724,0.9800126903553299,0.9899623588456712,1.0,0.45997511406055575,0.730028873917228,0.9799737751817857,0.5400077810919466
oci_Latn,0.964480278927871,0.8814219912601866,1.0,1.0,1.0,0.45002073828287015,0.9400866217516842,0.9699606627726786,0.5200363117624174
bos_Latn,0.9960775768141208,0.9614975788354789,1.0,1.0,1.0,0.4000414765657403,0.980028873917228,1.0,0.3300479834003372
nno_Latn,0.9970581826105906,0.9633872682177866,0.9699661590524535,0.9599634994867116,0.9699620209460237,0.5400248859394442,0.8700673724735322,0.9300274168554059,0.48994942290234733
ukr_Cyrl,0.9970581826105906,0.9614975788354789,1.0,1.0,1.0,0.45002073828287015,1.0,1.0,0.19997406302684478
zsm_Latn,1.0,0.9753159324436046,0.9800126903553299,1.0,1.0,0.36001659062629615,0.5899903753609239,0.9599475503635714,0.4699779535728181
hrv_Latn,0.9920461974286338,0.9604346285579308,0.9499788494077834,0.980038781795369,0.9899873403153412,0.37992534218166735,0.980028873917228,0.9899868875908929,0.29996109454026715
slv_Latn,0.9920461974286338,0.9327979213416794,0.9800126903553299,0.980038781795369,0.9899873403153412,0.4199502281211116,0.9600577478344562,1.0,0.25003242121644403
afr_Latn,0.9941163652211811,0.9604346285579308,0.9800126903553299,0.9899623588456712,1.0,0.40999585234342595,0.8900384985563041,0.9400405292645131,0.2700038905459733
slk_Latn,0.9950969710176509,0.9456714302586512,0.9800126903553299,0.980038781795369,0.9799746806306825,0.2501036914143509,0.9201154956689124,0.9799737751817857,0.32006224873557254
bul_Cyrl,0.9931357594247113,0.9495689146096611,0.9499788494077834,0.980038781795369,0.9899873403153412,0.2399419328079635,1.0,1.0,0.18000259369731553
jpn_Jpan,0.9822401394639355,0.9446084799811031,0.9800126903553299,0.9500399224364092,0.9400391299343998,0.6099128992119451,0.6000962463907603,0.9100011920371915,0.30994682920503175
hun_Latn,0.9950969710176509,0.9169717727648518,0.9699661590524535,0.9599634994867116,0.9599493612613649,0.2700124429697221,0.9499518768046197,0.9599475503635714,0.2300609518869148
vec_Latn,0.9506428415776859,0.8705562773119169,0.9800126903553299,0.9599634994867116,0.9500517896190586,0.3399004562422231,0.8399903753609239,0.8999880796280845,0.36000518739463105
srp_Cyrl,0.9920461974286338,0.9357505610015354,0.9499788494077834,0.980038781795369,0.9899873403153412,0.21007880547490668,1.0,1.0,0.08001556218389314
tgl_Latn,0.9871431684462847,0.8744537616629265,0.9899534686971235,0.9400022812820805,0.9400391299343998,0.3399004562422231,0.4800288739172281,0.9200143044462988,0.4699779535728181
fin_Latn,0.990084985835694,0.9387032006613912,0.9499788494077834,0.9700011406410403,0.9799746806306825,0.2799668187474077,0.5101058710298363,0.8799618548098701,0.43003501491375956
mkd_Cyrl,0.9822401394639355,0.9120113381362939,0.9899534686971235,0.9899623588456712,0.9899873403153412,0.14993778515138947,0.910009624639076,0.9500536416736203,0.14005965503825704
vie_Latn,0.9960775768141208,0.9614975788354789,1.0,1.0,1.0,0.45997511406055575,0.1999518768046198,0.9400405292645131,0.20995979769160938
epo_Latn,0.9506428415776859,0.8981929845281681,1.0,0.980038781795369,0.9799746806306825,0.28992119452509335,0.6200673724735322,0.7999761592561688,0.14005965503825704
kor_Hang,0.9555458705600349,0.8705562773119169,0.9600253807106599,0.9599634994867116,0.9500517896190586,0.45997511406055575,0.3500962463907603,0.8500417213017046,0.19997406302684478
arb_Arab,0.9950969710176509,0.9486240699185071,0.9899534686971235,0.980038781795369,0.9799746806306825,0.10991289921194525,0.410009624639076,0.8300154964834904,0.12994423550771625
ars_Arab,0.9931357594247113,0.9486240699185071,0.9800126903553299,0.980038781795369,0.9799746806306825,0.08004977187888843,0.3999037536092396,0.8200023840743831,0.109972766178187
lim_Latn,0.8280671170189584,0.7717019014999409,0.9400380710659899,0.9500399224364092,0.9500517896190586,0.4299046038987972,0.5899903753609239,0.6999642388842533,0.2700038905459733
acq_Arab,0.9861625626498148,0.9160269280736978,0.9699661590524535,0.9500399224364092,0.9400391299343998,0.09000414765657404,0.30991337824831566,0.7999761592561688,0.11995850084295162
acm_Arab,0.975266942689039,0.8922877052084562,0.9499788494077834,0.980038781795369,0.9400391299343998,0.08004977187888843,0.33999037536092397,0.7999761592561688,0.11995850084295162
fur_Latn,0.7964698191327086,0.7094602574701784,0.9600253807106599,0.9200410630774495,0.8899758315111059,0.3399004562422231,0.6499037536092396,0.6999642388842533,0.3400337180651018
pes_Arab,0.9920461974286338,0.9327979213416794,0.9299915397631133,0.9700011406410403,0.9799746806306825,0.09995852343425964,0.1900866217516843,0.6999642388842533,0.09000129684865776
arz_Arab,0.9575070821529745,0.8725640722806188,0.9499788494077834,0.9599634994867116,0.9500517896190586,0.05993363749481542,0.2300288739172281,0.750029800929789,0.11995850084295162
ajp_Arab,0.9633907169317935,0.9031534191567262,0.9100042301184433,0.9700011406410403,0.9599493612613649,0.05993363749481542,0.28007699711260825,0.7099773512933604,0.11995850084295162
lit_Latn,0.9822401394639355,0.8942955001771583,0.9699661590524535,0.8900422037184897,0.9200138105650822,0.21007880547490668,0.2300288739172281,0.6700441053760878,0.14005965503825704
apc_Arab,0.964480278927871,0.9011456241880241,0.9100042301184433,0.9299646401277518,0.9500517896190586,0.07009539610120281,0.26010587102983634,0.7600429133388962,0.11995850084295162
ell_Grek,0.9832207452604054,0.9160269280736978,0.9200507614213198,0.9899623588456712,0.9899873403153412,0.04002488593944421,0.2100577478344562,0.689951126475146,0.0600440928543639
tur_Latn,0.9733057310960994,0.9239400023621117,0.9499788494077834,0.9400022812820805,0.930026470249741,0.09000414765657404,0.2199230028873917,0.7300035761115747,0.05005835818959928
est_Latn,0.9822401394639355,0.9071690090941301,0.9499788494077834,0.9400022812820805,0.9500517896190586,0.2399419328079635,0.2100577478344562,0.5399928477768506,0.12994423550771625
