flores_code,gemma2-9B,gemma1-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
eng_Latn,0.92,0.85,0.95,0.88,0.87,0.48,0.42,0.84,0.77,0.77
fra_Latn,0.92,0.84,0.94,0.88,0.87,0.37,0.41,0.84,0.70,0.75
por_Latn,0.92,0.84,0.94,0.88,0.87,0.41,0.41,0.84,0.63,0.75
deu_Latn,0.92,0.84,0.94,0.88,0.87,0.35,0.42,0.84,0.65,0.74
spa_Latn,0.92,0.83,0.95,0.88,0.87,0.37,0.42,0.84,0.56,0.74
ita_Latn,0.92,0.83,0.92,0.88,0.87,0.35,0.42,0.84,0.56,0.73
cat_Latn,0.92,0.82,0.94,0.88,0.87,0.39,0.42,0.84,0.50,0.73
nld_Latn,0.92,0.82,0.95,0.88,0.87,0.34,0.42,0.84,0.52,0.73
rus_Cyrl,0.91,0.82,0.94,0.88,0.87,0.34,0.41,0.83,0.51,0.72
zho_Hans,0.91,0.80,0.94,0.88,0.87,0.32,0.34,0.81,0.62,0.72
glg_Latn,0.92,0.83,0.91,0.88,0.87,0.31,0.41,0.82,0.52,0.72
swe_Latn,0.92,0.83,0.95,0.88,0.87,0.38,0.42,0.84,0.37,0.72
dan_Latn,0.92,0.83,0.94,0.88,0.87,0.31,0.41,0.82,0.44,0.71
ces_Latn,0.92,0.82,0.95,0.88,0.87,0.26,0.42,0.84,0.43,0.71
ron_Latn,0.92,0.82,0.94,0.88,0.87,0.23,0.41,0.83,0.48,0.71
nob_Latn,0.91,0.82,0.95,0.88,0.87,0.34,0.39,0.81,0.39,0.71
zho_Hant,0.91,0.81,0.94,0.88,0.87,0.31,0.32,0.79,0.52,0.71
pol_Latn,0.92,0.81,0.95,0.88,0.87,0.22,0.42,0.84,0.38,0.70
ast_Latn,0.90,0.80,0.91,0.88,0.86,0.21,0.40,0.77,0.49,0.69
ind_Latn,0.92,0.83,0.93,0.87,0.87,0.22,0.30,0.82,0.42,0.69
oci_Latn,0.89,0.75,0.95,0.88,0.87,0.22,0.39,0.81,0.40,0.68
bos_Latn,0.91,0.81,0.95,0.88,0.87,0.19,0.41,0.84,0.25,0.68
nno_Latn,0.92,0.82,0.92,0.84,0.84,0.26,0.36,0.78,0.38,0.68
ukr_Cyrl,0.92,0.81,0.95,0.88,0.87,0.22,0.42,0.84,0.15,0.67
zsm_Latn,0.92,0.83,0.93,0.88,0.87,0.17,0.25,0.81,0.36,0.67
hrv_Latn,0.91,0.81,0.90,0.86,0.86,0.18,0.41,0.83,0.23,0.67
slv_Latn,0.91,0.79,0.93,0.86,0.86,0.20,0.40,0.84,0.19,0.66
afr_Latn,0.91,0.81,0.93,0.87,0.87,0.20,0.37,0.79,0.21,0.66
slk_Latn,0.91,0.80,0.93,0.86,0.85,0.12,0.38,0.82,0.25,0.66
bul_Cyrl,0.91,0.80,0.90,0.86,0.86,0.12,0.42,0.84,0.14,0.65
jpn_Jpan,0.90,0.80,0.93,0.83,0.82,0.29,0.25,0.76,0.24,0.65
hun_Latn,0.91,0.78,0.92,0.84,0.83,0.13,0.39,0.81,0.18,0.64
vec_Latn,0.87,0.74,0.93,0.84,0.83,0.16,0.35,0.76,0.28,0.64
srp_Cyrl,0.91,0.79,0.90,0.86,0.86,0.10,0.42,0.84,0.06,0.64
tgl_Latn,0.91,0.74,0.94,0.82,0.82,0.16,0.20,0.77,0.36,0.64
fin_Latn,0.91,0.79,0.90,0.85,0.85,0.14,0.21,0.74,0.33,0.64
mkd_Cyrl,0.90,0.77,0.94,0.87,0.86,0.07,0.38,0.80,0.11,0.63
vie_Latn,0.91,0.81,0.95,0.88,0.87,0.22,0.08,0.79,0.16,0.63
epo_Latn,0.87,0.76,0.95,0.86,0.85,0.14,0.26,0.67,0.11,0.61
kor_Hang,0.88,0.74,0.91,0.84,0.83,0.22,0.15,0.71,0.15,0.60
arb_Arab,0.91,0.80,0.94,0.86,0.85,0.05,0.17,0.70,0.10,0.60
ars_Arab,0.91,0.80,0.93,0.86,0.85,0.04,0.17,0.69,0.08,0.59
lim_Latn,0.76,0.65,0.89,0.83,0.83,0.21,0.25,0.59,0.21,0.58
acq_Arab,0.91,0.78,0.92,0.83,0.82,0.04,0.13,0.67,0.09,0.58
acm_Arab,0.90,0.76,0.90,0.86,0.82,0.04,0.14,0.67,0.09,0.57
fur_Latn,0.73,0.60,0.91,0.81,0.77,0.16,0.27,0.59,0.26,0.57
pes_Arab,0.91,0.79,0.88,0.85,0.85,0.05,0.08,0.59,0.07,0.56
arz_Arab,0.88,0.74,0.90,0.84,0.83,0.03,0.10,0.63,0.09,0.56
ajp_Arab,0.88,0.76,0.86,0.85,0.83,0.03,0.12,0.60,0.09,0.56
lit_Latn,0.90,0.76,0.92,0.78,0.80,0.10,0.10,0.56,0.11,0.56
apc_Arab,0.89,0.76,0.86,0.82,0.83,0.03,0.11,0.64,0.09,0.56
ell_Grek,0.90,0.78,0.87,0.87,0.86,0.02,0.09,0.58,0.05,0.56
tur_Latn,0.89,0.78,0.90,0.82,0.81,0.04,0.09,0.61,0.04,0.55
est_Latn,0.90,0.77,0.90,0.82,0.83,0.12,0.09,0.45,0.10,0.55
pap_Latn,0.79,0.60,0.89,0.75,0.73,0.18,0.22,0.56,0.23,0.55
lmo_Latn,0.73,0.56,0.87,0.75,0.74,0.17,0.26,0.60,0.26,0.55
szl_Latn,0.77,0.59,0.87,0.73,0.74,0.11,0.26,0.64,0.21,0.55
prs_Arab,0.90,0.78,0.92,0.84,0.84,0.01,0.06,0.46,0.08,0.54
scn_Latn,0.77,0.59,0.88,0.79,0.77,0.15,0.22,0.57,0.15,0.54
heb_Hebr,0.91,0.81,0.89,0.83,0.83,0.02,0.05,0.47,0.06,0.54
lvs_Latn,0.90,0.75,0.90,0.81,0.79,0.05,0.05,0.55,0.08,0.54
als_Latn,0.87,0.67,0.93,0.79,0.80,0.09,0.08,0.53,0.10,0.54
lij_Latn,0.74,0.58,0.88,0.72,0.70,0.16,0.25,0.53,0.30,0.54
ceb_Latn,0.83,0.59,0.89,0.73,0.72,0.16,0.15,0.49,0.24,0.53
srd_Latn,0.73,0.59,0.86,0.75,0.72,0.16,0.23,0.55,0.21,0.53
hin_Deva,0.90,0.74,0.91,0.80,0.79,0.03,0.05,0.44,0.06,0.53
ltz_Latn,0.79,0.59,0.84,0.75,0.74,0.15,0.18,0.44,0.18,0.52
tha_Thai,0.90,0.76,0.87,0.83,0.83,0.02,0.02,0.32,0.10,0.52
aeb_Arab,0.82,0.67,0.86,0.78,0.75,0.04,0.10,0.55,0.08,0.52
bel_Cyrl,0.88,0.65,0.88,0.79,0.79,0.02,0.09,0.50,0.02,0.51
isl_Latn,0.83,0.62,0.88,0.77,0.78,0.09,0.10,0.48,0.06,0.51
swh_Latn,0.90,0.74,0.86,0.73,0.80,0.11,0.09,0.27,0.08,0.51
mlt_Latn,0.88,0.63,0.87,0.74,0.74,0.12,0.11,0.38,0.12,0.51
war_Latn,0.76,0.55,0.88,0.65,0.61,0.26,0.20,0.35,0.20,0.49
cym_Latn,0.87,0.59,0.88,0.75,0.76,0.11,0.10,0.28,0.08,0.49
fao_Latn,0.71,0.53,0.86,0.71,0.69,0.12,0.13,0.53,0.08,0.48
