iso_code,tokens
en,2846970578793
ru,737201800363
es,373845662394
de,357030348021
fr,319332674695
zh,227055380882
it,165446410843
pt,136941763923
pl,117269087143
ja,107873841351
nl,80032209900
ar,69354335076
tr,64292787164
cs,56910486745
vi,55380123774
fa,45947657495
hu,43417981714
el,43147590757
ro,39647954768
sv,38486181494
uk,38226128686
fi,28925009180
ko,24765448392
da,22921651314
bg,22917954776
no,18426628868
hi,16791362871
sk,16442669076
th,15717374014
lt,14247110836
ca,12530288006
id,12062966061
bn,9572929804
et,8805656165
sl,8007587522
lv,7845180319
he,4937152096
sr,4619482725
ta,4378078610
sq,3648893215
az,3513351967
kk,2802485195
ur,2703052627
ka,2617625564
hy,2395179284
is,2350592857
ml,2100556809
ne,2061601961
mk,2003302006
mr,1955227796
mn,1850667656
be,1791473041
te,1566972146
gl,1382539693
eu,1262066759
kn,1242285201
gu,1131730537
af,1119009767
my,882606546
si,880289097
eo,803948528
km,746664132
pa,727546145
cy,576743162
ky,501442620
ga,376947935
ps,363007770
am,358206762
ku,302990910
tl,242086456
yi,217584643
lo,168256876
fy,167193111
sd,147487058
mg,142685412
or,100323213
as,83787896
ug,77677306
uz,75250787
la,44176580
hr,40796811
sw,30708309
ms,19375976
br,13987037
sa,13561367
gd,4796485
su,1308460
qu,72101
yo,42943
bs,39768
ht,26183
li,18532
gn,12708
so,6053
rm,1769
