model,kind,n_layers,best_layer,rel_depth,lfs_min,lfs_dip,peak_mexa,mexa_high,mexa_mid,mexa_low,aar_mid,latent_adv,eng_best_donor
Qwen3-0.6B-Base,multi-ish,28,18,0.6428571428571429,0.7275324580993134,0.2058767179437886,0.3781889763779528,0.9036666666666667,0.7054166666666667,0.04833333333333333,-0.016672957339324057,0.09846492328105391,45/127
Qwen3-1.7B-Base,multi-ish,28,16,0.5714285714285714,0.7145470310109636,0.2128714320293693,0.5017060367454068,0.9550000000000001,0.885,0.11625000000000002,0.014741803286597133,0.09313555501032929,47/127
Qwen3-4B-Base,multi-ish,36,20,0.5555555555555556,0.6021659497547868,0.3143222419230147,0.5588976377952755,0.9470000000000001,0.8995833333333333,0.20375000000000001,0.013953389541711658,0.09455181084349605,30/127
Qwen3-8B-Base,multi-ish,36,20,0.5555555555555556,0.6083596779814625,0.33636405732281927,0.606246719160105,0.9596666666666666,0.9158333333333333,0.28541666666666665,0.023921674524899572,0.09264002216560033,25/127
OLMo-2-0425-1B,EN-centric,16,11,0.6875,0.9029097173197712,0.0770301683477983,0.16448818897637796,0.5740000000000001,0.12791666666666665,0.027083333333333334,-0.07359853461093735,0.1532468857348156,18/127
OLMo-2-1124-7B,EN-centric,32,17,0.53125,0.8460304941285677,0.13450857585746834,0.3660629921259842,0.866,0.6329166666666667,0.08583333333333333,-0.012164937856141478,0.1246667228158798,28/127
Mistral-7B-v0.3,EN-centric,32,18,0.5625,0.7443149887253558,0.21213415376534117,0.42750656167979006,0.9039999999999999,0.7558333333333332,0.09125,0.013388181454502046,0.11957449776965641,7/127
bloom-1b7,multi-design,24,0,0.0,0.8986916644272815,0.03911094381401192,0.28713910761154854,0.5746666666666667,0.41875,0.15458333333333335,-0.076624087523669,0.04709782831849325,35/127
bloom-7b1,multi-design,30,17,0.5666666666666667,0.8844509311794394,0.04295942889146198,0.3342257217847769,0.8276666666666668,0.5604166666666667,0.1404166666666667,-0.008779038558714092,0.10009571618132851,25/127
EuroLLM-1.7B,multi-design(EU),24,14,0.5833333333333334,0.8538657398581722,0.09680688035731344,0.3922047244094488,0.9716666666666667,0.6279166666666667,0.027916666666666666,-0.015503074857406318,0.07591550364287379,67/127
