reading,model,selection,heldout_mean,heldout_sd,rank_range_across_blocks,block_1,block_2,block_3,block_4
R1_concept_dominance,EuroLLM-1.7B,0.211392,0.212311,0.009845,1.000000,0.225456,0.214234,0.204169,0.205385
R1_concept_dominance,Falcon3-7B-Base,0.231747,0.247644,0.004378,0.000000,0.252118,0.250062,0.246181,0.242214
R1_concept_dominance,Mistral-7B-v0.3,0.285271,0.290171,0.007890,0.000000,0.301545,0.289216,0.286010,0.283911
R1_concept_dominance,OLMo-2-0425-1B,0.144470,0.149218,0.005014,0.000000,0.156305,0.146619,0.149021,0.144928
R1_concept_dominance,OLMo-2-1124-7B,0.257926,0.264788,0.004682,1.000000,0.271024,0.261215,0.265755,0.261158
R1_concept_dominance,Qwen3-0.6B-Base,0.391164,0.415363,0.009098,0.000000,0.425558,0.415930,0.416546,0.403419
R1_concept_dominance,Qwen3-1.7B-Base,0.419179,0.434276,0.010748,0.000000,0.449335,0.432487,0.431420,0.423861
R1_concept_dominance,Qwen3-4B-Base,0.543893,0.567133,0.010564,1.000000,0.578974,0.571596,0.563549,0.554413
R1_concept_dominance,Qwen3-8B-Base,0.550717,0.567256,0.013947,1.000000,0.584998,0.571788,0.556369,0.555868
R1_concept_dominance,SmolLM2-1.7B,0.130524,0.136800,0.004411,0.000000,0.143080,0.134586,0.136464,0.133071
R1_concept_dominance,bloom-1b7,0.224023,0.216796,0.012037,1.000000,0.230880,0.222083,0.203889,0.210333
R1_concept_dominance,bloom-7b1,0.266418,0.268955,0.007551,1.000000,0.280227,0.264801,0.266238,0.264553
R1_concept_dominance,salamandra-2b,0.191992,0.265966,0.009309,2.000000,0.273920,0.253872,0.263460,0.272611
R1_concept_dominance,salamandra-7b,0.230591,0.239249,0.005191,0.000000,0.246667,0.238866,0.236413,0.235050
R2_mean_alignment_margin,EuroLLM-1.7B,0.032644,0.034196,0.008767,2.000000,0.023562,0.033412,0.044990,0.034819
R2_mean_alignment_margin,Falcon3-7B-Base,0.009125,0.016416,0.004305,1.000000,0.012207,0.014127,0.022065,0.017266
R2_mean_alignment_margin,Mistral-7B-v0.3,0.055546,0.058446,0.006195,0.000000,0.057395,0.050118,0.062555,0.063717
R2_mean_alignment_margin,OLMo-2-0425-1B,-0.005505,-0.003202,0.004034,1.000000,-0.007429,-0.002197,0.001926,-0.005109
R2_mean_alignment_margin,OLMo-2-1124-7B,0.034970,0.036690,0.005061,1.000000,0.030974,0.034016,0.041843,0.039926
R2_mean_alignment_margin,Qwen3-0.6B-Base,0.040629,0.046219,0.005046,1.000000,0.042492,0.041262,0.050234,0.050887
R2_mean_alignment_margin,Qwen3-1.7B-Base,0.087880,0.095568,0.007598,1.000000,0.089110,0.088881,0.102559,0.101723
R2_mean_alignment_margin,Qwen3-4B-Base,0.111444,0.117334,0.010218,0.000000,0.111276,0.106518,0.122839,0.128701
R2_mean_alignment_margin,Qwen3-8B-Base,0.130322,0.140063,0.011057,0.000000,0.132155,0.129483,0.146035,0.152579
R2_mean_alignment_margin,SmolLM2-1.7B,0.000644,-0.000233,0.005306,1.000000,-0.001060,-0.000035,0.006545,-0.006380
R2_mean_alignment_margin,bloom-1b7,0.027664,0.022818,0.011142,1.000000,0.008444,0.021917,0.035374,0.025537
R2_mean_alignment_margin,bloom-7b1,0.096099,0.097503,0.009320,1.000000,0.088689,0.090997,0.108570,0.101757
R2_mean_alignment_margin,salamandra-2b,-0.294854,-0.273580,0.010700,0.000000,-0.260889,-0.281147,-0.283625,-0.268658
R2_mean_alignment_margin,salamandra-7b,0.025344,0.041554,0.003627,3.000000,0.045146,0.043268,0.041089,0.036715
R3_weak_language_tail,EuroLLM-1.7B,-0.151155,-0.164769,0.025152,2.000000,-0.183905,-0.146323,-0.140021,-0.188830
R3_weak_language_tail,Falcon3-7B-Base,-0.142254,-0.122412,0.014829,3.000000,-0.136566,-0.122633,-0.101883,-0.128568
R3_weak_language_tail,Mistral-7B-v0.3,-0.100130,-0.090025,0.013000,4.000000,-0.087375,-0.108728,-0.085265,-0.078733
R3_weak_language_tail,OLMo-2-0425-1B,-0.124022,-0.116862,0.011513,3.000000,-0.131655,-0.105310,-0.110765,-0.119718
R3_weak_language_tail,OLMo-2-1124-7B,-0.096966,-0.106838,0.012179,3.000000,-0.124500,-0.100816,-0.097206,-0.104828
R3_weak_language_tail,Qwen3-0.6B-Base,-0.194793,-0.179375,0.002647,2.000000,-0.179247,-0.179400,-0.176187,-0.182666
R3_weak_language_tail,Qwen3-1.7B-Base,-0.162013,-0.157960,0.012748,2.000000,-0.170454,-0.148164,-0.145845,-0.167377
R3_weak_language_tail,Qwen3-4B-Base,-0.129293,-0.128169,0.008283,3.000000,-0.136227,-0.131768,-0.116863,-0.127818
R3_weak_language_tail,Qwen3-8B-Base,-0.093274,-0.085181,0.009883,1.000000,-0.097456,-0.088879,-0.077915,-0.076473
R3_weak_language_tail,SmolLM2-1.7B,-0.116145,-0.114379,0.011793,2.000000,-0.116909,-0.114030,-0.099000,-0.127577
R3_weak_language_tail,bloom-1b7,-0.142302,-0.164810,0.038732,4.000000,-0.213328,-0.131291,-0.135975,-0.178646
R3_weak_language_tail,bloom-7b1,-0.106607,-0.112703,0.012279,3.000000,-0.125639,-0.104405,-0.100250,-0.120519
R3_weak_language_tail,salamandra-2b,-0.772908,-0.744446,0.032195,0.000000,-0.698412,-0.755930,-0.773161,-0.750282
R3_weak_language_tail,salamandra-7b,-0.149588,-0.129861,0.015826,6.000000,-0.116411,-0.120392,-0.130877,-0.151766
