model,layer,lfs_direct_standardized,share_q50,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance
EuroLLM-1.7B,18,0.7886083092980324,0.7957914292468118,1.0,0.713887219431701,0.6195933706485377,0.7829896406692901
Falcon3-7B-Base,13,0.7682529162600981,0.7696390513280494,1.0,0.9249525844879816,0.8367342919018975,0.6388924128299197
Mistral-7B-v0.3,8,0.7147293559082801,0.7175954855133909,1.0,0.9800148186397601,0.972499817841024,0.576179065276366
OLMo-2-0425-1B,9,0.8555304914009325,0.867599376485092,1.0,0.4557283698376795,0.30781368022434596,0.6712346420027953
OLMo-2-1124-7B,12,0.7420740191771581,0.7442056249705727,1.0,0.46273655768942046,0.3119699115018831,0.7725241929330382
Qwen3-0.6B-Base,8,0.6088355117370512,0.5865622124492248,1.0,0.997426102398951,0.9965618176600335,0.5518972623560546
Qwen3-1.7B-Base,13,0.5808205932178168,0.5541541503709831,1.0,0.9905428926517195,0.9812568911603275,0.49608413595477013
Qwen3-4B-Base,17,0.4561070964075558,0.41267582195926045,0.996484375,0.9963800752713172,0.992235177179248,0.4729228884388562
Qwen3-8B-Base,19,0.4492824643532386,0.4138939528563342,0.996337890625,0.9938316135420819,0.9865648807119849,0.46736141646851853
SmolLM2-1.7B,15,0.8694759748630935,0.8793845155389657,1.0,0.9814981160597054,0.9748097381156204,0.5435000105164971
bloom-1b7,24,0.7759765810305418,0.7638057409808127,1.0,0.9898331327029053,0.9881228987816952,0.8100107725362833
bloom-7b1,17,0.7335823842752519,0.7345637491246282,1.0,0.8883860836884563,0.8449147231906072,0.7856532242445334
salamandra-2b,6,0.808007891684794,0.8192670789868912,1.0,0.9975106770277353,0.9977392532104659,0.050182193840520105
salamandra-7b,18,0.7694086996742854,0.7705196629429123,1.0,0.9778548411073531,0.9714128483141625,0.6737342784125301
