predictor,predictor_mode,outcome,evidence_class,scope,held_out_study,n_arms,spearman_rho
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,pooled_within_study_centered,,18,-0.16821465428276572
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,study:codeswitch,,4,0.7999999999999999
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,study:guard_sweep,,5,-0.8999999999999998
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,study:original,,5,0.49999999999999994
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,study:wordalign,,6,-0.7714285714285715
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,-0.06813186813186813
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,0.059340659340659345
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,original,14,-0.7846153846153847
R1_concept_dominance,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,wordalign,13,0.07692307692307691
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,pooled_within_study_centered,,18,-0.8410732714138286
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,study:codeswitch,,4,-0.39999999999999997
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,study:guard_sweep,,5,-0.9999999999999999
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,study:original,,5,-0.7
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,study:wordalign,,6,-0.6
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,-0.8241758241758241
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,-0.7934065934065934
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,original,14,-0.9032967032967033
R1_concept_dominance,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,wordalign,13,-0.8461538461538461
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,pooled_within_study_centered,,18,-0.20949432404540763
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:codeswitch,,4,-0.39999999999999997
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:guard_sweep,,5,-0.6
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:original,,5,-0.8999999999999998
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:wordalign,,6,0.942857142857143
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,codeswitch,14,-0.17362637362637365
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,guard_sweep,14,-0.054945054945054944
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,original,14,-0.01978021978021978
R1_concept_dominance,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,wordalign,13,-0.8846153846153846
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,pooled_within_study_centered,,18,-0.07327141382868937
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:codeswitch,,4,-0.7999999999999999
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:guard_sweep,,5,-0.7
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:original,,5,-0.3
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:wordalign,,6,0.6
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,codeswitch,14,-0.0989010989010989
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,guard_sweep,14,0.11208791208791209
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,original,14,-0.2
R1_concept_dominance,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,wordalign,13,-0.24175824175824176
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,pooled_within_study_centered,,18,0.1331269349845201
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:codeswitch,,4,-0.7999999999999999
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:guard_sweep,,5,0.3
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:original,,5,-0.3
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:wordalign,,6,0.3142857142857143
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,codeswitch,14,0.1384615384615385
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,guard_sweep,14,0.22637362637362637
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,original,14,0.2043956043956044
R1_concept_dominance,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,wordalign,13,-0.054945054945054944
