checkpoint,arm,seed,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
ckpt_armADV-CVP_seed0,ADV-CVP,0,c34f8b2ee6d5617ea4c6b1d3e744bb03f90630fc555f9781cfa6c999ba2b0d39,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.49385961030741,-0.1063136864579812,-0.6009380654253095,1.009055140036708,1.0166180883574498,0.3963042020096647,True,0.50614038969259,1187967.8391478723,1159143.4828104435,1646488.678041683,0.2974679084404729,0.2902502711364292,0.4122818204230978,15643.825879933584,11144.880469592328,7160.121567008483,4498.945410341259,189.92281882549076,16.24114798533301
ckpt_armADV-CVP_seed1,ADV-CVP,1,2956018a61a4f0351cd94972fba7bb97ee8bb213b9ce8a0c2c76987d8288d4c3,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4959998304648046,-0.0741057590027966,-0.5574028123361502,0.9985766638742112,0.9979878519401764,0.4111072194569479,True,0.5040001695351953,1186241.2306027156,1167411.21300004,1639947.5563972432,0.2970355645539653,0.2923205160757312,0.4106439193703033,15481.373452837111,10940.642752037813,7323.673689113439,4540.730700799298,190.98879828178343,16.847798118669044
ckpt_armADV-CVP_seed2,ADV-CVP,2,c742305435ecadfff5b16e23c24ad173b13136395c7f3c15fca05b4ef9c88484,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.5038638812037869,-0.100963447446935,-0.5601831220783805,1.0305958340102868,1.0363939342274635,0.42109390105606,True,0.4961361187962131,1148395.1402358825,1166282.4184596238,1678922.441304495,0.2875588792657957,0.2920378651992246,0.4204032555349796,15977.7807377854,11361.677161418344,7424.793757319961,4616.103576367052,192.17881823336995,17.25706749535263
ckpt_armADV_seed0,ADV,0,81e05f7a1aa1249c7f96e88354a6f64f9352bae1fd6c1056b0a7689f20c3c454,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.459256585298333,-0.0411966156884948,-0.4592770850726177,0.497095986536096,0.4552871477439681,0.617468919720183,False,0.540743414701667,1214229.3944464298,1031252.2174125534,1748118.388141017,0.3040438187215619,0.2582262162992171,0.437729964979221,7706.697830905057,4991.177020218483,3092.2065656092777,2715.520810686573,135.3346513995289,25.30481395520161
ckpt_armADV_seed1,ADV,1,f968e958dd06f16b06f1b0ca95e1ec3bd3a267e8304a053732afaaa87db919ca,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4544644258461038,-0.0358058616898707,-0.4426659551676503,0.4505641596767574,0.3784075363557361,0.7055453218314821,False,0.5455355741538962,1183113.656887188,985605.8784467812,1824880.4646660315,0.2962524180907421,0.246796343761714,0.4569512381475438,6985.2944423486815,4148.368802183616,2696.7404818411355,2836.925640165066,127.54147976156636,28.91431865752728
ckpt_armADV_seed2,ADV,2,a3411c0399e75a8b4784df7352593a1c3bdaf0210367fc7e81960a5be630b4f0,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4618157114226692,-0.0504972884789681,-0.4900108656415216,0.5042028853240349,0.4596157013809634,0.6188028416864438,False,0.5381842885773308,1214899.8239335003,1042505.0273768948,1736195.1486896062,0.3042116946948868,0.2610439271276278,0.4347443781774854,7816.879210270294,5038.62966093283,2890.169207791744,2778.249549337463,133.12157804374962,25.359480102936278
ckpt_armCS-B_s2000_seed0,CS-B_s2000,0,878a8edd2faac60fba90486e32189b079482a1ac3fede74d787d9229a906409e,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3772521289584053,0.0371014909718074,-0.2086487684360343,0.8489479627810149,0.839533938972493,1.149314342149539,False,0.6227478710415947,1542523.3421856256,934439.5089368268,1516637.1488775476,0.3862488336802949,0.2339842520374666,0.3797669142822384,13161.613854310675,9203.559829563688,6361.786831548471,3958.054024746985,176.6250071629028,47.10064697235057
ckpt_armCS-B_s2000_seed1,CS-B_s2000,1,bd765fe613ecbfc16794f1290512cc70ba88f583dde81eb6bc739857476ba675,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3628227237925964,0.0349816112639399,-0.2149441714258677,0.86493587600498,0.8564147804866148,1.1540172838343776,False,0.6371772762074036,1595933.549593915,908759.5855618224,1488906.864844262,0.399622783852643,0.2275539827628762,0.3728232333844807,13409.481508649267,9388.61945328629,6459.661515317527,4020.862055362978,177.42553148035012,47.293380664000885
ckpt_armCS-B_s2000_seed2,CS-B_s2000,2,a3ca92b37221bcbe52d73202cd35d8caa54f15f5fdf65d71292f5533e8962373,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3694958643187123,0.0360379829051883,-0.227044434017389,0.8697668093942639,0.861176698551831,1.1651280774861024,False,0.6305041356812877,1570837.535831747,920561.7222149704,1502200.7419532817,0.3933387259194079,0.2305092453462967,0.3761520287342954,13484.377594879765,9440.822938794376,6432.156232950123,4043.554656085388,177.3602102955232,47.74871785956199
ckpt_armCS-P25_s2000_seed0,CS-P25_s2000,0,c8b457133c296f8ae46c3c5f7007a21f872071062c3a727f3a4683128eb49f60,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3760599406189753,0.0388345069360975,-0.2117288618696182,0.8787537888861756,0.8693191052313443,1.0581280896642271,False,0.6239400593810247,1570367.202106159,946488.669696704,1476744.1281971354,0.3932209540530247,0.2370013696155609,0.3697776763314143,13623.706692745403,9530.085711331312,6591.07759111056,4093.62098141409,179.38612377853352,43.363695879397554
