study,arm,is_control,control_arm,metric,n,mean,sd,min,max,ci95_low,ci95_high
codeswitch,CS-B,1,CS-B,delta_R1_concept_dominance_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_R2_mean_alignment_margin_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_R3_weak_language_tail_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_R4_within_concept_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_R4_shared_concept_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_R4_effective_rank_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_lfs_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_effective_rank_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_mexa_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_aar10_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,ppl_favorable_vs_control,3,0.0,0.0,-0.0,-0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_context_trained_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,delta_context_heldout_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
codeswitch,CS-B,1,CS-B,R4_within_concept_ratio,3,0.9593574927234189,0.021211513625972553,0.9368097598899928,0.978915568116199,0.9066651718018345,1.0120498136450033
codeswitch,CS-B,1,CS-B,R4_shared_concept_ratio,3,0.9573610130931792,0.024752549057516848,0.9304684426239394,0.9791906702635124,0.8958722725174515,1.018849753668907
