model,layer,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,coordinate_share_mean,coordinate_share_median,coordinate_share_gini,gaussian_null_mean,by_alpha,n_language_heavy_by,fraction_language_heavy_by,top_variance_fraction,overlap_with_top5_variance,fraction_significant_in_top5_variance,overlap_with_matched_top_variance,fraction_significant_in_matched_top_variance
EuroLLM-1.7B,0,13,300,2048,0.9047059530461118,0.2162473489876707,0.3493045635564077,0.8903953325077929,0.9080170611542216,0.0433607486032099,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
EuroLLM-1.7B,6,13,300,2048,0.916331336450382,0.8455034412019651,0.6050270568685902,0.90521771933195,0.9251221004485616,0.0414927224698806,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
EuroLLM-1.7B,14,13,300,2048,0.7900691089438461,0.8110681630895094,0.8570199904573114,0.7699935247136227,0.7988603483862455,0.094565268879742,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
EuroLLM-1.7B,18,13,300,2048,0.7886083092980324,0.7883184122183895,0.6138309212897363,0.7734717370611403,0.7957914292468118,0.0822006574560934,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
EuroLLM-1.7B,24,13,300,2048,0.8666720714384681,0.3257004866397546,0.48126840936142,0.8517364370004495,0.8744229150314615,0.0598242800492123,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Falcon3-7B-Base,0,13,300,3072,0.9426148515165929,0.2417667408592549,0.1725890697452548,0.9366555200364304,0.9474622588237892,0.0218602844816284,0.0385852090032154,0.05,3072,1.0,0.05,154,0.0501302083333333,3072,1.0
Falcon3-7B-Base,7,13,300,3072,0.8848641484512959,0.7567024687437459,0.7444075245545375,0.8780893073336142,0.8954421725059488,0.0403767222617839,0.0385852090032154,0.05,3072,1.0,0.05,154,0.0501302083333333,3072,1.0
Falcon3-7B-Base,13,13,300,3072,0.7682529162600981,0.7586894509720479,0.7184990155570543,0.7501098554375233,0.7696390513280494,0.0903778048144534,0.0385852090032154,0.05,3072,1.0,0.05,154,0.0501302083333333,3072,1.0
Falcon3-7B-Base,21,13,300,3072,0.8917857535667262,0.780664317944184,0.5448715556937846,0.8857361216972798,0.9039626165005455,0.0388712153315893,0.0385852090032154,0.05,3072,1.0,0.05,154,0.0501302083333333,3072,1.0
Falcon3-7B-Base,28,13,300,3072,0.9235213569442612,0.827234275606013,0.2959378304607286,0.917378468332361,0.9327202554964982,0.0297197154401849,0.0385852090032154,0.05,3072,1.0,0.05,154,0.0501302083333333,3072,1.0
Mistral-7B-v0.3,0,13,300,4096,0.926541679794212,0.4115487045840325,0.2047628748322749,0.9197627344382304,0.9311793254450104,0.0265683829239109,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Mistral-7B-v0.3,2,13,300,4096,0.749392110380016,0.9981214867071724,0.999354269836646,0.7456905010521502,0.77812613468216,0.11390335230102,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Mistral-7B-v0.3,8,13,300,4096,0.7147293559082801,0.9478720669799195,0.9728418643231944,0.6986086873369389,0.7175954855133909,0.1001917481045751,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Mistral-7B-v0.3,24,13,300,4096,0.8761636879954061,0.6165667460642996,0.3568070098106164,0.8689215004185343,0.8894788949897496,0.0464195521077972,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Mistral-7B-v0.3,32,13,300,4096,0.9095009269253396,0.176228801643393,0.2545127599117197,0.899337318046934,0.915099617065492,0.0417517041690582,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
OLMo-2-0425-1B,0,13,300,2048,0.954619202847436,0.4057276074655873,0.2126052318769465,0.9507462464067148,0.9580223152523568,0.0158273119004375,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
OLMo-2-0425-1B,4,13,300,2048,0.919467716320266,0.7835998949277891,0.2495737536706141,0.9124830541322784,0.926004425879324,0.0288746917205124,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
OLMo-2-0425-1B,9,13,300,2048,0.8555304914009325,0.7076669621155083,0.27813023996282,0.8460803758407607,0.867599376485092,0.0524819263722406,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
OLMo-2-0425-1B,12,13,300,2048,0.904420775832538,0.6060124573498162,0.2035500112756893,0.8991548532009342,0.9146913834204506,0.0348092733229781,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
OLMo-2-0425-1B,16,13,300,2048,0.9001903125223955,0.5143888906941392,0.2970457335962003,0.8894041401782031,0.9024143106582864,0.0420911567831556,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
OLMo-2-1124-7B,0,13,300,4096,0.950174796066262,0.3839441828242655,0.2640061648370361,0.9452832946728148,0.9538453834824068,0.0184151050692633,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
OLMo-2-1124-7B,8,13,300,4096,0.8478119225422205,0.6752593000516811,0.1876451336487912,0.8362317811130757,0.8535726513331301,0.0526391507709615,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
OLMo-2-1124-7B,12,13,300,4096,0.7420740191771581,0.6702036911585529,0.1807356487038432,0.7250271784927736,0.7442056249705727,0.0920745255750581,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
