model,layer,sweeps,share_q50,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction
EuroLLM-1.7B,0,0,0.9080170611542216,1.0,0.40135430287464774,0.1830937547601917
EuroLLM-1.7B,0,1,0.9086754587260077,1.0,0.39731568995574185,0.18033275239001026
EuroLLM-1.7B,0,4,0.9079191899417681,1.0,0.39100949590189266,0.1769824823203285
EuroLLM-1.7B,0,16,0.9077771202927822,1.0,0.3845131398278872,0.17273113956340724
EuroLLM-1.7B,6,0,0.9251221004485617,1.0,0.7031984775041717,0.5659031654829988
EuroLLM-1.7B,6,1,0.9254041000340225,1.0,0.6963893354170738,0.5569946058824546
EuroLLM-1.7B,6,4,0.9231135836310734,1.0,0.6773039591652512,0.5247069366860979
EuroLLM-1.7B,6,16,0.8997559142292589,1.0,0.5441623452899347,0.30106265721822184
EuroLLM-1.7B,14,0,0.7988603483862455,1.0,0.8712123710949564,0.8161852894084888
EuroLLM-1.7B,14,1,0.7978076577965446,0.99990234375,0.8686806388394457,0.8123061292583124
EuroLLM-1.7B,14,4,0.7926984701889497,0.99970703125,0.8579671182717765,0.7957395639827618
EuroLLM-1.7B,14,16,0.5886039685341061,0.99658203125,0.6964852316053621,0.47447154612318476
EuroLLM-1.7B,18,0,0.7957914292468118,1.0,0.7138872194317007,0.6208819109838197
EuroLLM-1.7B,18,1,0.7951583895012451,0.99990234375,0.7083207663640387,0.612980828799881
EuroLLM-1.7B,18,4,0.7969909741786001,0.9998046875,0.6873553674836879,0.5834129828663084
EuroLLM-1.7B,18,16,0.6998610624692069,0.9990234375,0.5273768789009228,0.31553655799397157
EuroLLM-1.7B,24,0,0.8744229150314616,1.0,0.937203062517229,0.9191488475004836
EuroLLM-1.7B,24,1,0.8778791178773278,1.0,0.9306553820602558,0.9050328153587447
EuroLLM-1.7B,24,4,0.9033987724586205,1.0,0.8956965354903437,0.821243311565388
EuroLLM-1.7B,24,16,0.9754863904989215,1.0,0.5498967646664014,0.33260164338936515
Falcon3-7B-Base,0,0,0.9474622588237892,1.0,0.3215999595786685,0.1453161884438722
Falcon3-7B-Base,0,1,0.9472470449600697,1.0,0.314761063952563,0.14115068073184037
Falcon3-7B-Base,0,4,0.9471256129346918,1.0,0.30565539521384644,0.13287380819986144
Falcon3-7B-Base,0,16,0.947489558423223,1.0,0.29464551655281546,0.12830949872546782
Falcon3-7B-Base,7,0,0.8954421725059489,1.0,0.877677144479933,0.8099806122777302
Falcon3-7B-Base,7,1,0.89638571210486,1.0,0.8662444872316943,0.7922368298872541
Falcon3-7B-Base,7,4,0.8954745008809585,0.9997395833333332,0.8272574576102881,0.747463372928026
Falcon3-7B-Base,7,16,0.7081172095040331,0.9994140625,0.6207478647023886,0.41878304216799106
Falcon3-7B-Base,13,0,0.7696390513280496,1.0,0.9249525844879818,0.8395868238722815
Falcon3-7B-Base,13,1,0.7834022091738477,1.0,0.9108174577401039,0.8155729395407285
Falcon3-7B-Base,13,4,0.8105922702583822,0.999609375,0.8581382091496593,0.7559761594343068
Falcon3-7B-Base,13,16,0.6808128893870787,0.9988932291666666,0.6172475259919,0.4111562699014769
Falcon3-7B-Base,21,0,0.9039626165005454,1.0,0.7311763473896904,0.637547454784078
Falcon3-7B-Base,21,1,0.9008286248613446,1.0,0.7165650450268797,0.6177570555036356
Falcon3-7B-Base,21,4,0.8881577881658564,1.0,0.67298879358577,0.5670714727289716
Falcon3-7B-Base,21,16,0.7633163720913367,1.0,0.48003436287646456,0.31031287632661575
Falcon3-7B-Base,28,0,0.9327202554964981,1.0,0.6863308693404295,0.6061234490661848
Falcon3-7B-Base,28,1,0.9321715546459652,1.0,0.6702960178737837,0.5720714998346519
Falcon3-7B-Base,28,4,0.9332546276605054,1.0,0.606551411362023,0.4462040938015388
Falcon3-7B-Base,28,16,0.9435621526506374,1.0,0.35607769926949273,0.17188248227169867
Mistral-7B-v0.3,0,0,0.9311793254450104,1.0,0.3582254264854365,0.1807701738501371
