model,delta_share_q50,delta_fraction_language_heavy_by,delta_gini_ss_language,delta_top5_ss_language_fraction
EuroLLM-1.7B,-0.025366186219302755,0.0,-0.17472713948959429,-0.30534535298984816
Falcon3-7B-Base,-0.08882616194097082,0.0,-0.2569292797775443,-0.39119757010973916
Mistral-7B-v0.3,-0.053372629043468955,0.0,-0.1127965974717452,-0.25825957445993797
OLMo-2-0425-1B,-0.003720105237329463,0.0,-0.09688835654203098,-0.11137067157858091
OLMo-2-1124-7B,0.0008447140088722049,0.0,-0.10059319149594437,-0.123962605883985
Qwen3-0.6B-Base,-0.17489954192385804,0.0,-0.20741969453455944,-0.462208646280188
Qwen3-1.7B-Base,-0.07346120340305373,0.0,-0.20812697592444362,-0.4000701858614021
Qwen3-4B-Base,0.018274043910975757,0.0,-0.1710521333588796,-0.3550970891981666
Qwen3-8B-Base,-0.013689622606789187,0.0,-0.1309638814022671,-0.30116747356333307
SmolLM2-1.7B,-0.0837147992603372,0.0,-0.15357004318061396,-0.31937962525007657
bloom-1b7,-0.10896451854130162,0.0,-0.2038450939844484,-0.36275600858689483
bloom-7b1,-0.07474214550751801,-0.0001464843749999778,-0.1659151691189027,-0.27188305840661076
salamandra-2b,-0.0515233108294707,0.0,-0.1743019153121544,-0.39756728468060193
salamandra-7b,-0.11697367797062441,0.0,-0.16976833690618098,-0.38507847344719415
