model,layer,native_share_q50,native_fraction_language_heavy_by,native_gini_ss_language,native_top5_ss_language_fraction,sweep16_share_q50,sweep16_fraction_language_heavy_by,sweep16_gini_ss_language,sweep16_top5_ss_language_fraction,delta_share_q50,delta_fraction_language_heavy_by,delta_gini_ss_language,delta_top5_ss_language_fraction
EuroLLM-1.7B,0,0.9080170611542216,1.0,0.40135430287464774,0.1830937547601917,0.9077771202927822,1.0,0.3845131398278872,0.17273113956340724,-0.00023994086143941384,0.0,-0.016841163046760532,-0.01036261519678447
EuroLLM-1.7B,6,0.9251221004485617,1.0,0.7031984775041717,0.5659031654829988,0.8997559142292589,1.0,0.5441623452899347,0.30106265721822184,-0.025366186219302755,0.0,-0.15903613221423707,-0.26484050826477695
EuroLLM-1.7B,14,0.7988603483862455,1.0,0.8712123710949564,0.8161852894084888,0.5886039685341061,0.99658203125,0.6964852316053621,0.47447154612318476,-0.2102563798521394,-0.00341796875,-0.17472713948959429,-0.341713743285304
EuroLLM-1.7B,18,0.7957914292468118,1.0,0.7138872194317007,0.6208819109838197,0.6998610624692069,0.9990234375,0.5273768789009228,0.31553655799397157,-0.09593036677760491,-0.0009765625,-0.18651034053077797,-0.30534535298984816
EuroLLM-1.7B,24,0.8744229150314616,1.0,0.937203062517229,0.9191488475004836,0.9754863904989215,1.0,0.5498967646664014,0.33260164338936515,0.10106347546745986,0.0,-0.3873062978508276,-0.5865472041111185
Falcon3-7B-Base,0,0.9474622588237892,1.0,0.3215999595786685,0.1453161884438722,0.947489558423223,1.0,0.29464551655281546,0.12830949872546782,2.7299599433816546e-05,0.0,-0.026954443025853037,-0.017006689718404383
Falcon3-7B-Base,7,0.8954421725059489,1.0,0.877677144479933,0.8099806122777302,0.7081172095040331,0.9994140625,0.6207478647023886,0.41878304216799106,-0.1873249630019158,-0.0005859375000000222,-0.2569292797775443,-0.39119757010973916
Falcon3-7B-Base,13,0.7696390513280496,1.0,0.9249525844879818,0.8395868238722815,0.6808128893870787,0.9988932291666666,0.6172475259919,0.4111562699014769,-0.08882616194097082,-0.001106770833333437,-0.30770505849608176,-0.42843055397080454
Falcon3-7B-Base,21,0.9039626165005454,1.0,0.7311763473896904,0.637547454784078,0.7633163720913367,1.0,0.48003436287646456,0.31031287632661575,-0.1406462444092087,0.0,-0.25114198451322584,-0.3272345784574623
Falcon3-7B-Base,28,0.9327202554964981,1.0,0.6863308693404295,0.6061234490661848,0.9435621526506374,1.0,0.35607769926949273,0.17188248227169867,0.010841897154139302,0.0,-0.3302531700709368,-0.4342409667944861
Mistral-7B-v0.3,0,0.9311793254450104,1.0,0.3582254264854365,0.1807701738501371,0.9321797813136289,1.0,0.30336478670166744,0.1322565795595923,0.0010004558686185216,0.0,-0.05486063978376904,-0.048513594290544804
Mistral-7B-v0.3,2,0.77812613468216,1.0,0.9989038448274108,0.9989178987415727,0.43648868754507175,1.0,0.8878332170593323,0.7122210463280826,-0.3416374471370882,0.0,-0.11107062776807852,-0.2866968524134901
Mistral-7B-v0.3,8,0.7175954855133909,1.0,0.9800148186397607,0.9727672563102241,0.507188843429308,0.99970703125,0.8672182211680155,0.7145076818502861,-0.21040664208408288,-0.0002929687499999556,-0.1127965974717452,-0.25825957445993797
Mistral-7B-v0.3,24,0.8894788949897497,1.0,0.5117459835232991,0.3959978570791171,0.8361062659462808,1.0,0.35778496507995683,0.20755848507846775,-0.053372629043468955,0.0,-0.1539610184433423,-0.18843937200064936
Mistral-7B-v0.3,32,0.9150996170654924,1.0,0.8508601274115698,0.7654735621476473,0.9680475709481191,1.0,0.42242868118938015,0.24989090696900357,0.05294795388262674,0.0,-0.42843144622218965,-0.5155826551786438
OLMo-2-0425-1B,0,0.9580223152523569,1.0,0.3080299897527236,0.1331130600760792,0.9583371554197768,1.0,0.30614257001913786,0.13158537898138303,0.0003148401674198942,0.0,-0.001887419733585749,-0.0015276810946961705
OLMo-2-0425-1B,4,0.926004425879324,1.0,0.3748522204841076,0.2139583464205966,0.9222843206419945,1.0,0.3207311015911812,0.14476267405068122,-0.003720105237329463,0.0,-0.05412111889292642,-0.06919567236991539
OLMo-2-0425-1B,9,0.867599376485092,1.0,0.4557283698376787,0.3102547020080853,0.8534539204060243,1.0,0.3541505658085406,0.16954915148121638,-0.014145456079067698,0.0,-0.10157780402913813,-0.14070555052686892
OLMo-2-0425-1B,12,0.9146913834204508,1.0,0.3907792493624415,0.2435897482001162,0.8970425862636248,1.0,0.29389089282041053,0.1322190766215353,-0.01764879715682599,0.0,-0.09688835654203098,-0.11137067157858091
