model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
EuroLLM-1.7B,0,1729,0,2048,0.7465426469004054,0.8580555556535737,0.9080170611542215,0.9432132410926719,0.9725694697150645,0.9990234375,0.94775390625,0.55712890625,1.0,0.4013543028746478,0.18309375476019177,0.9262026290740315,0.0,1.3582391809690999e-16
EuroLLM-1.7B,0,1729,1,2048,0.7547593248985826,0.8594831886827002,0.9087091559754233,0.9427408089122264,0.9734073432876588,0.99951171875,0.95263671875,0.5546875,1.0,0.3959859501247913,0.18058707816179678,0.9262026290740315,1.7315343748375137e-16,0.0
EuroLLM-1.7B,0,1729,4,2048,0.7609644262042917,0.8575356657441062,0.9086786839131709,0.9425576953168917,0.9708749792735026,0.99853515625,0.95849609375,0.55615234375,1.0,0.3891563216911931,0.17787530429402898,0.9262026290740315,0.0,0.0
EuroLLM-1.7B,0,1729,16,2048,0.7570345217355987,0.860469937389893,0.9078155137515926,0.9414587039853461,0.971549404179112,0.9990234375,0.95751953125,0.552734375,1.0,0.38306540912730713,0.17492700889543084,0.9262026290740315,1.7315343748375137e-16,1.3582391809690999e-16
EuroLLM-1.7B,0,2718,0,2048,0.7465426469004054,0.8580555556535737,0.9080170611542215,0.9432132410926719,0.9725694697150645,0.9990234375,0.94775390625,0.55712890625,1.0,0.4013543028746478,0.18309375476019177,0.9262026290740315,0.0,1.3582391809690999e-16
EuroLLM-1.7B,0,2718,1,2048,0.7491875267849935,0.8587736671925673,0.9097600561662715,0.943117938273007,0.9727679629764202,0.9970703125,0.94921875,0.56494140625,1.0,0.3959938254818085,0.17802798490217886,0.9262026290740315,1.7315343748375137e-16,0.0
EuroLLM-1.7B,0,2718,4,2048,0.7560987963358511,0.858692382748764,0.9088649724926003,0.94207756742463,0.971987756027863,1.0,0.9541015625,0.5517578125,1.0,0.3915685928982946,0.18076816003175902,0.9262026290740315,1.7315343748375137e-16,0.0
EuroLLM-1.7B,0,2718,16,2048,0.7556644475633104,0.8616769964948853,0.9085941490621956,0.9418625808035491,0.9715322029167449,0.99951171875,0.95361328125,0.5458984375,1.0,0.3822125862462107,0.16918040983906418,0.9262026290740315,1.7315343748375137e-16,0.0
EuroLLM-1.7B,0,3141,0,2048,0.7465426469004054,0.8580555556535737,0.9080170611542215,0.9432132410926719,0.9725694697150645,0.9990234375,0.94775390625,0.55712890625,1.0,0.4013543028746478,0.18309375476019177,0.9262026290740315,0.0,1.3582391809690999e-16
EuroLLM-1.7B,0,3141,1,2048,0.7508539072415129,0.8574253700811351,0.9084008407384758,0.9426506595927809,0.9721880371701874,0.99951171875,0.951171875,0.5498046875,1.0,0.39997984975282974,0.1855905360058061,0.9262026290740315,1.7315343748375137e-16,1.3582391809690999e-16
EuroLLM-1.7B,0,3141,4,2048,0.7605983529414864,0.8579492458336153,0.9072861858009558,0.944303338848096,0.9718448682832643,1.0,0.95703125,0.54296875,1.0,0.3877718177762455,0.17363945559157343,0.9262026290740315,1.7315343748375137e-16,0.0
EuroLLM-1.7B,0,3141,16,2048,0.7529405050650413,0.8592375044218102,0.9079712095344429,0.9422949413677975,0.971185274816827,0.99951171875,0.95068359375,0.55859375,1.0,0.3816691117205484,0.16985029223675874,0.9262026290740315,0.0,0.0
EuroLLM-1.7B,0,5772,0,2048,0.7465426469004054,0.8580555556535737,0.9080170611542215,0.9432132410926719,0.9725694697150645,0.9990234375,0.94775390625,0.55712890625,1.0,0.4013543028746478,0.18309375476019177,0.9262026290740315,0.0,1.3582391809690999e-16
