model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
Falcon3-7B-Base,0,1729,0,3072,0.85825185651992,0.9209601686120398,0.9474622588237891,0.9640162131881291,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.14531618844387229,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,1729,1,3072,0.8637441141876336,0.9218145102678735,0.9472780804963715,0.964096177245415,0.9785492701856762,1.0,0.994140625,0.8626302083333334,1.0,0.3143828321289106,0.14055861121128568,0.9525606044767665,1.1126303148878455e-16,0.0
Falcon3-7B-Base,0,1729,4,3072,0.862768825186589,0.9238179525866133,0.9474674351225829,0.9630620943059126,0.9783843934647363,1.0,0.9944661458333334,0.8619791666666666,1.0,0.30896147301333965,0.1379326428389008,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,1729,16,3072,0.8669785050007193,0.924107068291681,0.9478807539996011,0.9634393063677763,0.9776831234994215,1.0,0.9957682291666666,0.8756510416666666,1.0,0.2949697364027031,0.12862608046463878,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,0,2718,0,3072,0.85825185651992,0.9209601686120398,0.9474622588237891,0.9640162131881291,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.14531618844387229,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,2718,1,3072,0.8659767070110341,0.9220462165949345,0.9472156922684403,0.9639990106923495,0.9788065860719898,1.0,0.9957682291666666,0.876953125,1.0,0.3096964653732477,0.1384963574962196,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,0,2718,4,3072,0.8623122724170779,0.9231133189907044,0.9466063139102485,0.9637382275877651,0.9784671802519785,1.0,0.9967447916666666,0.8662109375,1.0,0.30918189567404974,0.1322522990801763,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,0,2718,16,3072,0.8661094062281847,0.9236920432600664,0.9476180986570371,0.9635973608587765,0.9771699024856507,1.0,0.9973958333333334,0.8821614583333334,1.0,0.29291244594637567,0.12634312258235236,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,3141,0,3072,0.85825185651992,0.9209601686120398,0.9474622588237891,0.9640162131881291,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.14531618844387229,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,3141,1,3072,0.8612782509201219,0.921466510789215,0.9471933368400449,0.9641178061952138,0.9787973938208433,1.0,0.9964192708333334,0.8636067708333334,1.0,0.3162843560477655,0.14350485639301783,0.9525606044767665,1.1126303148878455e-16,1.3963181254987714e-16
Falcon3-7B-Base,0,3141,4,3072,0.8682282992217514,0.9232848108339411,0.9467868520775856,0.9637276505761465,0.9784851913531059,1.0,0.9970703125,0.8736979166666666,1.0,0.30290480149523913,0.13063186124226148,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,3141,16,3072,0.8617666122065649,0.922511289258594,0.9466346678900813,0.9630830260136678,0.9779153843818915,1.0,0.9964192708333334,0.8714192708333334,1.0,0.3041561847224905,0.1328837923015414,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,0,5772,0,3072,0.85825185651992,0.9209601686120398,0.9474622588237891,0.9640162131881291,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.14531618844387229,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,5772,1,3072,0.863554192403723,0.9203110244264665,0.947726930857304,0.9640634024137544,0.9790448822135208,1.0,0.9973958333333334,0.8518880208333334,1.0,0.3169922751235883,0.14074860085900887,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,5772,4,3072,0.8664212264976671,0.9223918272086106,0.9476449408935168,0.963825696903077,0.978041406404269,1.0,0.9964192708333334,0.8665364583333334,1.0,0.3029369723171331,0.13062261662690772,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,5772,16,3072,0.873991936343068,0.9241257475586073,0.9477774189627012,0.9623229032506619,0.9776319658818122,1.0,0.998046875,0.8863932291666666,1.0,0.2896166863065419,0.1281635227289501,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,8111,0,3072,0.85825185651992,0.9209601686120398,0.9474622588237891,0.9640162131881291,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.14531618844387229,0.9525606044767664,0.0,1.3963181254987714e-16
Falcon3-7B-Base,0,8111,1,3072,0.8627476571261202,0.9232561912758648,0.946821184338188,0.9634941774264729,0.9799847088497387,0.9996744791666666,0.9957682291666666,0.8629557291666666,1.0,0.3164493910893027,0.14244497769967002,0.9525606044767665,1.1126303148878455e-16,1.3963181254987714e-16
Falcon3-7B-Base,0,8111,4,3072,0.8644743191775364,0.9236237260109157,0.9471225226695248,0.9637131323497243,0.9782355679714536,1.0,0.9973958333333334,0.8723958333333334,1.0,0.30429183356947065,0.13292962121106103,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,0,8111,16,3072,0.8699815599697827,0.9242967538408257,0.9475368526066948,0.9631257791047977,0.9772708693476656,1.0,0.9957682291666666,0.875,1.0,0.2915725293859661,0.12553097554985668,0.9525606044767664,0.0,0.0
Falcon3-7B-Base,7,1729,0,3072,0.7466491519798171,0.8517348656679086,0.8954421725059489,0.9251021921664081,0.9536854165776061,0.99609375,0.947265625,0.4651692708333333,1.0,0.877677144479933,0.8099806122777302,0.6091453325558097,2.283691602266263e-16,8.897809060422875e-16
Falcon3-7B-Base,7,1729,1,3072,0.7423880647470007,0.8521147733467576,0.8958712160106453,0.9270140457101391,0.9534385346243248,0.99609375,0.9443359375,0.4690755208333333,1.0,0.8669598783464012,0.7930596955900509,0.60914533255581,0.0,1.7795618120845748e-16
Falcon3-7B-Base,7,1729,4,3072,0.6858916828248778,0.8456759036066179,0.8945141647777735,0.9258378190354213,0.9547382076198159,0.9895833333333334,0.9140625,0.4651692708333333,0.9996744791666666,0.8297179663353171,0.7527635134365301,0.6091453325558099,2.283691602266263e-16,0.0
Falcon3-7B-Base,7,1729,16,3072,0.3718825609052696,0.5725988978251795,0.7065921398235349,0.8301973295451622,0.9211562925762045,0.8639322916666666,0.4130859375,0.09114583333333333,0.9996744791666666,0.6233235239568233,0.4200049427910994,0.6091453325558099,2.283691602266263e-16,0.0
Falcon3-7B-Base,7,2718,0,3072,0.7466491519798171,0.8517348656679086,0.8954421725059489,0.9251021921664081,0.9536854165776061,0.99609375,0.947265625,0.4651692708333333,1.0,0.877677144479933,0.8099806122777302,0.6091453325558097,2.283691602266263e-16,8.897809060422875e-16
Falcon3-7B-Base,7,2718,1,3072,0.741406727698308,0.852533754160594,0.897199632883152,0.925695978037285,0.9538656606845439,0.9954427083333334,0.9469401041666666,0.4768880208333333,1.0,0.8654448317459154,0.7910942406892593,0.6091453325558099,2.283691602266263e-16,1.7795618120845748e-16
Falcon3-7B-Base,7,2718,4,3072,0.6863272158912455,0.8423631609821308,0.8959791196085665,0.9290848349976656,0.9560015034034929,0.9873046875,0.9095052083333334,0.4720052083333333,0.9993489583333334,0.8247776201904995,0.7413202699878835,0.6091453325558099,2.283691602266263e-16,0.0
Falcon3-7B-Base,7,2718,16,3072,0.38614644913698054,0.5785132659958355,0.7159456708312815,0.8304765789478743,0.9242594674863502,0.8707682291666666,0.4309895833333333,0.09928385416666667,0.9996744791666666,0.6232755479720016,0.43287714372748787,0.60914533255581,2.283691602266263e-16,1.7795618120845748e-16
Falcon3-7B-Base,7,3141,0,3072,0.7466491519798171,0.8517348656679086,0.8954421725059489,0.9251021921664081,0.9536854165776061,0.99609375,0.947265625,0.4651692708333333,1.0,0.877677144479933,0.8099806122777302,0.6091453325558097,2.283691602266263e-16,8.897809060422875e-16
Falcon3-7B-Base,7,3141,1,3072,0.7372836537512453,0.851957446093516,0.8961190547874859,0.9252131689279961,0.9543734691916667,0.99609375,0.9404296875,0.4680989583333333,1.0,0.8671307755620841,0.7939642127145061,0.6091453325558099,2.283691602266263e-16,0.0
Falcon3-7B-Base,7,3141,4,3072,0.7055103109636521,0.8444461139170576,0.8955881253448339,0.9263864089334177,0.9554518534452656,0.9889322916666666,0.9208984375,0.46484375,1.0,0.8264077687153069,0.7460280215067872,0.6091453325558099,0.0,1.7795618120845748e-16
Falcon3-7B-Base,7,3141,16,3072,0.38921112717624845,0.5724050254173338,0.6919740309345064,0.8231638538170258,0.9179699117625092,0.8636067708333334,0.3844401041666667,0.0771484375,0.9993489583333334,0.6013374589924947,0.3762133043377048,0.6091453325558099,0.0,1.7795618120845748e-16
Falcon3-7B-Base,7,5772,0,3072,0.7466491519798171,0.8517348656679086,0.8954421725059489,0.9251021921664081,0.9536854165776061,0.99609375,0.947265625,0.4651692708333333,1.0,0.877677144479933,0.8099806122777302,0.6091453325558097,2.283691602266263e-16,8.897809060422875e-16
Falcon3-7B-Base,7,5772,1,3072,0.7363768813192075,0.8527556010244617,0.8969116237064381,0.9247764741132682,0.9550309840434448,0.9951171875,0.939453125,0.4749348958333333,1.0,0.8655310160458558,0.7914589177534833,0.60914533255581,1.1418458011331314e-16,0.0
Falcon3-7B-Base,7,5772,4,3072,0.6961550069843679,0.8452182844234077,0.895778811804457,0.9271038188812871,0.9545233525503575,0.990234375,0.91796875,0.46875,0.9996744791666666,0.8291708277978886,0.7486539576848639,0.60914533255581,1.1418458011331314e-16,1.7795618120845748e-16
Falcon3-7B-Base,7,5772,16,3072,0.39396688667951674,0.5779674479622072,0.705934014913657,0.825123060481373,0.9215056342944645,0.8671875,0.4108072916666667,0.09049479166666667,0.9993489583333334,0.6142344904875849,0.4067789527574062,0.6091453325558099,0.0,1.7795618120845748e-16
Falcon3-7B-Base,7,8111,0,3072,0.7466491519798171,0.8517348656679086,0.8954421725059489,0.9251021921664081,0.9536854165776061,0.99609375,0.947265625,0.4651692708333333,1.0,0.877677144479933,0.8099806122777302,0.6091453325558097,2.283691602266263e-16,8.897809060422875e-16
Falcon3-7B-Base,7,8111,1,3072,0.7368247574471078,0.8499858113842098,0.8958270331365782,0.9261372943157824,0.9548618313716617,0.9947916666666666,0.939453125,0.4684244791666667,1.0,0.8661559344582148,0.7916070826889708,0.6091453325558099,1.1418458011331314e-16,1.7795618120845748e-16
Falcon3-7B-Base,7,8111,4,3072,0.6897433375703681,0.8453958217525198,0.8955122828691615,0.9276223059607863,0.9552130326647441,0.9869791666666666,0.9143880208333334,0.4664713541666667,1.0,0.8262131050124286,0.7485511020240656,0.6091453325558099,0.0,1.7795618120845748e-16
Falcon3-7B-Base,7,8111,16,3072,0.3886367741189153,0.5804011695439834,0.7201401910171862,0.8368920986687274,0.9262339000987176,0.8665364583333334,0.4440104166666667,0.10611979166666667,0.9990234375,0.6415683021030385,0.4580408672262571,0.6091453325558099,0.0,1.7795618120845748e-16
Falcon3-7B-Base,13,1729,0,3072,0.5201962926464836,0.6785212455014002,0.7696390513280496,0.8437566976290819,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879818,0.8395868238722813,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,1729,1,3072,0.5355314076664752,0.6879089993886389,0.781569589262737,0.8516339888022447,0.9163795740901383,0.9694010416666666,0.595703125,0.09114583333333333,1.0,0.9110573018908752,0.8149534394824761,0.6063329368780567,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,1729,4,3072,0.5488952072271368,0.7270244107989461,0.8082385478724746,0.8689152384954374,0.9226134196479653,0.9690755208333334,0.6901041666666666,0.11881510416666667,0.9990234375,0.8589106448699404,0.7575147276051222,0.6063329368780566,2.084339402785201e-16,1.6051681102286252e-16
Falcon3-7B-Base,13,1729,16,3072,0.3518238111329693,0.5490452726563663,0.6732994437781032,0.7806163083079635,0.886113449322968,0.8297526041666666,0.3359375,0.030598958333333332,0.9986979166666666,0.6060690385220635,0.39806719183405476,0.6063329368780566,0.0,0.0
Falcon3-7B-Base,13,2718,0,3072,0.5201962926464836,0.6785212455014002,0.7696390513280496,0.8437566976290819,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879818,0.8395868238722813,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,2718,1,3072,0.5336023869302599,0.690072914499242,0.7837296507923311,0.8523098084408565,0.9159850829728331,0.9661458333333334,0.5970052083333334,0.09049479166666667,1.0,0.9113980615588257,0.8165314345020234,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,2718,4,3072,0.5488400945971249,0.7228637019931042,0.8116715314450925,0.8715080261688338,0.9239615978630423,0.9694010416666666,0.6865234375,0.12174479166666667,1.0,0.8599570911661858,0.7589887004018003,0.6063329368780566,0.0,0.0
Falcon3-7B-Base,13,2718,16,3072,0.3679820488464349,0.5613707376293873,0.6832083354248426,0.7924681835740586,0.8938417760302242,0.8466796875,0.345703125,0.039713541666666664,0.9983723958333334,0.6282338855593073,0.4273344079757758,0.6063329368780566,0.0,0.0
Falcon3-7B-Base,13,3141,0,3072,0.5201962926464836,0.6785212455014002,0.7696390513280496,0.8437566976290819,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879818,0.8395868238722813,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,3141,1,3072,0.5355077569119006,0.6935286041223356,0.7851829563381011,0.8516720459795684,0.9181424124666641,0.9671223958333334,0.6067708333333334,0.08951822916666667,1.0,0.9099774498169313,0.8131193308893707,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,3141,4,3072,0.5530383768449224,0.727058581232073,0.8124252585657135,0.870342496062587,0.9246713782988029,0.9710286458333334,0.6953125,0.11783854166666667,0.9996744791666666,0.8550183303544192,0.750437421548348,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,3141,16,3072,0.37131883495432944,0.561488067531863,0.6803103797440919,0.7886204526547123,0.887482462127217,0.8401692708333334,0.337890625,0.03515625,0.9990234375,0.6076620203682566,0.38497503061580507,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,5772,0,3072,0.5201962926464836,0.6785212455014002,0.7696390513280496,0.8437566976290819,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879818,0.8395868238722813,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,5772,1,3072,0.5346554477202655,0.6877553626410942,0.782410515368376,0.8547407650799657,0.9182358213102162,0.9677734375,0.6080729166666666,0.08528645833333333,1.0,0.9103916544882917,0.8167815928969859,0.6063329368780566,0.0,0.0
Falcon3-7B-Base,13,5772,4,3072,0.5470305516687121,0.7227447354971753,0.8103502578062658,0.8686997347885647,0.9251154517286221,0.9697265625,0.6943359375,0.1220703125,1.0,0.8567807499101496,0.7545230478469567,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,5772,16,3072,0.36574397888668764,0.5597350995083895,0.6818827849375082,0.7944809620242831,0.8931755597030843,0.8401692708333334,0.3453776041666667,0.0390625,0.9990234375,0.6090477226552482,0.39801537888742416,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,8111,0,3072,0.5201962926464836,0.6785212455014002,0.7696390513280496,0.8437566976290819,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879818,0.8395868238722813,0.6063329368780566,0.0,3.2103362204572503e-16
Falcon3-7B-Base,13,8111,1,3072,0.5308368781796086,0.6871530745766651,0.7841183341076932,0.8538526667414092,0.9168905280840549,0.9641927083333334,0.6090494791666666,0.08365885416666667,1.0,0.9112628209455955,0.8164788999327858,0.6063329368780564,0.0,4.815504330685875e-16
Falcon3-7B-Base,13,8111,4,3072,0.5484937899654015,0.7222129449429511,0.810275755602365,0.8693895579500841,0.9239042814927569,0.9723307291666666,0.6875,0.12955729166666666,0.9993489583333334,0.8600242294476017,0.7584168997693075,0.6063329368780566,0.0,1.6051681102286252e-16
Falcon3-7B-Base,13,8111,16,3072,0.3613228555844937,0.5565904310768456,0.6853635030508478,0.7924513232365328,0.8941829669335533,0.8499348958333334,0.3564453125,0.042643229166666664,0.9993489583333334,0.6352249628546247,0.447389340194325,0.6063329368780566,0.0,0.0
