model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
Mistral-7B-v0.3,0,1729,0,4096,0.8296911460972933,0.9002168245557738,0.9311793254450105,0.9523147681660513,0.972267013661968,1.0,0.9892578125,0.7509765625,1.0,0.35822542648543654,0.1807701738501371,0.9389664653625237,1.3113687854322047e-16,2.52183353085688e-16
Mistral-7B-v0.3,0,1729,1,4096,0.8243409759906614,0.9007512889885184,0.9303154072089307,0.9524488204176127,0.9726086027253567,1.0,0.990966796875,0.755615234375,1.0,0.35347851660743435,0.17392437860258195,0.9389664653625237,1.3113687854322047e-16,2.52183353085688e-16
Mistral-7B-v0.3,0,1729,4,4096,0.8328679288465466,0.901060569501327,0.9319121922928023,0.9530492797147527,0.9721630876762954,0.99951171875,0.988525390625,0.75732421875,1.0,0.32671475822186613,0.15021219347410963,0.9389664653625236,0.0,2.52183353085688e-16
Mistral-7B-v0.3,0,1729,16,4096,0.8325696171655024,0.9023904739189132,0.9320136106386749,0.9528708420716346,0.9719210751456702,0.999755859375,0.9921875,0.76513671875,1.0,0.3033705956649184,0.13010149403594148,0.9389664653625236,0.0,1.26091676542844e-16
Mistral-7B-v0.3,0,2718,0,4096,0.8296911460972933,0.9002168245557738,0.9311793254450105,0.9523147681660513,0.972267013661968,1.0,0.9892578125,0.7509765625,1.0,0.35822542648543654,0.1807701738501371,0.9389664653625237,1.3113687854322047e-16,2.52183353085688e-16
Mistral-7B-v0.3,0,2718,1,4096,0.8265193342902324,0.8997646446628043,0.931884297533489,0.9530399983184783,0.9721519821152864,1.0,0.991455078125,0.748291015625,1.0,0.34869356409030017,0.16956361663978792,0.9389664653625237,1.3113687854322047e-16,3.78275029628532e-16
Mistral-7B-v0.3,0,2718,4,4096,0.8310885239898471,0.898952717753565,0.9313597690221312,0.9537869074098763,0.9725650703365462,1.0,0.989990234375,0.741455078125,1.0,0.3315321889395044,0.14793726713200445,0.9389664653625236,0.0,1.26091676542844e-16
Mistral-7B-v0.3,0,2718,16,4096,0.82580336925875,0.90117931070014,0.93217653295479,0.9533053436808211,0.9723158967814286,1.0,0.98876953125,0.75537109375,1.0,0.30734310966166833,0.13368023365048065,0.9389664653625236,1.3113687854322047e-16,1.26091676542844e-16
Mistral-7B-v0.3,0,3141,0,4096,0.8296911460972933,0.9002168245557738,0.9311793254450105,0.9523147681660513,0.972267013661968,1.0,0.9892578125,0.7509765625,1.0,0.35822542648543654,0.1807701738501371,0.9389664653625237,1.3113687854322047e-16,2.52183353085688e-16
Mistral-7B-v0.3,0,3141,1,4096,0.8311125223211779,0.9015579499819969,0.9313631094023527,0.9521731907251311,0.9717495549649142,0.999755859375,0.9892578125,0.75927734375,1.0,0.34859407901564166,0.17028049979958054,0.9389664653625236,0.0,2.52183353085688e-16
Mistral-7B-v0.3,0,3141,4,4096,0.8280387647996561,0.9002811726727123,0.9331921910929857,0.9533802109914677,0.9720487662015256,1.0,0.989501953125,0.751220703125,1.0,0.3231317572072061,0.14642608226650738,0.9389664653625236,0.0,1.26091676542844e-16
Mistral-7B-v0.3,0,3141,16,4096,0.8314052997757106,0.9012394232275354,0.9323789963679838,0.9534383304033407,0.9719429316285287,1.0,0.992919921875,0.7568359375,1.0,0.30098794696884745,0.13168572624219835,0.9389664653625237,1.3113687854322047e-16,2.52183353085688e-16
