model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
OLMo-2-0425-1B,0,1729,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921432,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.1331130600760792,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,1729,1,2048,0.891024994880124,0.9385167007981039,0.9586211889001911,0.9716460733564581,0.9818837326301064,1.0,0.99951171875,0.93408203125,1.0,0.3049437435780169,0.13037739100681356,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,1729,4,2048,0.8971124660648793,0.9379867686811161,0.9584181376285603,0.9711259013102911,0.9825469197226306,1.0,0.99951171875,0.94384765625,1.0,0.3052606981982755,0.13214764535518678,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,1729,16,2048,0.888913030422181,0.9380395072542248,0.9585795945412284,0.9714191056003555,0.9826582603259637,1.0,0.9990234375,0.9296875,1.0,0.30926362879949965,0.13288918933766156,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,2718,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921432,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.1331130600760792,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,2718,1,2048,0.8931068599420894,0.9382081255093202,0.9583659940653225,0.9714906352780028,0.9825442451310673,1.0,0.998046875,0.9384765625,1.0,0.3102803072986955,0.13284702510316376,0.9629926236117022,3.3234703012443015e-16,0.0
OLMo-2-0425-1B,0,2718,4,2048,0.8940911762872312,0.9378390596465296,0.9575745132470399,0.9710289499224046,0.9825469420993098,1.0,0.9990234375,0.94189453125,1.0,0.3115322051006366,0.13574679982007645,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,2718,16,2048,0.8961719650134712,0.9387295670095108,0.9580943986833693,0.9711786011832815,0.9822323752620148,1.0,0.99951171875,0.94482421875,1.0,0.30615133911596626,0.1305915808365545,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,3141,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921432,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.1331130600760792,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,3141,1,2048,0.889581804852379,0.9390531795749277,0.9584269504984755,0.9708870285695309,0.9826871536910622,1.0,0.99951171875,0.9365234375,1.0,0.3061224884620668,0.131329375859735,0.9629926236117022,3.3234703012443015e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,3141,4,2048,0.8947966247583231,0.938419313860648,0.9582015843031224,0.9712168464289247,0.9827340106178086,1.0,0.9990234375,0.93603515625,1.0,0.30863617762235473,0.13494383329193455,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,3141,16,2048,0.8891190526707596,0.9383408297744262,0.9583366963818627,0.9712052697761767,0.9828362330616404,1.0,0.99951171875,0.93115234375,1.0,0.30881624206287217,0.13346825774316348,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,5772,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921432,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.1331130600760792,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,5772,1,2048,0.8928226470550767,0.9388277090880556,0.9581235556793875,0.970923975577743,0.9826730471642718,1.0,0.9990234375,0.9404296875,1.0,0.3091660454643639,0.13700620275020137,0.9629926236117022,0.0,1.3512835553166113e-16
OLMo-2-0425-1B,0,5772,4,2048,0.8934310791601101,0.93846261801833,0.9579563570250518,0.9708578938900154,0.9828836057427953,1.0,0.99853515625,0.9345703125,1.0,0.31010680000919777,0.1351796459368775,0.9629926236117022,3.3234703012443015e-16,0.0
OLMo-2-0425-1B,0,5772,16,2048,0.8967295645830792,0.9410845883637432,0.9581672226039073,0.9704713833493079,0.9822756156228937,1.0,0.99951171875,0.94189453125,1.0,0.2986958397351187,0.1296430566849023,0.9629926236117022,0.0,0.0
OLMo-2-0425-1B,0,8111,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921432,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.1331130600760792,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,0,8111,1,2048,0.8929654692939535,0.9379253483398114,0.957347138316175,0.9707579707300394,0.9827573366432282,1.0,0.9990234375,0.9365234375,1.0,0.31342409676354,0.13628943442516445,0.9629926236117022,1.6617351506221507e-16,1.3512835553166113e-16
OLMo-2-0425-1B,0,8111,4,2048,0.8908111196209707,0.938783217726688,0.957293186763553,0.9709622243512837,0.9828213877041715,1.0,0.99853515625,0.9296875,1.0,0.31247078742556056,0.1356814827348581,0.9629926236117022,0.0,0.0
OLMo-2-0425-1B,0,8111,16,2048,0.8907664164278263,0.939919305927152,0.9585078648885166,0.9709940313933667,0.9826399749667457,1.0,0.998046875,0.931640625,1.0,0.3077858003822327,0.13133481030463345,0.9629926236117022,1.6617351506221507e-16,0.0
OLMo-2-0425-1B,4,1729,0,2048,0.8103564867798618,0.891336861572131,0.9260044258793241,0.9475568631533163,0.9689239913360052,1.0,0.98681640625,0.70166015625,1.0,0.3748522204841076,0.2139583464205966,0.9294028666797529,1.511357971872547e-16,0.0
OLMo-2-0425-1B,4,1729,1,2048,0.8142830065723996,0.8919593580990195,0.9257448379864079,0.9473221815385764,0.9686356905088945,1.0,0.98876953125,0.7041015625,1.0,0.3650353977734433,0.20752176481797338,0.9294028666797529,1.511357971872547e-16,1.243553000645343e-16
OLMo-2-0425-1B,4,1729,4,2048,0.8142490015976949,0.8882363424813313,0.9245289044070707,0.9475448559461815,0.9696877692281034,1.0,0.986328125,0.68701171875,1.0,0.35607820208667884,0.1895262617696712,0.9294028666797529,1.511357971872547e-16,1.243553000645343e-16
OLMo-2-0425-1B,4,1729,16,2048,0.8021696791470629,0.8842192732219062,0.920932321329384,0.9472590781141468,0.9699508198383511,1.0,0.9794921875,0.6669921875,1.0,0.3293123163971339,0.14985471527196004,0.9294028666797529,1.511357971872547e-16,1.243553000645343e-16
