model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
Qwen3-0.6B-Base,0,1729,0,1024,0.6958749463400818,0.8191688133013257,0.8800868500963923,0.9182435075725895,0.955995751283537,0.9970703125,0.8974609375,0.36328125,1.0,0.4182639271954893,0.23595244406867197,0.900336489312419,0.0,1.940559693226847e-16
Qwen3-0.6B-Base,0,1729,1,1024,0.7035623705943288,0.825684290163099,0.88334265281291,0.9212205565599353,0.9567409438969985,0.994140625,0.90234375,0.388671875,1.0,0.4013660886670838,0.21594426249813098,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
Qwen3-0.6B-Base,0,1729,4,1024,0.7093845071681973,0.8289570402991294,0.8875806027278166,0.9251800622930333,0.9585680213768353,0.9990234375,0.9111328125,0.4189453125,1.0,0.37514599493992007,0.17877786509137247,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
Qwen3-0.6B-Base,0,1729,16,1024,0.7461459122480274,0.8387387539775384,0.8903104318904248,0.9252022638505808,0.9575836744479521,0.9970703125,0.9453125,0.435546875,1.0,0.33380267544578657,0.1486642839120532,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
Qwen3-0.6B-Base,0,2718,0,1024,0.6958749463400818,0.8191688133013257,0.8800868500963923,0.9182435075725895,0.955995751283537,0.9970703125,0.8974609375,0.36328125,1.0,0.4182639271954893,0.23595244406867197,0.900336489312419,0.0,1.940559693226847e-16
Qwen3-0.6B-Base,0,2718,1,1024,0.7029945664319227,0.8196256241436434,0.8778133614848296,0.9208816153886329,0.9586257254638456,0.998046875,0.9052734375,0.3740234375,1.0,0.41333991940359294,0.22229044888712043,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
Qwen3-0.6B-Base,0,2718,4,1024,0.7006144965190408,0.8246921231770932,0.8835966585330921,0.9231650605115953,0.9584511768164835,0.9970703125,0.892578125,0.4052734375,1.0,0.3882902670720021,0.18505752330796,0.900336489312419,0.0,3.881119386453694e-16
Qwen3-0.6B-Base,0,2718,16,1024,0.7340717904866749,0.8380230674208902,0.8898877420909883,0.9274925869144908,0.9603801900284755,0.998046875,0.9365234375,0.4306640625,1.0,0.33137939467303057,0.14305575061371412,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
Qwen3-0.6B-Base,0,3141,0,1024,0.6958749463400818,0.8191688133013257,0.8800868500963923,0.9182435075725895,0.955995751283537,0.9970703125,0.8974609375,0.36328125,1.0,0.4182639271954893,0.23595244406867197,0.900336489312419,0.0,1.940559693226847e-16
Qwen3-0.6B-Base,0,3141,1,1024,0.6990612920582585,0.8237347685848182,0.8796121775292511,0.9187314181089389,0.9567803670293669,0.998046875,0.8974609375,0.3671875,1.0,0.41382160434652926,0.22698184591968715,0.900336489312419,1.7184951983763592e-16,1.940559693226847e-16
