model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
Qwen3-8B-Base,0,1729,0,4096,0.7086932347085546,0.8235750461564205,0.8781872295299682,0.9155703085840177,0.9515803639818067,0.99658203125,0.914794921875,0.35595703125,1.0,0.3888333615960782,0.22085537692341245,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,1729,1,4096,0.7121973518526803,0.8237160185130985,0.8763357219413633,0.9152819220351424,0.9508754252590405,0.995361328125,0.916015625,0.358642578125,1.0,0.38190531216361,0.21059011223724203,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,1729,4,4096,0.6992248788792415,0.8212932083177511,0.8733261804605794,0.9127431631237537,0.9512750105240582,0.99560546875,0.901123046875,0.327880859375,1.0,0.3634430384844425,0.18571334810888793,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,1729,16,4096,0.6840929281519506,0.8062050051051144,0.8643772991043615,0.9077881378480195,0.9470655213406807,0.9951171875,0.882080078125,0.296142578125,1.0,0.32299127297698904,0.14352356111414152,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,2718,0,4096,0.7086932347085546,0.8235750461564205,0.8781872295299682,0.9155703085840177,0.9515803639818067,0.99658203125,0.914794921875,0.35595703125,1.0,0.3888333615960782,0.22085537692341245,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,2718,1,4096,0.7095766664193127,0.8240899409055545,0.8787413419804547,0.9155326850530139,0.9518671832817699,0.99462890625,0.91455078125,0.35693359375,1.0,0.3805622591604698,0.21069221176418054,0.8766633789350756,1.8451981442538018e-16,3.2788672698734744e-16
Qwen3-8B-Base,0,2718,4,4096,0.6962859372243639,0.8197354709613818,0.8751847910178685,0.9144573753006902,0.9503333789053746,0.99462890625,0.899169921875,0.3427734375,1.0,0.3678763482933287,0.1894946509455126,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,2718,16,4096,0.6828443397732828,0.8069787214485706,0.8641386731468981,0.908013516884927,0.9463411848323801,0.9951171875,0.881103515625,0.299072265625,1.0,0.32646106376146067,0.14218422275500917,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,3141,0,4096,0.7086932347085546,0.8235750461564205,0.8781872295299682,0.9155703085840177,0.9515803639818067,0.99658203125,0.914794921875,0.35595703125,1.0,0.3888333615960782,0.22085537692341245,0.8766633789350758,0.0,3.2788672698734744e-16
Qwen3-8B-Base,0,3141,1,4096,0.7064291466354574,0.8232506309055313,0.8781685213833951,0.9160239490359583,0.9515515163032466,0.99560546875,0.9072265625,0.35791015625,1.0,0.38494753613918165,0.21277484226176932,0.8766633789350758,0.0,3.2788672698734744e-16
