model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
SmolLM2-1.7B,0,1729,0,2048,0.8984789630927273,0.9437677350214932,0.9626910914920469,0.9756906640917955,0.98693021869737,1.0,0.9990234375,0.9482421875,1.0,0.42646801157056635,0.2531965681466388,0.9692507392610611,0.0,1.5686910336701746e-16
SmolLM2-1.7B,0,1729,1,2048,0.8929348442278386,0.9443559270522324,0.963796836121636,0.9758017020886465,0.9869158027880466,1.0,0.9990234375,0.93994140625,1.0,0.4152756900698136,0.2363461268266424,0.9692507392610611,0.0,0.0
SmolLM2-1.7B,0,1729,4,2048,0.9013885909446221,0.9465742704201106,0.9650794264796864,0.976120239994301,0.9866347526997685,1.0,0.9990234375,0.95068359375,1.0,0.3830748617788493,0.19823803073223584,0.9692507392610611,0.0,0.0
SmolLM2-1.7B,0,1729,16,2048,0.909067188807044,0.9500337201527915,0.965988112050826,0.977107469126321,0.9855674710652654,1.0,0.99951171875,0.962890625,1.0,0.3235621960542432,0.13950680200353918,0.9692507392610611,0.0,1.5686910336701746e-16
SmolLM2-1.7B,0,2718,0,2048,0.8984789630927273,0.9437677350214932,0.9626910914920469,0.9756906640917955,0.98693021869737,1.0,0.9990234375,0.9482421875,1.0,0.42646801157056635,0.2531965681466388,0.9692507392610611,0.0,1.5686910336701746e-16
SmolLM2-1.7B,0,2718,1,2048,0.8990508310491033,0.9446732374451589,0.9639163100378902,0.9761739787793565,0.9865818997772574,1.0,0.99853515625,0.9453125,1.0,0.4078487582752117,0.23173070363496023,0.9692507392610611,0.0,0.0
SmolLM2-1.7B,0,2718,4,2048,0.8976038926169164,0.9453626867754854,0.965742505531499,0.9764487214065771,0.9858895005190552,1.0,0.9990234375,0.9453125,1.0,0.3798597207063861,0.19524656700631352,0.9692507392610611,0.0,0.0
SmolLM2-1.7B,0,2718,16,2048,0.9112483503175592,0.9491012491086395,0.9667341142579102,0.9767868079902511,0.9858616059833641,1.0,1.0,0.9658203125,1.0,0.32393474395729216,0.1439874482904046,0.9692507392610611,0.0,1.5686910336701746e-16
SmolLM2-1.7B,0,3141,0,2048,0.8984789630927273,0.9437677350214932,0.9626910914920469,0.9756906640917955,0.98693021869737,1.0,0.9990234375,0.9482421875,1.0,0.42646801157056635,0.2531965681466388,0.9692507392610611,0.0,1.5686910336701746e-16
SmolLM2-1.7B,0,3141,1,2048,0.90013226759972,0.9445673688090839,0.9636017409505366,0.9758530498606782,0.9865638719966654,1.0,1.0,0.94970703125,1.0,0.4117897870455207,0.23705967545137854,0.9692507392610611,0.0,0.0
