family,preprocessing,metric,n_cells,n_analytic,n_pass,n_fail,max_absolute_error,max_relative_error
diagonal,raw,aar10,42,0,0,0,,
diagonal,raw,concept_participation_ratio,42,0,0,0,,
diagonal,raw,concept_rank_covariance_entropy,42,0,0,0,,
diagonal,raw,concept_rank_singular_entropy,42,0,0,0,,
diagonal,raw,concept_share_total,42,0,0,0,,
diagonal,raw,cpres_shared_ratio,42,0,0,0,,
diagonal,raw,cpres_shared_raw,42,0,0,0,,
diagonal,raw,cvp_within_ratio,42,0,0,0,,
diagonal,raw,cvp_within_raw,42,0,0,0,,
diagonal,raw,language_share_total,42,0,0,0,,
diagonal,raw,lfs_direct,42,0,0,0,,
diagonal,raw,lfs_vc_reml,42,0,0,0,,
diagonal,raw,linear_cka,42,0,0,0,,
diagonal,raw,mean_alignment_margin,42,0,0,0,,
diagonal,raw,mean_norm,42,0,0,0,,
diagonal,raw,mexa_external,42,0,0,0,,
diagonal,raw,residual_share_total,42,0,0,0,,
diagonal,raw,ss_concept,42,0,0,0,,
diagonal,raw,ss_language,42,0,0,0,,
diagonal,raw,ss_residual,42,0,0,0,,
diagonal,standardized,aar10,42,42,42,0,1.1102230246251565e-16,5.713639129615852e-16
diagonal,standardized,concept_participation_ratio,42,42,42,0,3.552713678800501e-14,9.744340335660846e-16
diagonal,standardized,concept_rank_covariance_entropy,42,42,42,0,1.7053025658242404e-13,1.8368976991540476e-15
diagonal,standardized,concept_rank_singular_entropy,42,42,42,0,6.92994461815033e-07,2.875142784557113e-09
diagonal,standardized,concept_share_total,42,42,42,0,5.551115123125783e-17,3.85894046354645e-16
diagonal,standardized,cpres_shared_raw,42,42,42,0,2.2737367544323206e-13,3.596504598167929e-16
diagonal,standardized,cvp_within_raw,42,42,42,0,4.547473508864641e-13,2.2091516640098406e-16
diagonal,standardized,language_share_total,42,42,42,0,1.1102230246251565e-16,4.2645737771052273e-16
diagonal,standardized,lfs_direct,42,42,42,0,1.6653345369377348e-16,3.7066537625390196e-16
diagonal,standardized,lfs_vc_reml,42,42,42,0,1.6653345369377348e-16,3.3574420942000756e-16
diagonal,standardized,linear_cka,42,42,42,0,1.1102230246251565e-16,2.0707399558162685e-16
diagonal,standardized,mean_alignment_margin,42,42,42,0,5.551115123125783e-17,1.6171505673898734e-14
diagonal,standardized,mean_norm,42,42,42,0,7.105427357601002e-15,2.2823815391793027e-16
diagonal,standardized,mexa_external,42,42,42,0,0.0,0.0
diagonal,standardized,residual_share_total,42,42,42,0,1.1102230246251565e-16,3.5404173277299465e-16
diagonal,standardized,ss_concept,42,42,42,0,1.862645149230957e-09,3.6539410462467868e-16
diagonal,standardized,ss_language,42,42,42,0,1.862645149230957e-09,3.3591719598121133e-16
diagonal,standardized,ss_residual,42,42,42,0,9.313225746154785e-10,2.9533100126283e-16
language,raw,aar10,14,0,0,0,,
language,raw,concept_participation_ratio,14,0,0,0,,
language,raw,concept_rank_covariance_entropy,14,0,0,0,,
language,raw,concept_rank_singular_entropy,14,0,0,0,,
language,raw,concept_share_total,14,0,0,0,,
language,raw,cpres_shared_ratio,14,0,0,0,,
language,raw,cpres_shared_raw,14,0,0,0,,
language,raw,cvp_within_ratio,14,0,0,0,,
language,raw,cvp_within_raw,14,0,0,0,,
language,raw,language_share_total,14,0,0,0,,
language,raw,lfs_direct,14,0,0,0,,
language,raw,lfs_vc_reml,14,0,0,0,,
language,raw,linear_cka,14,0,0,0,,
language,raw,mean_alignment_margin,14,0,0,0,,
language,raw,mean_norm,14,0,0,0,,
language,raw,mexa_external,14,0,0,0,,
language,raw,residual_share_total,14,0,0,0,,
language,raw,ss_concept,14,0,0,0,,
language,raw,ss_language,14,0,0,0,,
language,raw,ss_residual,14,0,0,0,,
language,standardized,aar10,14,0,0,0,,
language,standardized,concept_participation_ratio,14,0,0,0,,
language,standardized,concept_rank_covariance_entropy,14,0,0,0,,
language,standardized,concept_rank_singular_entropy,14,0,0,0,,
language,standardized,concept_share_total,14,0,0,0,,
language,standardized,cpres_shared_raw,14,0,0,0,,
language,standardized,cvp_within_raw,14,0,0,0,,
language,standardized,language_share_total,14,0,0,0,,
language,standardized,lfs_direct,14,0,0,0,,
language,standardized,lfs_vc_reml,14,0,0,0,,
language,standardized,linear_cka,14,0,0,0,,
language,standardized,mean_alignment_margin,14,0,0,0,,
language,standardized,mean_norm,14,0,0,0,,
language,standardized,mexa_external,14,0,0,0,,
language,standardized,residual_share_total,14,0,0,0,,
language,standardized,ss_concept,14,0,0,0,,
language,standardized,ss_language,14,0,0,0,,
language,standardized,ss_residual,14,0,0,0,,
rank,raw,aar10,70,0,0,0,,
rank,raw,concept_participation_ratio,70,0,0,0,,
rank,raw,concept_rank_covariance_entropy,70,0,0,0,,
rank,raw,concept_rank_singular_entropy,70,0,0,0,,
rank,raw,concept_share_total,70,0,0,0,,
rank,raw,cpres_shared_ratio,70,0,0,0,,
rank,raw,cpres_shared_raw,70,0,0,0,,
rank,raw,cvp_within_ratio,70,0,0,0,,
rank,raw,cvp_within_raw,70,0,0,0,,
rank,raw,language_share_total,70,0,0,0,,
rank,raw,lfs_direct,70,0,0,0,,
rank,raw,lfs_vc_reml,70,0,0,0,,
rank,raw,linear_cka,70,0,0,0,,
rank,raw,mean_alignment_margin,70,0,0,0,,
rank,raw,mean_norm,70,0,0,0,,
rank,raw,mexa_external,70,0,0,0,,
rank,raw,residual_share_total,70,0,0,0,,
rank,raw,ss_concept,70,0,0,0,,
rank,raw,ss_language,70,0,0,0,,
rank,raw,ss_residual,70,0,0,0,,
rank,standardized,aar10,70,0,0,0,,
rank,standardized,concept_participation_ratio,70,0,0,0,,
rank,standardized,concept_rank_covariance_entropy,70,0,0,0,,
rank,standardized,concept_rank_singular_entropy,70,0,0,0,,
rank,standardized,concept_share_total,70,0,0,0,,
rank,standardized,cpres_shared_raw,70,0,0,0,,
rank,standardized,cvp_within_raw,70,0,0,0,,
rank,standardized,language_share_total,70,0,0,0,,
rank,standardized,lfs_direct,70,0,0,0,,
rank,standardized,lfs_vc_reml,70,0,0,0,,
rank,standardized,linear_cka,70,0,0,0,,
rank,standardized,mean_alignment_margin,70,0,0,0,,
rank,standardized,mean_norm,70,0,0,0,,
rank,standardized,mexa_external,70,0,0,0,,
rank,standardized,residual_share_total,70,0,0,0,,
rank,standardized,ss_concept,70,0,0,0,,
rank,standardized,ss_language,70,0,0,0,,
rank,standardized,ss_residual,70,0,0,0,,
uniform,raw,aar10,70,70,69,1,1.1120044226251881e-08,2.0361798755210547e-05
uniform,raw,concept_participation_ratio,70,70,70,0,1.7763568394002505e-14,1.745638102176496e-15
uniform,raw,concept_rank_covariance_entropy,70,70,70,0,7.105427357601002e-14,9.276348032521522e-15
uniform,raw,concept_rank_singular_entropy,70,70,70,0,1.0070519920191146e-06,3.997516812374784e-08
uniform,raw,concept_share_total,70,70,70,0,4.440892098500626e-16,1.1081976988318818e-15
uniform,raw,cpres_shared_ratio,70,70,70,0,3.3306690738754696e-16,4.11193712824132e-16
uniform,raw,cpres_shared_raw,70,70,70,0,1.4551915228366852e-11,4.368900594963753e-16
uniform,raw,cvp_within_ratio,70,70,70,0,3.3306690738754696e-16,5.20417042793042e-16
uniform,raw,cvp_within_raw,70,70,70,0,1.4551915228366852e-11,4.3106211973066224e-16
uniform,raw,language_share_total,70,70,70,0,6.661338147750939e-16,1.5930184525067452e-15
uniform,raw,lfs_direct,70,70,70,0,6.106226635438361e-16,1.4090151919921274e-15
uniform,raw,lfs_vc_reml,70,70,70,0,6.106226635438361e-16,1.3249118900141943e-15
uniform,raw,linear_cka,70,70,70,0,2.220446049250313e-16,3.0996817420613857e-16
uniform,raw,mean_alignment_margin,70,70,69,1,7.3306516152477075e-09,2.629329909726776e-05
uniform,raw,mean_norm,70,70,70,0,1.1368683772161603e-13,2.8878117120201647e-16
uniform,raw,mexa_external,70,70,70,0,0.0,0.0
uniform,raw,residual_share_total,70,70,70,0,8.604228440844963e-16,3.7428813588206e-15
uniform,raw,ss_concept,70,70,70,0,1.4901161193847656e-07,1.5887797282682296e-15
uniform,raw,ss_language,70,70,70,0,1.4901161193847656e-07,1.834401405324814e-15
uniform,raw,ss_residual,70,70,70,0,2.980232238769531e-07,4.274413070189808e-15
uniform,standardized,aar10,70,70,70,0,8.326672684688674e-17,9.204918889782184e-16
uniform,standardized,concept_participation_ratio,70,70,70,0,3.552713678800501e-14,8.364419268614489e-16
uniform,standardized,concept_rank_covariance_entropy,70,70,70,0,2.2737367544323206e-13,1.8176160275341447e-15
uniform,standardized,concept_rank_singular_entropy,70,70,70,0,6.92994660766999e-07,2.941727805681073e-09
uniform,standardized,concept_share_total,70,70,70,0,5.551115123125783e-17,3.7863028966895334e-16
uniform,standardized,cpres_shared_raw,70,70,70,0,2.2737367544323206e-13,5.894760368802552e-16
uniform,standardized,cvp_within_raw,70,70,70,0,4.547473508864641e-13,2.965251357047554e-16
uniform,standardized,language_share_total,70,70,70,0,1.6653345369377348e-16,3.4922022936390274e-16
uniform,standardized,lfs_direct,70,70,70,0,1.1102230246251565e-16,2.4341279347978254e-16
uniform,standardized,lfs_vc_reml,70,70,70,0,1.6653345369377348e-16,3.3574420942000756e-16
uniform,standardized,linear_cka,70,70,70,0,2.220446049250313e-16,3.387162642314477e-16
uniform,standardized,mean_alignment_margin,70,70,70,0,1.6653345369377348e-16,2.526797761546677e-14
uniform,standardized,mean_norm,70,70,70,0,7.105427357601002e-15,2.2823815391793027e-16
uniform,standardized,mexa_external,70,70,70,0,0.0,0.0
uniform,standardized,residual_share_total,70,70,70,0,1.1102230246251565e-16,3.680802713712646e-16
uniform,standardized,ss_concept,70,70,70,0,9.313225746154785e-10,3.9765888884205966e-16
uniform,standardized,ss_language,70,70,70,0,1.862645149230957e-09,4.226510512864362e-16
uniform,standardized,ss_residual,70,70,70,0,1.3969838619232178e-09,4.4299650189424504e-16
