model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,lfs_direct,0.4596389813696337,0.4596389813696337,0.4596389813696337,uniform-scale invariant,0.0,0.0,4.6063898136963373e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,ss_language,2131476.0086534917,2131476.0086534917,2131476.0086534917,quadratic in uniform scale,0.0,0.0,2.131476009653492,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,ss_concept,2505806.935238936,2505806.935238936,2505806.935238936,quadratic in uniform scale,0.0,0.0,2.505806936238936,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,ss_residual,1260938.2719920243,1260938.2719920243,1260938.2719920243,quadratic in uniform scale,0.0,0.0,1.2609382729920242,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,language_share_total,0.36137607096072133,0.36137607096072133,0.36137607096072133,uniform-scale invariant,0.0,0.0,3.623760709607213e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,concept_share_total,0.42484112472597124,0.42484112472597124,0.42484112472597124,uniform-scale invariant,0.0,0.0,4.2584112472597125e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,residual_share_total,0.21378280431330748,0.21378280431330748,0.21378280431330748,uniform-scale invariant,0.0,0.0,2.1478280431330746e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,lfs_vc_reml,0.48894322400211904,0.48894322400211904,0.48894322400211904,uniform-scale invariant,0.0,0.0,4.89943224002119e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,mexa_external,0.19861111111111107,0.19861111111111107,0.19861111111111107,uniform-scale invariant,0.0,0.0,1.9961111111111106e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,aar10,-0.11217987174481044,-0.11217987174481044,-0.11217987174481044,uniform-scale invariant,0.0,0.0,1.1317987174481042e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,mean_alignment_margin,-0.05277378425080887,-0.05277378425080887,-0.05277378425080887,uniform-scale invariant,0.0,0.0,5.377378425080887e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,raw,linear_cka,0.7163464619995622,0.7163464619995622,0.7163464619995622,uniform-scale invariant,0.0,0.0,7.173464619995622e-07,PASS
