model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,lfs_direct,0.445747624734886,0.4596389813696337,,empirical,,,,EMPIRICAL,0.4596389813696337,-0.01389135663474772,-0.030222320555480763
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,ss_language,1993926.073036526,2131476.008653492,,empirical,,,,EMPIRICAL,2131476.008653492,-137549.9356169661,-0.06453271585442799
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,ss_concept,2479291.421330244,2505806.935238936,,empirical,,,,EMPIRICAL,2505806.935238936,-26515.51390869217,-0.010581626834776016
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,ss_residual,1211244.925148085,1260938.2719920245,,empirical,,,,EMPIRICAL,1260938.2719920245,-49693.34684393951,-0.03940981723509287
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,language_share_total,0.3507677465139613,0.3613760709607213,,empirical,,,,EMPIRICAL,0.3613760709607213,-0.010608324446759965,-0.02935535941424579
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,concept_share_total,0.4361523110468273,0.4248411247259712,,empirical,,,,EMPIRICAL,0.4248411247259712,0.011311186320856093,0.026624508934138556
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,residual_share_total,0.2130799424392113,0.2137828043133074,,empirical,,,,EMPIRICAL,0.2137828043133074,-0.0007028618740961001,-0.0032877381151106403
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,lfs_vc_reml,0.4746135672624699,0.488943224002119,,empirical,,,,EMPIRICAL,0.488943224002119,-0.014329656739649088,-0.029307404287879008
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,mexa_external,0.1749999999999999,0.198611111111111,,empirical,,,,EMPIRICAL,0.198611111111111,-0.023611111111111083,-0.11888111888111881
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,aar10,-0.1180839241817367,-0.1121798717448104,,empirical,,,,EMPIRICAL,-0.1121798717448104,-0.0059040524369263075,-0.052630229871870375
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,mean_alignment_margin,-0.0563582745303067,-0.0527737842508088,,empirical,,,,EMPIRICAL,-0.0527737842508088,-0.0035844902794978997,-0.06792179735420366
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,linear_cka,0.7168992613545022,0.7163464619995622,,empirical,,,,EMPIRICAL,0.7163464619995622,0.0005527993549400145,0.000771692727283062
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,raw,cvp_within_raw,946.2913708918794,965.8321044181954,,empirical,,,,EMPIRICAL,965.8321044181954,-19.54073352631599,-0.02023201904029383
