family,preprocessing,metric,n_cells,n_models,median_delta,median_abs_delta,min_delta,max_delta
diagonal,raw,aar10,42,14,-0.003222846249173003,0.020388723491858652,-0.20842905286169638,0.07450262995244869
diagonal,raw,concept_participation_ratio,42,14,-0.00012423698265817684,0.06842472002342015,-10.23905495935352,6.447223512816096
diagonal,raw,concept_rank_covariance_entropy,42,14,-0.0007299645443360481,0.266645158103503,-26.17003218083701,39.91824761995802
diagonal,raw,concept_rank_singular_entropy,42,14,-0.5286907397138645,19.187116362192587,-75.79428583819636,126.63597685956833
diagonal,raw,concept_share_total,42,14,7.80386380083431e-05,0.009234628303069752,-0.32236885171245744,0.05159384493488495
diagonal,raw,cpres_shared_ratio,42,14,-0.4593942732501097,0.4593942732501097,-0.9898270435821307,-0.0004793242420213506
diagonal,raw,cpres_shared_raw,42,14,-233.68416368515338,233.68416368515338,-65210.562106290825,-0.003799073604405123
diagonal,raw,cvp_within_ratio,42,14,-0.46492822120172583,0.46492822120172583,-0.9898008830346496,-0.0005551574999683728
diagonal,raw,cvp_within_raw,42,14,-671.4057099844877,671.4057099844877,-107684.69845493104,-0.00621300072769948
diagonal,raw,language_share_total,42,14,9.693281238679075e-05,0.010323336932500426,-0.038038956999670415,0.23910278986907363
diagonal,raw,lfs_direct,42,14,-7.199991230924518e-05,0.009463056605580916,-0.052133985024100715,0.3699301115221156
diagonal,raw,lfs_vc_reml,42,14,-7.608209160694934e-05,0.010252897932882532,-0.054728408024971975,0.3807659083671031
diagonal,raw,linear_cka,42,14,-0.00012002408262079545,0.001628379466261487,-0.048164097010063134,0.022105467229132314
diagonal,raw,mean_alignment_margin,42,14,-0.0021832049437835004,0.010633349217512501,-0.11692028782140909,0.038799471756194706
diagonal,raw,mean_norm,42,14,-11.701067657820921,11.701067657820921,-525.0252252988255,-0.0012878977086483445
diagonal,raw,mexa_external,42,14,-0.0037499999999999964,0.01597222222222225,-0.11,0.1949999999999998
diagonal,raw,residual_share_total,42,14,-2.2242331029251328e-05,0.0040858922892553495,-0.05625780651263568,0.08326606184338389
diagonal,raw,ss_concept,42,14,-911368.238372109,911368.238372109,-254321192.21453422,-14.81638705716614
diagonal,raw,ss_language,42,14,-2336462.166587556,2336462.166587556,-302758290.2769319,-17.325008627831266
diagonal,raw,ss_residual,42,14,-1247697.028167062,1247697.028167062,-165649131.75969666,-9.414315780861216
diagonal,standardized,aar10,42,14,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
diagonal,standardized,concept_participation_ratio,42,14,0.0,3.552713678800501e-15,-3.552713678800501e-14,3.552713678800501e-14
diagonal,standardized,concept_rank_covariance_entropy,42,14,0.0,0.0,-9.947598300641403e-14,1.8474111129762605e-13
diagonal,standardized,concept_rank_singular_entropy,42,14,2.2737367544323206e-13,3.82971506951435e-07,-6.929944902367424e-07,4.6820881038911466e-07
diagonal,standardized,concept_share_total,42,14,0.0,0.0,-1.1102230246251565e-16,0.0
diagonal,standardized,cpres_shared_raw,42,14,0.0,0.0,-2.2737367544323206e-13,1.1368683772161603e-13
diagonal,standardized,cvp_within_raw,42,14,0.0,0.0,-4.547473508864641e-13,4.547473508864641e-13
diagonal,standardized,language_share_total,42,14,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
diagonal,standardized,lfs_direct,42,14,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
diagonal,standardized,lfs_vc_reml,42,14,0.0,0.0,-1.1102230246251565e-16,1.6653345369377348e-16
diagonal,standardized,linear_cka,42,14,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
diagonal,standardized,mean_alignment_margin,42,14,0.0,0.0,0.0,1.0408340855860843e-16
diagonal,standardized,mean_norm,42,14,0.0,0.0,-3.552713678800501e-15,1.4210854715202004e-14
diagonal,standardized,mexa_external,42,14,0.0,0.0,0.0,0.0
diagonal,standardized,residual_share_total,42,14,0.0,0.0,-1.1102230246251565e-16,0.0
diagonal,standardized,ss_concept,42,14,0.0,0.0,-1.862645149230957e-09,4.656612873077393e-10
diagonal,standardized,ss_language,42,14,0.0,0.0,-9.313225746154785e-10,2.7939677238464355e-09
diagonal,standardized,ss_residual,42,14,0.0,0.0,-9.313225746154785e-10,1.3969838619232178e-09
language,raw,aar10,14,14,2.9179436644710677e-12,2.9179436644710677e-12,1.1860000828645134e-13,6.483419356939635e-11
language,raw,concept_participation_ratio,14,14,0.010724508060882765,0.010724508060882765,-0.000845348390842604,4.308555542490886
language,raw,concept_rank_covariance_entropy,14,14,0.052294509469845596,0.052294509469845596,-0.001626413652887404,8.151399436142015
language,raw,concept_rank_singular_entropy,14,14,6.389781652145475,6.389781652145475,0.19365183016257648,14.427757085323108
language,raw,concept_share_total,14,14,-0.1795809814062181,0.1795809814062181,-0.2355837868753654,-0.027142602775848804
language,raw,cpres_shared_ratio,14,14,-0.3440166409061611,0.3440166409061611,-0.41907745792480633,-0.23761504829260804
language,raw,cpres_shared_raw,14,14,-973.5994948313345,973.5994948313345,-27632.225210609104,-0.4677622431702477
language,raw,cvp_within_ratio,14,14,-0.1787248038475317,0.1787248038475317,-0.25080571216265835,-0.13126874108855024
language,raw,cvp_within_raw,14,14,-695.4788495577463,695.4788495577463,-27331.792081386622,-1.2154857574655908
language,raw,language_share_total,14,14,0.17950354958994677,0.17950354958994677,0.07244604058325665,0.23354731410294394
language,raw,lfs_direct,14,14,0.22615125972896605,0.22615125972896605,0.04232103271684673,0.287603908663898
language,raw,lfs_vc_reml,14,14,0.22740954983187892,0.22740954983187892,0.03500123271372768,0.29124700222652766
language,raw,linear_cka,14,14,0.0,0.0,-3.3306690738754696e-16,1.1102230246251565e-16
language,raw,mean_alignment_margin,14,14,1.3666533182910001e-12,1.3666533182910001e-12,4.929997382552287e-14,3.129929648792995e-11
