model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity,retained_rank
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,lfs_direct,0.4657880232211983,0.4596389813696337,,empirical,,,,EMPIRICAL,0.4596389813696337,0.006149041851564563,0.013377981635155549,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,ss_language,2131476.008653492,2131476.008653492,,empirical,,,,EMPIRICAL,2131476.008653492,0.0,0.0,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,ss_concept,2444588.4292276725,2505806.935238936,,empirical,,,,EMPIRICAL,2505806.935238936,-61218.50601126347,-0.02443065551074712,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,ss_residual,1260938.2719920245,1260938.2719920245,,empirical,,,,EMPIRICAL,1260938.2719920245,0.0,0.0,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,language_share_total,0.365166184529628,0.3613760709607213,,empirical,,,,EMPIRICAL,0.3613760709607213,0.003790113568906739,0.01048800369883565,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,concept_share_total,0.418808856314679,0.4248411247259712,,empirical,,,,EMPIRICAL,0.4248411247259712,-0.006032268411292174,-0.014198880617273285,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,residual_share_total,0.2160249591556929,0.2137828043133074,,empirical,,,,EMPIRICAL,0.2137828043133074,0.002242154842385491,0.010488003698835954,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,lfs_vc_reml,0.4953491765946546,0.488943224002119,,empirical,,,,EMPIRICAL,0.488943224002119,0.006405952592535624,0.013101628733294117,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,mexa_external,0.0716666666666666,0.198611111111111,,empirical,,,,EMPIRICAL,0.198611111111111,-0.1269444444444444,-0.6391608391608393,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,aar10,-0.122743377295149,-0.1121798717448104,,empirical,,,,EMPIRICAL,-0.1121798717448104,-0.010563505550338609,-0.09416578380806798,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,mean_alignment_margin,-0.061610436220256,-0.0527737842508088,,empirical,,,,EMPIRICAL,-0.0527737842508088,-0.008836651969447197,-0.16744397042764217,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,linear_cka,0.7156532434038118,0.7163464619995622,,empirical,,,,EMPIRICAL,0.7163464619995622,-0.0006932185957504444,-0.0009677141334870836,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,cvp_within_raw,950.1350515947944,965.8321044181954,,empirical,,,,EMPIRICAL,965.8321044181954,-15.697052823401009,-0.016252361825202226,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,cpres_shared_raw,626.8175459558134,642.5145987792147,,empirical,,,,EMPIRICAL,642.5145987792147,-15.697052823401236,-0.02443065551074765,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,mean_norm,60.86343833840802,60.96344321452949,,empirical,,,,EMPIRICAL,60.96344321452949,-0.10000487612147424,-0.0016404072809594842,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,raw,concept_rank_covariance_entropy,1.1189007557095172,1.4157030406207425,,empirical,,,,EMPIRICAL,1.4157030406207425,-0.2968022849112253,-0.2096501006179139,9
