preprocessing,metric,n_models,median_delta,min_delta,max_delta,median_fractional_change,n_increase,n_decrease
raw,aar10,14,-0.006222321783796905,-0.06657993605123301,-6.536060716059999e-05,-0.18706255271983407,0,14
raw,concept_participation_ratio,14,-0.02064419398941908,-19.922206496579406,-0.00012513573609118644,-0.019932301981154105,0,14
raw,concept_rank_covariance_entropy,14,-0.11779693102765054,-67.90934063650597,-0.0009952331332045983,-0.09995786009224819,0,14
raw,concept_rank_singular_entropy,14,-55.86088035220314,-221.61007043193976,-1.662651101688418,-0.9558357727182699,0,14
raw,concept_share_total,14,-0.002245185672314992,-0.0728449369974004,-1.5516803555326586e-05,-0.006526686956879966,0,14
raw,cpres_shared_ratio,14,-0.010017109775036004,-0.5254306740042562,-6.255829601564677e-05,-0.010017109775036004,0,14
raw,cpres_shared_raw,14,-18.86614390713794,-278.9324049484203,-0.0004549332765027003,-0.010017109775036077,0,14
raw,cvp_within_ratio,14,-0.005872924275092617,-0.1601095020198251,-4.374720121558262e-05,-0.005872924275092617,0,14
raw,cvp_within_raw,14,-18.86614390713794,-278.9324049484276,-0.0004549332765027003,-0.005872924275092535,0,14
raw,language_share_total,14,0.0013991145773203373,9.932525524003477e-06,0.043450678051710656,0.0035254668307136386,14,0
raw,lfs_direct,14,0.0024366586769187237,1.536237413318764e-05,0.10533719496476301,0.00464498345948137,14,0
raw,lfs_vc_reml,14,0.0025112886999225092,1.5300848801413913e-05,0.10743338717740758,0.00452087544687679,14,0
raw,linear_cka,14,-9.349687001836138e-07,-0.0006932185957504444,0.025979273860375462,-1.2200287395680098e-06,5,9
raw,mean_alignment_margin,14,-0.0052608249551918985,-0.0559163517448964,-5.010807219839997e-05,-0.40672964284156765,0,14
raw,mean_norm,14,-0.0936764199975273,-0.5366653743996608,7.536811284047928e-05,-0.0008549423829341918,1,13
raw,mexa_external,14,-0.07013888888888886,-0.1733333333333334,-0.0016666666666665998,-0.6563151134579708,0,14
raw,residual_share_total,14,0.000846071094994516,5.5842780314063756e-06,0.029394258945689755,0.003525466830713808,14,0
raw,ss_concept,14,-73577.96123783686,-1087836.3792987466,-1.7742397783295019,-0.010017109775036531,0,14
raw,ss_language,14,-1.4551915228366852e-10,-1.1920928955078125e-07,1.1920928955078125e-07,-5.854753121713847e-17,4,7
raw,ss_residual,14,0.0,-6.705522537231445e-08,8.940696716308594e-08,0.0,4,6
standardized,aar10,14,-0.15883206003750716,-0.2514602781543717,-0.05723953505779311,-2.4931966715567864,0,14
standardized,concept_participation_ratio,14,-27.264305097302078,-49.32498941111847,-0.4001458911986011,-0.8110578694722625,0,14
standardized,concept_rank_covariance_entropy,14,-82.44239542399887,-117.15007509472068,-2.819908430594949,-0.91614910895335,0,14
standardized,concept_rank_singular_entropy,14,-225.10103040167726,-240.52838523235394,-166.5628948978634,-0.9637233077278063,0,14
standardized,concept_share_total,14,-0.0890283164115374,-0.17768668863399542,-0.015501853707894309,-0.5299232179684445,0,14
standardized,cpres_shared_raw,14,-206.4208746955659,-727.8046766448462,-31.747796393767146,-0.5299232179684447,0,14
standardized,cvp_within_raw,14,-110.78559816318847,-248.84803780580205,-20.52316405944532,-0.07989253633900084,0,14
standardized,language_share_total,14,0.04447972193086153,0.010021076200900647,0.060753915479932086,0.0962531305674153,14,0
standardized,lfs_direct,14,0.13317083808212155,0.01982498376534103,0.24494230090917612,0.17190794073516663,14,0
standardized,lfs_vc_reml,14,0.13648483256523308,0.01988122378550561,0.28398223814146856,0.16558040425171788,14,0
standardized,linear_cka,14,0.021736310268586134,0.0029868224619534756,0.04363413541550254,0.03622003536389771,14,0
standardized,mean_alignment_margin,14,-0.15395749815883736,-0.2467996782283232,-0.05294202484281052,-2.8213011811192477,0,14
standardized,mean_norm,14,0.06621548201814775,-0.5537082454691742,0.5533606949417873,0.0012069987343876509,10,4
standardized,mexa_external,14,-0.2944444444444444,-0.5341666666666667,-0.0488888888888889,-0.7320106792488232,0,14
standardized,residual_share_total,14,0.04148466470866444,0.0054807775069935505,0.11693277315406347,0.11787451689590789,14,0
standardized,ss_concept,14,-805041.4113127072,-2838438.2389149005,-123816.40593569248,-0.5299232179684448,0,14
standardized,ss_language,14,432063.83283643425,80040.33983183559,970507.3474426274,0.09625313056741601,14,0
standardized,ss_residual,14,372792.22679031803,43776.06610385934,1867930.8914722726,0.11787451689590855,14,0
