model,n_languages,n_concepts,dip_layer,raw_lfs_at_dip,lfs_at_layer0,dip_depth,analytic_null,raw_lfs_excess_over_null,language_main_effect_dominates_at_dip,interpretation
EuroLLM-1.7B,128,300,14,0.8538657398581722,0.9506726202154856,0.09680688035731344,0.2981220657276995,0.5557436741304727,True,language main effect exceeds concept main effect
Falcon3-7B-Base,128,300,11,0.8404592808092486,0.9667221229242866,0.12626284211503802,0.2981220657276995,0.5423372150815491,True,language main effect exceeds concept main effect
Mistral-7B-v0.3,128,300,18,0.817776528474207,0.956449142490697,0.13867261401649,0.2981220657276995,0.5196544627465075,True,language main effect exceeds concept main effect
OLMo-2-0425-1B,128,300,11,0.9100480648486399,0.9799398856675695,0.06989182081892964,0.2981220657276995,0.6119259991209404,True,language main effect exceeds concept main effect
OLMo-2-1124-7B,128,300,17,0.8572172255483614,0.980539069986036,0.12332184443767458,0.2981220657276995,0.5590951598206619,True,language main effect exceeds concept main effect
Qwen3-0.6B-Base,128,300,18,0.8041160000040166,0.933409176043102,0.1292931760390854,0.2981220657276995,0.5059939342763171,True,language main effect exceeds concept main effect
Qwen3-1.7B-Base,128,300,16,0.7305809679181617,0.9274184630403329,0.1968374951221712,0.2981220657276995,0.43245890219046224,True,language main effect exceeds concept main effect
Qwen3-4B-Base,128,300,20,0.6595465551159707,0.9164881916778015,0.2569416365618308,0.2981220657276995,0.3614244893882712,True,language main effect exceeds concept main effect
Qwen3-8B-Base,128,300,20,0.6437362256055312,0.9447237353042818,0.30098750969875054,0.2981220657276995,0.34561415987783173,True,language main effect exceeds concept main effect
SmolLM2-1.7B,128,300,15,0.903988471363333,0.9721668404905769,0.06817836912724384,0.2981220657276995,0.6058664056356335,True,language main effect exceeds concept main effect
bloom-1b7,128,300,0,0.9378026082412935,0.9378026082412935,0.0,0.2981220657276995,0.639680542513594,True,language main effect exceeds concept main effect
bloom-7b1,128,300,17,0.8844509311794394,0.9274103600709014,0.04295942889146198,0.2981220657276995,0.5863288654517399,True,language main effect exceeds concept main effect
salamandra-2b,128,300,14,0.7617929662846902,0.9656898068256332,0.20389684054094304,0.2981220657276995,0.4636709005569907,True,language main effect exceeds concept main effect
salamandra-7b,128,300,14,0.7899128902558841,0.9633446645865035,0.1734317743306194,0.2981220657276995,0.49179082452818457,True,language main effect exceeds concept main effect
