candidate,candidate_role,target,bootstrap_axis,rho_deflated,rho_raw,ci_lo,ci_hi,p_two_sided,n_rows,n_models,n_model_families,n_languages,n_boot_requested,n_boot_effective
q_L,project LFS concept-direction reading,R_content,model,0.5084771834083438,0.3332051487975496,0.18794327168346922,0.7071880053927248,0.003,646,19,13,34,2000,2000
q_L,project LFS concept-direction reading,R_content,crossed,0.5084771834083438,0.3332051487975496,0.18129851669567187,0.7232891981980272,0.004,646,19,13,34,2000,2000
q_L,project LFS concept-direction reading,R_content,family,0.5084771834083438,0.3332051487975496,0.24177584283286066,0.7567392108192049,0.0005,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,R_content,model,0.5914642890154495,0.7739690574267339,0.33025731258043767,0.8182989643103917,0.0005,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,R_content,crossed,0.5914642890154495,0.7739690574267339,0.3050913354540024,0.8214745160089254,0.0005,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,R_content,family,0.5914642890154495,0.7739690574267339,0.26572164504255347,0.8085750752484369,0.0005,646,19,13,34,2000,2000
aar_shared,external AaR comparator,R_content,model,0.4433500408349129,0.5734906355679603,0.09334303661275507,0.7087654673146819,0.014,646,19,13,34,2000,2000
aar_shared,external AaR comparator,R_content,crossed,0.4433500408349129,0.5734906355679603,0.07698815264237822,0.7249445832927696,0.021,646,19,13,34,2000,2000
aar_shared,external AaR comparator,R_content,family,0.4433500408349129,0.5734906355679603,0.040134678021892016,0.7151521053424814,0.039,646,19,13,34,2000,2000
q_L,project LFS concept-direction reading,content,model,0.6196947190229939,0.44203407870750694,0.3365721586966451,0.769467108206229,0.001,646,19,13,34,2000,2000
q_L,project LFS concept-direction reading,content,crossed,0.6196947190229939,0.44203407870750694,0.3536040779625558,0.7823841262395563,0.0005,646,19,13,34,2000,2000
q_L,project LFS concept-direction reading,content,family,0.6196947190229939,0.44203407870750694,0.250451957627044,0.7819920139481136,0.003,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,content,model,0.6651318920183068,0.800462681257472,0.4676581700655375,0.8052893083291502,0.0005,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,content,crossed,0.6651318920183068,0.800462681257472,0.44948079138956004,0.8136368143443101,0.0005,646,19,13,34,2000,2000
mexa_shared,external MEXA comparator,content,family,0.6651318920183068,0.800462681257472,0.439638859415883,0.8174413656190993,0.0005,646,19,13,34,2000,2000
aar_shared,external AaR comparator,content,model,0.47137889357472473,0.6144098111511863,0.16844580423015695,0.6907607236302965,0.001,646,19,13,34,2000,2000
aar_shared,external AaR comparator,content,crossed,0.47137889357472473,0.6144098111511863,0.1620133667845974,0.703758493728933,0.003,646,19,13,34,2000,2000
aar_shared,external AaR comparator,content,family,0.47137889357472473,0.6144098111511863,0.19942868552202958,0.7304247054272066,0.016,646,19,13,34,2000,2000
