held_out_model_family,candidate,target,rho_deflated,n_rows,n_models,n_model_families,n_languages
Falcon3,q_L,R_content,0.4534488539446571,612,18,12,34
Falcon3,mexa_shared,R_content,0.57412082904519,612,18,12,34
Falcon3,aar_shared,R_content,0.4525084766046654,612,18,12,34
Falcon3,q_L,content,0.5841198676717516,612,18,12,34
Falcon3,mexa_shared,content,0.6498585142114272,612,18,12,34
Falcon3,aar_shared,content,0.4805947305299065,612,18,12,34
Granite,q_L,R_content,0.5272319226938332,612,18,12,34
Granite,mexa_shared,R_content,0.6013347274549058,612,18,12,34
Granite,aar_shared,R_content,0.4653885914719706,612,18,12,34
Granite,q_L,content,0.6500032631672412,612,18,12,34
Granite,mexa_shared,content,0.6694010112490918,612,18,12,34
Granite,aar_shared,content,0.4833343306271335,612,18,12,34
Llama-3.1,q_L,R_content,0.4674362203957726,612,18,12,34
Llama-3.1,mexa_shared,R_content,0.5504020354710005,612,18,12,34
Llama-3.1,aar_shared,R_content,0.377390161175766,612,18,12,34
Llama-3.1,q_L,content,0.5811361996158547,612,18,12,34
Llama-3.1,mexa_shared,content,0.6293153833252719,612,18,12,34
Llama-3.1,aar_shared,content,0.4030951602038626,612,18,12,34
Mistral,q_L,R_content,0.46289847424037056,612,18,12,34
Mistral,mexa_shared,R_content,0.5494321260315844,612,18,12,34
Mistral,aar_shared,R_content,0.3837178201953094,612,18,12,34
Mistral,q_L,content,0.5776055813468276,612,18,12,34
Mistral,mexa_shared,content,0.6331928855456721,612,18,12,34
Mistral,aar_shared,content,0.41746174017140786,612,18,12,34
OLMo-2,q_L,R_content,0.53855438923952,612,18,12,34
OLMo-2,mexa_shared,R_content,0.580913919661143,612,18,12,34
OLMo-2,aar_shared,R_content,0.41883811031828444,612,18,12,34
OLMo-2,q_L,content,0.6560266869336587,612,18,12,34
OLMo-2,mexa_shared,content,0.6556082623450477,612,18,12,34
OLMo-2,aar_shared,content,0.44672956475638054,612,18,12,34
Occiglot,q_L,R_content,0.5279948919709371,612,18,12,34
Occiglot,mexa_shared,R_content,0.6329921999534827,612,18,12,34
Occiglot,aar_shared,R_content,0.4756924425494642,612,18,12,34
Occiglot,q_L,content,0.6386603359157877,612,18,12,34
Occiglot,mexa_shared,content,0.6913091968875137,612,18,12,34
Occiglot,aar_shared,content,0.4876085590947358,612,18,12,34
Qwen2.5,q_L,R_content,0.5862794522817338,510,15,12,34
Qwen2.5,mexa_shared,R_content,0.5752352187582509,510,15,12,34
Qwen2.5,aar_shared,R_content,0.45360705414657715,510,15,12,34
Qwen2.5,q_L,content,0.5442532206785924,510,15,12,34
Qwen2.5,mexa_shared,content,0.6625902441616267,510,15,12,34
Qwen2.5,aar_shared,content,0.5427146631723713,510,15,12,34
Sailor,q_L,R_content,0.49176393183171563,578,17,12,34
Sailor,mexa_shared,R_content,0.5766027036992073,578,17,12,34
Sailor,aar_shared,R_content,0.4396661078783987,578,17,12,34
Sailor,q_L,content,0.6174631999240816,578,17,12,34
Sailor,mexa_shared,content,0.6540976259815059,578,17,12,34
Sailor,aar_shared,content,0.4704043823434176,578,17,12,34
SmolLM2,q_L,R_content,0.43920663411370886,612,18,12,34
SmolLM2,mexa_shared,R_content,0.5724961267435675,612,18,12,34
SmolLM2,aar_shared,R_content,0.4441942397461838,612,18,12,34
SmolLM2,q_L,content,0.574014872855999,612,18,12,34
SmolLM2,mexa_shared,content,0.6471107939322879,612,18,12,34
SmolLM2,aar_shared,content,0.4697619211030144,612,18,12,34
Tower,q_L,R_content,0.5284701193780977,612,18,12,34
Tower,mexa_shared,R_content,0.6491742536361137,612,18,12,34
Tower,aar_shared,R_content,0.50040129950785,612,18,12,34
Tower,q_L,content,0.6408896780190465,612,18,12,34
Tower,mexa_shared,content,0.6614062902699668,612,18,12,34
Tower,aar_shared,content,0.4696416176304373,612,18,12,34
XGLM,q_L,R_content,0.5975078909475929,544,16,12,34
XGLM,mexa_shared,R_content,0.5270630689586221,544,16,12,34
XGLM,aar_shared,R_content,0.353048736854973,544,16,12,34
XGLM,q_L,content,0.6747249675579291,544,16,12,34
XGLM,mexa_shared,content,0.6981499112896002,544,16,12,34
XGLM,aar_shared,content,0.4642590185245368,544,16,12,34
Yi-1.5,q_L,R_content,0.5262563609420283,612,18,12,34
Yi-1.5,mexa_shared,R_content,0.5954934911066523,612,18,12,34
Yi-1.5,aar_shared,R_content,0.43242810990627906,612,18,12,34
Yi-1.5,q_L,content,0.6317386609601391,612,18,12,34
Yi-1.5,mexa_shared,content,0.675024662467139,612,18,12,34
Yi-1.5,aar_shared,content,0.4745535906162873,612,18,12,34
mGPT,q_L,R_content,0.49343963004623087,612,18,12,34
mGPT,mexa_shared,R_content,0.6824939167235542,612,18,12,34
mGPT,aar_shared,R_content,0.5520131644875667,612,18,12,34
mGPT,q_L,content,0.6473498968399022,612,18,12,34
mGPT,mexa_shared,content,0.7101978145176786,612,18,12,34
mGPT,aar_shared,content,0.5290164070797285,612,18,12,34
