model,model_family,english_content,english_content_positive,valid_nonenglish_ratios,ratio_valid_model
Falcon3-3B-Base,Falcon3,0.8800356185436249,True,40,True
Llama-3.1-8B,Llama-3.1,1.0148058688640595,True,40,True
Mistral-Nemo-Base-2407,Mistral,0.962627900838852,True,40,True
OLMo-2-1124-13B,OLMo-2,0.9460390532016754,True,40,True
Qwen2.5-0.5B,Qwen2.5,1.0492507791519166,True,40,True
Qwen2.5-1.5B,Qwen2.5,1.0769874191284179,True,40,True
Qwen2.5-3B,Qwen2.5,1.1011481130123137,True,40,True
Qwen2.5-7B,Qwen2.5,1.0678357112407684,True,40,True
Sailor-1.8B,Sailor,0.9248869502544403,True,40,True
Sailor-7B,Sailor,0.8941343581676483,True,40,True
SmolLM2-360M,SmolLM2,0.9238712692260742,True,40,True
TowerBase-7B,Tower,0.7160078561306,True,40,True
Yi-1.5-9B,Yi-1.5,0.827905415892601,True,40,True
granite-3.1-8b-base,Granite,0.7032287496328354,True,40,True
mGPT,mGPT,0.8200541055202484,True,40,True
occiglot-7b-eu5,Occiglot,0.8652333652973175,True,40,True
xglm-1.7B,XGLM,0.8304205536842346,True,40,True
xglm-2.9B,XGLM,0.8036169356107712,True,40,True
xglm-7.5B,XGLM,0.81163314640522,True,40,True
