model,model_family,q_L,median_R_content,median_content,n_languages,ratio_valid_model
Falcon3-3B-Base,Falcon3,0.1216444640184857,0.2671103552115188,0.23506662666797634,34,True
Llama-3.1-8B,Llama-3.1,0.5205176643226388,0.6789617235880469,0.6890143418312074,34,True
Mistral-Nemo-Base-2407,Mistral,0.6232395803766406,0.6832779617114004,0.657742429971695,34,True
OLMo-2-1124-13B,OLMo-2,0.2595712882531527,0.5674025426193514,0.5367849642038345,34,True
Qwen2.5-0.5B,Qwen2.5,0.371361027328298,0.47001653924985864,0.49316522002220153,34,True
Qwen2.5-1.5B,Qwen2.5,0.4793963867769094,0.5574971676560261,0.6004174357652664,34,True
Qwen2.5-3B,Qwen2.5,0.4608628592450413,0.6035999825126932,0.6646529817581177,34,True
Qwen2.5-7B,Qwen2.5,0.4989201916658966,0.6598816514615138,0.7046451926231385,34,True
Sailor-1.8B,Sailor,0.1749614724211097,0.40855224098343357,0.37786463618278504,34,True
Sailor-7B,Sailor,0.3443179601130249,0.5872307054669723,0.5250631499290466,34,True
SmolLM2-360M,SmolLM2,0.1263450894027609,0.2533484484333634,0.23406135261058805,34,True
TowerBase-7B,Tower,0.3351161068083809,0.5769353332978495,0.4130902311205864,34,True
Yi-1.5-9B,Yi-1.5,0.1968751302791327,0.553540143241386,0.45827888250350957,34,True
granite-3.1-8b-base,Granite,0.3452025051994001,0.552061094572021,0.3882252332568169,34,True
mGPT,mGPT,0.5557909635347984,0.5826209719325666,0.47778071999549865,34,True
occiglot-7b-eu5,Occiglot,0.3012475207853764,0.5384845206251831,0.46591477394104003,34,True
xglm-1.7B,XGLM,0.2174616132271172,0.5027295717924268,0.41747696936130524,34,True
xglm-2.9B,XGLM,0.2299301760207112,0.5493955410528423,0.4415035611391067,34,True
xglm-7.5B,XGLM,0.2822618380150273,0.5844024866015813,0.4743204289674759,34,True
