model,model_family,language,flores_code,content,delta_matched,delta_mismatched,content_ci_lo,content_ci_hi,R_content,R_content_ci_lo,R_content_ci_hi,R_content_boot_valid_fraction,n_pairs,n_boot
Falcon3-3B-Base,Falcon3,amh,amh_Ethi,0.07435381174087524,0.014712224006652846,-0.059641587734222394,0.0381975818276405,0.11396035879850382,0.08448954812070415,0.04442934270896013,0.12779591853987463,1.0,100,2000
Falcon3-3B-Base,Falcon3,arb,arb_Arab,0.03529304504394536,0.05007458448410034,0.014781539440154985,0.012470788061618806,0.058477205693721834,0.04010410976586606,0.014644857945132787,0.06405821306439312,1.0,100,2000
Falcon3-3B-Base,Falcon3,aze-Latn,azj_Latn,0.1917887556552887,0.20389392495155337,0.012105169296264675,0.14502822521328929,0.24299646595120428,0.21793294681944897,0.17112604874197568,0.26805876862146844,1.0,100,2000
Falcon3-3B-Base,Falcon3,ben,ben_Beng,0.02337083339691161,0.04660079956054689,0.023229966163635277,0.004323389172554013,0.042672347068786615,0.026556690325316733,0.0046887275713713705,0.049366455482142475,1.0,100,2000
Falcon3-3B-Base,Falcon3,ces,ces_Latn,0.36003542304039,0.37206584692001343,0.012030423879623432,0.2982399073839188,0.42460936746001243,0.4091146033795931,0.3500399209379967,0.47384927186183806,1.0,100,2000
Falcon3-3B-Base,Falcon3,deu,deu_Latn,0.528220648765564,0.5259144234657288,-0.0023062252998352207,0.46050539886951447,0.5990557441413403,0.600226442697534,0.5420079752703126,0.6585884993417892,1.0,100,2000
Falcon3-3B-Base,Falcon3,ell,ell_Grek,0.1425836229324341,0.0815756702423096,-0.06100795269012451,0.10346046799421313,0.1868897524476052,0.16202028637022262,0.1177399997080392,0.2096991287826108,1.0,100,2000
Falcon3-3B-Base,Falcon3,eng,,0.8800356185436249,0.9349694275856018,0.05493380904197693,0.7890974410176277,0.9766223980188369,1.0,1.0,1.0,1.0,100,2000
Falcon3-3B-Base,Falcon3,fas,pes_Arab,0.11808295488357544,0.10191830396652221,-0.016164650917053224,0.07140266793966293,0.16819441890716558,0.134179744995994,0.0842896423935904,0.18757672285262844,1.0,100,2000
Falcon3-3B-Base,Falcon3,fra,fra_Latn,0.6736594605445861,0.6243727934360505,-0.049286667108535784,0.5940372662842274,0.7598781517148017,0.765491130528817,0.7146905174031333,0.8142755468220123,1.0,100,2000
Falcon3-3B-Base,Falcon3,hau,hau_Latn,0.2823702716827392,0.24207412958145139,-0.04029614210128782,0.20909810072183602,0.3602643062472343,0.320862321629703,0.23780185284555058,0.4038661980342073,1.0,100,2000
Falcon3-3B-Base,Falcon3,heb,heb_Hebr,0.08899751901626585,0.011206870079040532,-0.07779064893722533,0.05269095003604887,0.12940674376487732,0.10112945105966081,0.061525225377954115,0.14429596747833975,1.0,100,2000
Falcon3-3B-Base,Falcon3,hin,hin_Deva,0.08135069847106932,0.10705124378204342,0.025700545310974116,0.05325878834724423,0.1110517404079437,0.09244023395973106,0.06137050258763541,0.12458163335415472,1.0,100,2000
Falcon3-3B-Base,Falcon3,hye,hye_Armn,0.03424119949340821,-0.04074342012405396,-0.07498461961746215,0.01221187305450443,0.06010404342412952,0.038908879108863946,0.014115263489480638,0.06679424821975903,1.0,100,2000
