Qwen2.5-0.5B	Qwen/Qwen2.5-0.5B
Qwen2.5-1.5B	Qwen/Qwen2.5-1.5B
Qwen2.5-3B	Qwen/Qwen2.5-3B
Qwen2.5-7B	Qwen/Qwen2.5-7B
xglm-1.7B	facebook/xglm-1.7B
xglm-2.9B	facebook/xglm-2.9B
xglm-7.5B	facebook/xglm-7.5B
mGPT	ai-forever/mGPT
OLMo-2-1124-13B	allenai/OLMo-2-1124-13B
granite-3.1-8b-base	ibm-granite/granite-3.1-8b-base
Yi-1.5-9B	01-ai/Yi-1.5-9B
TowerBase-7B	Unbabel/TowerBase-7B-v0.1
occiglot-7b-eu5	occiglot/occiglot-7b-eu5
internlm2_5-7b	internlm/internlm2_5-7b
Sailor-1.8B	sail/Sailor-1.8B
Sailor-7B	sail/Sailor-7B
EuroLLM-9B	utter-project/EuroLLM-9B
Llama-3.1-8B	meta-llama/Llama-3.1-8B
SmolLM2-360M	HuggingFaceTB/SmolLM2-360M
Falcon3-3B-Base	tiiuae/Falcon3-3B-Base
Mistral-Nemo-Base-2407	mistralai/Mistral-Nemo-Base-2407
