target,candidate,bootstrap_axis,rho,ci_lo,ci_hi,p_two_sided,n_rows,n_models,n_languages,n_boot_requested,n_boot_effective
alpha,q_T,language,-0.010735,-0.113666,0.077347,0.703000,522,14,40,2000,2000
alpha,q_L,language,0.158272,0.034188,0.285231,0.016000,522,14,40,2000,2000
alpha,q_K,language,-0.042597,-0.137427,0.049486,0.327000,522,14,40,2000,2000
alpha,rmfs_tau_0.025,language,0.043180,-0.037556,0.104323,0.406000,522,14,40,2000,2000
alpha,rmfs_tau_0.05,language,0.039654,-0.040858,0.104023,0.428000,522,14,40,2000,2000
alpha,rmfs_tau_0.1,language,0.038900,-0.044538,0.109057,0.460000,522,14,40,2000,2000
alpha,rmfs_tau_0.2,language,0.030944,-0.055123,0.108534,0.594000,522,14,40,2000,2000
alpha,rmfs_tau_0.5,language,0.023609,-0.067190,0.107029,0.710000,522,14,40,2000,2000
alpha,rmfs_tau_1,language,0.022849,-0.070001,0.111479,0.735000,522,14,40,2000,2000
alpha,rmfs_no_T,language,0.088599,-0.033191,0.206039,0.150000,522,14,40,2000,2000
alpha,rmfs_no_L,language,-0.028173,-0.113477,0.035297,0.309000,522,14,40,2000,2000
alpha,rmfs_no_K,language,0.070549,-0.006560,0.141070,0.072000,522,14,40,2000,2000
alpha,component_mean,language,0.022053,-0.072556,0.115237,0.750000,522,14,40,2000,2000
alpha,q_T,model,-0.010735,-0.190504,0.150747,0.841000,522,14,40,2000,2000
alpha,q_L,model,0.158272,-0.013114,0.285146,0.067000,522,14,40,2000,2000
alpha,q_K,model,-0.042597,-0.164070,0.081421,0.427000,522,14,40,2000,2000
alpha,rmfs_tau_0.025,model,0.043180,-0.135590,0.206329,0.801000,522,14,40,2000,2000
alpha,rmfs_tau_0.05,model,0.039654,-0.137061,0.211688,0.813000,522,14,40,2000,2000
alpha,rmfs_tau_0.1,model,0.038900,-0.137921,0.216103,0.812000,522,14,40,2000,2000
alpha,rmfs_tau_0.2,model,0.030944,-0.139841,0.205262,0.886000,522,14,40,2000,2000
alpha,rmfs_tau_0.5,model,0.023609,-0.143280,0.187428,0.958000,522,14,40,2000,2000
alpha,rmfs_tau_1,model,0.022849,-0.140115,0.180506,0.985000,522,14,40,2000,2000
alpha,rmfs_no_T,model,0.088599,-0.092772,0.230751,0.357000,522,14,40,2000,2000
alpha,rmfs_no_L,model,-0.028173,-0.197614,0.142245,0.623000,522,14,40,2000,2000
alpha,rmfs_no_K,model,0.070549,-0.111302,0.236146,0.523000,522,14,40,2000,2000
alpha,component_mean,model,0.022053,-0.137825,0.175545,0.997000,522,14,40,2000,2000
alpha,q_T,crossed,-0.010735,-0.243108,0.181179,0.802000,522,14,40,2000,2000
alpha,q_L,crossed,0.158272,-0.037704,0.368340,0.126000,522,14,40,2000,2000
alpha,q_K,crossed,-0.042597,-0.218264,0.143469,0.537000,522,14,40,2000,2000
alpha,rmfs_tau_0.025,crossed,0.043180,-0.182165,0.220964,0.848000,522,14,40,2000,2000
alpha,rmfs_tau_0.05,crossed,0.039654,-0.176464,0.219982,0.860000,522,14,40,2000,2000
alpha,rmfs_tau_0.1,crossed,0.038900,-0.177200,0.225021,0.871000,522,14,40,2000,2000
alpha,rmfs_tau_0.2,crossed,0.030944,-0.190820,0.225843,0.921000,522,14,40,2000,2000
alpha,rmfs_tau_0.5,crossed,0.023609,-0.193882,0.217824,0.977000,522,14,40,2000,2000
alpha,rmfs_tau_1,crossed,0.022849,-0.196209,0.217076,0.993000,522,14,40,2000,2000
alpha,rmfs_no_T,crossed,0.088599,-0.129778,0.309407,0.482000,522,14,40,2000,2000
alpha,rmfs_no_L,crossed,-0.028173,-0.250579,0.156223,0.656000,522,14,40,2000,2000
alpha,rmfs_no_K,crossed,0.070549,-0.156297,0.270483,0.627000,522,14,40,2000,2000
alpha,component_mean,crossed,0.022053,-0.195454,0.214198,0.996000,522,14,40,2000,2000
r_content,q_T,language,-0.265782,-0.376468,-0.110977,0.000500,128,4,34,2000,2000
r_content,q_L,language,0.841741,0.790049,0.904858,0.000500,128,4,34,2000,2000
r_content,q_K,language,0.513483,0.373558,0.737536,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_0.025,language,0.462839,0.326749,0.557188,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_0.05,language,0.482152,0.350294,0.582183,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_0.1,language,0.545127,0.417426,0.641902,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_0.2,language,0.603770,0.497395,0.710722,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_0.5,language,0.623117,0.532359,0.753829,0.000500,128,4,34,2000,2000
r_content,rmfs_tau_1,language,0.616027,0.528406,0.765830,0.000500,128,4,34,2000,2000
r_content,rmfs_no_T,language,0.744117,0.673275,0.870709,0.000500,128,4,34,2000,2000
r_content,rmfs_no_L,language,0.457008,0.327887,0.572247,0.000500,128,4,34,2000,2000
r_content,rmfs_no_K,language,0.167420,0.035208,0.318417,0.014000,128,4,34,2000,2000
r_content,component_mean,language,0.602311,0.520377,0.776058,0.000500,128,4,34,2000,2000
r_content,q_T,model,-0.265782,-0.749931,0.375116,0.534000,128,4,34,2000,2000
r_content,q_L,model,0.841741,0.031791,0.918411,0.030503,128,4,34,2000,1967
r_content,q_K,model,0.513483,-0.147422,0.739771,0.281987,128,4,34,2000,1993
r_content,rmfs_tau_0.025,model,0.462839,-0.303164,0.806905,0.117000,128,4,34,2000,2000
r_content,rmfs_tau_0.05,model,0.482152,-0.307783,0.803631,0.117000,128,4,34,2000,2000
r_content,rmfs_tau_0.1,model,0.545127,-0.271367,0.803077,0.117000,128,4,34,2000,2000
r_content,rmfs_tau_0.2,model,0.603770,-0.131733,0.784342,0.117000,128,4,34,2000,2000
r_content,rmfs_tau_0.5,model,0.623117,-0.104199,0.758531,0.075000,128,4,34,2000,2000
r_content,rmfs_tau_1,model,0.616027,-0.068979,0.749838,0.075000,128,4,34,2000,2000
r_content,rmfs_no_T,model,0.744117,0.118093,0.857247,0.020070,128,4,34,2000,1993
r_content,rmfs_no_L,model,0.457008,-0.308280,0.755534,0.117000,128,4,34,2000,2000
r_content,rmfs_no_K,model,0.167420,-0.449291,0.575835,0.350000,128,4,34,2000,2000
r_content,component_mean,model,0.602311,-0.040006,0.739433,0.057000,128,4,34,2000,2000
r_content,q_T,crossed,-0.265782,-0.744343,0.430263,0.481000,128,4,34,2000,2000
r_content,q_L,crossed,0.841741,0.129343,0.935423,0.029382,128,4,34,2000,1974
r_content,q_K,crossed,0.513483,-0.168368,0.858055,0.168421,128,4,34,2000,1995
r_content,rmfs_tau_0.025,crossed,0.462839,-0.351775,0.784915,0.185000,128,4,34,2000,2000
r_content,rmfs_tau_0.05,crossed,0.482152,-0.358489,0.786719,0.179000,128,4,34,2000,2000
r_content,rmfs_tau_0.1,crossed,0.545127,-0.315624,0.807016,0.160000,128,4,34,2000,2000
r_content,rmfs_tau_0.2,crossed,0.603770,-0.193657,0.824950,0.121000,128,4,34,2000,2000
r_content,rmfs_tau_0.5,crossed,0.623117,-0.058005,0.827061,0.071000,128,4,34,2000,2000
r_content,rmfs_tau_1,crossed,0.616027,-0.021729,0.824083,0.057000,128,4,34,2000,2000
r_content,rmfs_no_T,crossed,0.744117,-0.001625,0.907964,0.051128,128,4,34,2000,1995
r_content,rmfs_no_L,crossed,0.457008,-0.361444,0.748869,0.180000,128,4,34,2000,2000
r_content,rmfs_no_K,crossed,0.167420,-0.494087,0.598535,0.479000,128,4,34,2000,2000
