target,held_out_model,candidate,rho,n_models
alpha,EuroLLM-1.7B,q_T,0.039725,13
alpha,EuroLLM-1.7B,q_L,0.140835,13
alpha,EuroLLM-1.7B,q_K,-0.011734,13
alpha,EuroLLM-1.7B,rmfs_tau_0.025,0.093772,13
alpha,EuroLLM-1.7B,rmfs_tau_0.05,0.087846,13
alpha,EuroLLM-1.7B,rmfs_tau_0.1,0.088876,13
alpha,EuroLLM-1.7B,rmfs_tau_0.2,0.084627,13
alpha,EuroLLM-1.7B,rmfs_tau_0.5,0.078830,13
alpha,EuroLLM-1.7B,rmfs_tau_1,0.078221,13
alpha,EuroLLM-1.7B,rmfs_no_T,0.100112,13
alpha,EuroLLM-1.7B,rmfs_no_L,0.037269,13
alpha,EuroLLM-1.7B,rmfs_no_K,0.115391,13
alpha,EuroLLM-1.7B,component_mean,0.077348,13
alpha,Falcon3-7B-Base,q_T,0.000511,13
alpha,Falcon3-7B-Base,q_L,0.160106,13
alpha,Falcon3-7B-Base,q_K,-0.031364,13
alpha,Falcon3-7B-Base,rmfs_tau_0.025,0.067988,13
alpha,Falcon3-7B-Base,rmfs_tau_0.05,0.066605,13
alpha,Falcon3-7B-Base,rmfs_tau_0.1,0.063631,13
alpha,Falcon3-7B-Base,rmfs_tau_0.2,0.053475,13
alpha,Falcon3-7B-Base,rmfs_tau_0.5,0.043747,13
alpha,Falcon3-7B-Base,rmfs_tau_1,0.042607,13
alpha,Falcon3-7B-Base,rmfs_no_T,0.119812,13
alpha,Falcon3-7B-Base,rmfs_no_L,-0.012648,13
alpha,Falcon3-7B-Base,rmfs_no_K,0.085897,13
alpha,Falcon3-7B-Base,component_mean,0.040056,13
alpha,Mistral-7B-v0.3,q_T,0.010434,13
alpha,Mistral-7B-v0.3,q_L,0.156112,13
alpha,Mistral-7B-v0.3,q_K,-0.042147,13
alpha,Mistral-7B-v0.3,rmfs_tau_0.025,0.041289,13
alpha,Mistral-7B-v0.3,rmfs_tau_0.05,0.043407,13
alpha,Mistral-7B-v0.3,rmfs_tau_0.1,0.045199,13
alpha,Mistral-7B-v0.3,rmfs_tau_0.2,0.039465,13
alpha,Mistral-7B-v0.3,rmfs_tau_0.5,0.032742,13
