ckpt,family,seed,panel_acc,eng_acc,mexa,aar,q_L,C_pres,q_K_med,panel_stat,rmfs_int,q_T
ckpt_armB_seed0,armB,0,0.3978,0.5311,0.4929,-0.0644,0.6462,0.9586,0.2000,0.3087,0.1292,0.0059
ckpt_armB_seed1,armB,1,0.3889,0.5289,0.4939,-0.0669,0.6496,0.9644,0.2000,0.3087,0.1258,0.0000
ckpt_armB_seed2,armB,2,0.3825,0.5256,0.4998,-0.0625,0.6480,0.9732,0.2000,0.3087,0.1258,0.0000
ckpt_armCS-B_s2000_seed0,armCS-B_s2000,0,0.3574,0.5344,0.4928,-0.0669,0.6562,0.8686,0.2000,0.3087,0.1423,0.0518
ckpt_armCS-B_s2000_seed1,armCS-B_s2000,1,0.3536,0.5267,0.4914,-0.0654,0.6565,0.8779,0.2000,0.3087,0.1258,0.0061
ckpt_armCS-B_s2000_seed2,armCS-B_s2000,2,0.3744,0.5444,0.5002,-0.0620,0.6577,0.8785,0.2000,0.3087,0.1454,0.0295
ckpt_armCS-B_seed0,armCS-B,0,0.3872,0.5078,0.4849,-0.0635,0.6467,0.9461,0.2000,0.3087,0.1302,0.0129
ckpt_armCS-B_seed1,armCS-B,1,0.3941,0.5422,0.4791,-0.0672,0.6526,0.9878,0.2000,0.3087,0.1384,0.0318
ckpt_armCS-B_seed2,armCS-B,2,0.3866,0.5078,0.4782,-0.0615,0.6521,0.9745,0.2000,0.3087,0.1313,0.0201
ckpt_armCS-P25_s2000_seed0,armCS-P25_s2000,0,0.3599,0.5189,0.4850,-0.0645,0.6568,0.8938,0.2000,0.3087,0.1734,0.1125
ckpt_armCS-P25_s2000_seed1,armCS-P25_s2000,1,0.3594,0.5100,0.4822,-0.0640,0.6578,0.9062,0.2000,0.3088,0.1489,0.0648
ckpt_armCS-P25_s2000_seed2,armCS-P25_s2000,2,0.3573,0.5067,0.4841,-0.0629,0.6571,0.8994,0.2000,0.3087,0.1379,0.0522
ckpt_armCS-P25_seed0,armCS-P25,0,0.3824,0.5167,0.4764,-0.0643,0.6476,0.9578,0.2000,0.3087,0.1695,0.0793
