model,flores_code,mexa_shared,aar_shared,q_L,r_content,log_tokens,macro_family_g,script_g,fertility,acc_native,acc_trans,acc
Qwen3-0.6B-Base,fin_Latn,0.2673333333333333,-0.09429243915019517,0.2858426657658817,,10.461273505456898,Uralic,Latn,1.7471,0.35571687840290384,0.39,0.3728584392014519
Qwen3-0.6B-Base,hin_Deva,0.138,-0.11615133266336611,0.2858426657658817,0.4211705730458695,10.225085947081105,Indo-European,Deva,4.2175,0.396709323583181,0.36666666666666664,0.3816879951249238
Qwen3-0.6B-Base,ita_Latn,0.9206666666666666,0.010226621390872414,0.2858426657658817,0.7153717927322304,11.218657350111846,Indo-European,Latn,1.3051,0.46167883211678834,0.58,0.5208394160583941
Qwen3-0.6B-Base,khm_Khmr,0.005333333333333333,-0.14797100041165318,0.2858426657658817,0.2871942040471673,8.873125289337338,other,other,5.2412,,0.30666666666666664,0.30666666666666664
Qwen3-0.6B-Base,lvs_Latn,0.19066666666666668,-0.09647380100795133,0.2858426657658817,,9.894602930159628,Balto-Slavic,Latn,2.1688,,0.42,0.42
Qwen3-0.6B-Base,npi_Deva,0.035333333333333335,-0.12030528026355754,0.2858426657658817,,9.314204818644845,Indo-European,Deva,4.2745,,0.31666666666666665,0.31666666666666665
Qwen3-0.6B-Base,pol_Latn,0.658,-0.05481933929759846,0.2858426657658817,0.5086686142059015,11.069183544489329,Balto-Slavic,Latn,1.7446,0.38321167883211676,0.5,0.44160583941605835
Qwen3-0.6B-Base,slv_Latn,0.41,-0.09412356138120352,0.2858426657658817,,9.903501694149961,Balto-Slavic,Latn,1.791,,0.4633333333333333,0.4633333333333333
Qwen3-0.6B-Base,swe_Latn,0.7813333333333333,-0.05005208762819452,0.2858426657658817,0.5984991709826473,10.585304823582218,Indo-European,Latn,1.4982,,0.4766666666666667,0.4766666666666667
Qwen3-0.6B-Base,afr_Latn,0.5613333333333334,-0.06646493172512355,0.2858426657658817,,9.04883387717687,Indo-European,Latn,1.4949,,0.4633333333333333,0.4633333333333333
