model,estimator,n_layers_measured,min_layer,relative_min_depth,first,minimum,last,left_endpoint_lift,right_endpoint_lift,interior_minimum,both_endpoints_above_minimum,source,source_sha256
EuroLLM-1.7B,direct_ss,25,14,0.58333333,0.95067262,0.85386574,0.93651254,0.09680688,0.08264680,True,True,/home/wkhan12/multilingual-metrics/results/grid/EuroLLM-1.7B/metrics.json,85fa449597db7ea287796343bfec0b314456bbaf0e5176ed5033def282f5c106
Falcon3-7B-Base,direct_ss,29,13,0.46428571,0.96672212,0.82631865,0.96197885,0.14040347,0.13566020,True,True,/home/wkhan12/multilingual-metrics/results/grid/Falcon3-7B-Base/metrics.json,64f7584b29f19b92525b706fa4bd2c345565cc8e2d6b3bccec0733470de19377
Llama-3.1-8B,direct_ss,33,14,0.43750000,0.96111006,0.62609384,0.93568996,0.33501622,0.30959612,True,True,/home/wkhan12/multilingual-metrics/results/grid/Llama-3.1-8B/metrics.json,b79d9d2958d87891a6b16fe2a767e0759bbc7de81005e775032f94959a988c46
Mistral-7B-v0.3,direct_ss,33,2,0.06250000,0.95644914,0.74431499,0.96282516,0.21213415,0.21851017,True,True,/home/wkhan12/multilingual-metrics/results/grid/Mistral-7B-v0.3/metrics.json,2c842f881338fc26235b4c78debc16af5e5378603c643d9ead02ae7cb7df4ce8
OLMo-2-0425-1B,direct_ss,17,9,0.56250000,0.97993989,0.90290972,0.95818006,0.07703017,0.05527035,True,True,/home/wkhan12/multilingual-metrics/results/grid/OLMo-2-0425-1B/metrics.json,0564b9d7f111b24734f24af3c47b8c2bca61df50308c2960bb5f2c75ffb5b5fc
OLMo-2-1124-7B,direct_ss,33,12,0.37500000,0.98053907,0.84603049,0.95563890,0.13450858,0.10960840,True,True,/home/wkhan12/multilingual-metrics/results/grid/OLMo-2-1124-7B/metrics.json,10fb4118234481d8ad85ae5998b95c119f5050cc4c5748f371cf9a760f5ae480
Qwen3-0.6B-Base,direct_ss,29,8,0.28571429,0.93340918,0.72753246,0.95849048,0.20587672,0.23095802,True,True,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-0.6B-Base/metrics.json,3ead482ea1c535594148b8fff9ddc9f8f1c1099fe43a4ae17d6c2a8f42ff4285
Qwen3-1.7B-Base,direct_ss,29,13,0.46428571,0.92741846,0.71454703,0.96045920,0.21287143,0.24591217,True,True,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-1.7B-Base/metrics.json,ce00d0f9efb019d51fbfa923fb53c3dd7557a6ff3d42ff08a66e4058a302da03
Qwen3-4B-Base,direct_ss,37,17,0.47222222,0.91648819,0.60216595,0.95594832,0.31432224,0.35378237,True,True,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-4B-Base/metrics.json,f10ad618c1b51f89dbecca93d546238b2b24518f6b7dd28296fbd82ef8c34dea
Qwen3-8B-Base,direct_ss,37,19,0.52777778,0.94472374,0.60835968,0.95833587,0.33636406,0.34997619,True,True,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-8B-Base/metrics.json,0f53f6f775382b4b89a30c1698bbe21bdf2712379086ff1edd38e653ac8bce21
SmolLM2-1.7B,direct_ss,25,15,0.62500000,0.97216684,0.90398847,0.97298255,0.06817837,0.06899408,True,True,/home/wkhan12/multilingual-metrics/results/grid/SmolLM2-1.7B/metrics.json,01073d36890c36be755e103e4c3a3d638ada9e14330d20643a6ccde199a25d1b
Yi-1.5-9B,direct_ss,49,20,0.41666667,0.97322759,0.86036934,0.96317408,0.11285825,0.10280474,True,True,/home/wkhan12/multilingual-metrics/results/grid/Yi-1.5-9B/metrics.json,e140f3e5e489e3c9906852c835f98ef2a8aa2a9f1d60feabfd970cf4e7ae9771
bloom-1b7,direct_ss,25,14,0.58333333,0.93780261,0.89869166,0.94845244,0.03911094,0.04976078,True,True,/home/wkhan12/multilingual-metrics/results/grid/bloom-1b7/metrics.json,540ca75bb228dcfa9a30a099db7dd25351cec771e120388a427a486add8a7378
bloom-7b1,direct_ss,31,17,0.56666667,0.92741036,0.88445093,0.95339004,0.04295943,0.06893910,True,True,/home/wkhan12/multilingual-metrics/results/grid/bloom-7b1/metrics.json,69e81d945335706cac78be6eebd27d6c5d8ad8f0648c3d144bfbf571d3d1968d
granite-3.1-8b-base,direct_ss,41,14,0.35000000,0.89843043,0.70874455,0.96904019,0.18968588,0.26029564,True,True,/home/wkhan12/multilingual-metrics/results/grid/granite-3.1-8b-base/metrics.json,ad7fbccc1686a4a39a80edd359a6d847feacdc2bbd656a9bcd8a218661d24c0f
salamandra-2b,direct_ss,25,6,0.25000000,0.96568981,0.71171682,0.93534995,0.25397299,0.22363313,True,True,/home/wkhan12/multilingual-metrics/results/grid/salamandra-2b/metrics.json,063f6c0edcfa99992e65b75f358fbbe4d072f88bb8c0ce5fcd6979485accd0ab
salamandra-7b,direct_ss,33,18,0.56250000,0.96334466,0.78352473,0.93802981,0.17981994,0.15450509,True,True,/home/wkhan12/multilingual-metrics/results/grid/salamandra-7b/metrics.json,8f853ea5a5937b1665d38c95539051205b0c3d40b02ed239d5a334fad5ecc8d9
Falcon3-3B-Base,reml_lfs_vc,23,11,0.50000000,0.97888589,0.87835554,0.97248648,0.10053035,0.09413094,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Falcon3-3B-Base/result.json,a87339b69b891201fe65a2f15795766d8942c02a14a91257fbc1aa4748a78122
Llama-3.1-8B,reml_lfs_vc,33,14,0.43750000,0.96621070,0.47948234,0.88293734,0.48672836,0.40345500,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Llama-3.1-8B/result.json,163fbd76ffbdacc8b6269154a19b52d17688b38f28c09aa73ccc2978f1abef90
Mistral-Nemo-Base-2407,reml_lfs_vc,41,13,0.32500000,0.90702497,0.37676042,0.82157113,0.53026455,0.44481071,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Mistral-Nemo-Base-2407/result.json,bd7dd62d22fdf2c149e4d820ac4fda5373da0aec13b0cc742b147bee7efc73ad
OLMo-2-1124-13B,reml_lfs_vc,41,19,0.47500000,0.98470795,0.74042871,0.91562462,0.24427924,0.17519590,True,True,/home/wkhan12/rmfs/results/runs/new_readings_OLMo-2-1124-13B/result.json,ba3894ab6b2cb29e755c80ee5f01c3ea32990feede2147a5afdf82e78b501c0a
Qwen2.5-0.5B,reml_lfs_vc,25,11,0.45833333,0.90910226,0.62863897,0.93534608,0.28046328,0.30670710,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Qwen2.5-0.5B/result.json,3f2377caaa6e667dc46ccebe9d8cf955f4866238a9e85ba75d2187e9a6615b51
Qwen2.5-1.5B,reml_lfs_vc,29,15,0.53571429,0.92339144,0.52060361,0.93860097,0.40278782,0.41799736,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Qwen2.5-1.5B/result.json,fdd95ef4e8a5f9756c7b437f35050de612e31291c1f41547e62cf8843bac36b3
Qwen2.5-3B,reml_lfs_vc,37,19,0.52777778,0.92376556,0.53913714,0.93180919,0.38462842,0.39267205,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Qwen2.5-3B/result.json,dab807ac26f042dfc43ca937635e7e5d20e3355d575a36fa3b4e0e6c3f586b4c
Qwen2.5-7B,reml_lfs_vc,29,14,0.50000000,0.95323335,0.50107981,0.91126042,0.45215354,0.41018061,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Qwen2.5-7B/result.json,1c4e8ed7f24e8d00a9414e247fb31abacc1faaba77f777b96dcf66a1daca1358
Sailor-1.8B,reml_lfs_vc,25,11,0.45833333,0.95101370,0.82503853,0.95563131,0.12597518,0.13059278,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Sailor-1.8B/result.json,a93091c9f2765c48077c1cf63ddd84cf9c16744f0862951a09c80b9a5349887a
Sailor-7B,reml_lfs_vc,33,14,0.43750000,0.93420810,0.65568204,0.95380789,0.27852606,0.29812585,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Sailor-7B/result.json,cc97734af406675b7dc58a1d0a829854912d848772416bb89b4b0040a4ba612d
SmolLM2-360M,reml_lfs_vc,33,20,0.62500000,0.97933821,0.87365491,0.98258795,0.10568330,0.10893304,True,True,/home/wkhan12/rmfs/results/runs/new_readings_SmolLM2-360M/result.json,4b8e9b187d106588aab4c9ab48d8239268efb9144bf2753e0bae8016b67b08cd
TowerBase-7B,reml_lfs_vc,33,2,0.06250000,0.97421590,0.66488389,0.94332394,0.30933201,0.27844005,True,True,/home/wkhan12/rmfs/results/runs/new_readings_TowerBase-7B/result.json,fca98b462a7eb48009e7d000b53c1f9428c498ff71ce73b0840df267e051b73e
Yi-1.5-9B,reml_lfs_vc,49,20,0.41666667,0.98436728,0.80312487,0.95016317,0.18124241,0.14703830,True,True,/home/wkhan12/rmfs/results/runs/new_readings_Yi-1.5-9B/result.json,7c4d649ee639718c514f4db90b8e0c54a56d0e9170cf0e1018f4cfdbd69508e7
granite-3.1-8b-base,reml_lfs_vc,41,15,0.37500000,0.91082284,0.65479749,0.95827354,0.25602535,0.30347604,True,True,/home/wkhan12/rmfs/results/runs/new_readings_granite-3.1-8b-base/result.json,7467cbee227c254c166128a8503b240d4a7a7726531c3a3150b58d391010bb61
mGPT,reml_lfs_vc,25,12,0.50000000,0.95028025,0.44420904,0.76723329,0.50607121,0.32302426,True,True,/home/wkhan12/rmfs/results/runs/new_readings_mGPT/result.json,67d68fcc34495c56d12bf1e2bd5c1a1a6775738aa1abee440bebda509c4f1e24
occiglot-7b-eu5,reml_lfs_vc,33,2,0.06250000,0.96897559,0.69875248,0.96754148,0.27022311,0.26878900,True,True,/home/wkhan12/rmfs/results/runs/new_readings_occiglot-7b-eu5/result.json,ec85eed7030a8d5c0fb361c7c3b15fa131488b15450dc9a445f32cd84ac4adfd
xglm-1.7B,reml_lfs_vc,25,13,0.54166667,0.94361468,0.78253839,0.98697109,0.16107629,0.20443270,True,True,/home/wkhan12/rmfs/results/runs/new_readings_xglm-1.7B/result.json,73cdf3ddff1e4f704c253a9b7e50d6b729450f017ec89c6864db6557252cbdef
xglm-2.9B,reml_lfs_vc,49,21,0.43750000,0.93601351,0.77006982,0.98124683,0.16594368,0.21117700,True,True,/home/wkhan12/rmfs/results/runs/new_readings_xglm-2.9B/result.json,d37e25ae891a1e2de3d093caa4c9efca43d4640e1da0ce84c8ae85eeb3a86aef
xglm-7.5B,reml_lfs_vc,33,21,0.65625000,0.78989015,0.71773816,0.84982437,0.07215198,0.13208621,True,True,/home/wkhan12/rmfs/results/runs/new_readings_xglm-7.5B/result.json,cbc1558fa107ed8c92af5c61c8b4228a873c5eb17951e34a28d9bcd512d1b684
