model,n_languages,latent_beats_english,fraction,median_advantage,source
EuroLLM-1.7B,127,124,0.97637795,0.07844126,/home/wkhan12/multilingual-metrics/results/grid/EuroLLM-1.7B/metrics.json
Falcon3-7B-Base,127,119,0.93700787,0.15059698,/home/wkhan12/multilingual-metrics/results/grid/Falcon3-7B-Base/metrics.json
Llama-3.1-8B,127,124,0.97637795,0.09527779,/home/wkhan12/multilingual-metrics/results/grid/Llama-3.1-8B/metrics.json
Mistral-7B-v0.3,127,124,0.97637795,0.12701273,/home/wkhan12/multilingual-metrics/results/grid/Mistral-7B-v0.3/metrics.json
OLMo-2-0425-1B,127,124,0.97637795,0.16214633,/home/wkhan12/multilingual-metrics/results/grid/OLMo-2-0425-1B/metrics.json
OLMo-2-1124-7B,127,124,0.97637795,0.13619381,/home/wkhan12/multilingual-metrics/results/grid/OLMo-2-1124-7B/metrics.json
Qwen3-0.6B-Base,127,124,0.97637795,0.11286891,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-0.6B-Base/metrics.json
Qwen3-1.7B-Base,127,124,0.97637795,0.09874165,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-1.7B-Base/metrics.json
Qwen3-4B-Base,127,124,0.97637795,0.10120130,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-4B-Base/metrics.json
Qwen3-8B-Base,127,124,0.97637795,0.10170591,/home/wkhan12/multilingual-metrics/results/grid/Qwen3-8B-Base/metrics.json
SmolLM2-1.7B,127,124,0.97637795,0.13933361,/home/wkhan12/multilingual-metrics/results/grid/SmolLM2-1.7B/metrics.json
Yi-1.5-9B,127,122,0.96062992,0.14504874,/home/wkhan12/multilingual-metrics/results/grid/Yi-1.5-9B/metrics.json
bloom-1b7,127,113,0.88976378,0.06265163,/home/wkhan12/multilingual-metrics/results/grid/bloom-1b7/metrics.json
bloom-7b1,127,114,0.89763780,0.12070096,/home/wkhan12/multilingual-metrics/results/grid/bloom-7b1/metrics.json
granite-3.1-8b-base,127,123,0.96850394,0.12568730,/home/wkhan12/multilingual-metrics/results/grid/granite-3.1-8b-base/metrics.json
salamandra-2b,127,122,0.96062992,0.07994998,/home/wkhan12/multilingual-metrics/results/grid/salamandra-2b/metrics.json
salamandra-7b,127,124,0.97637795,0.09270531,/home/wkhan12/multilingual-metrics/results/grid/salamandra-7b/metrics.json
