model,RMFS,lo,hi,q_L_pct
Qwen3-8B-Base,90.48,88.10,97.62,92.86
Qwen3-4B-Base,85.71,77.38,89.29,100.00
Qwen3-1.7B-Base,73.81,60.71,76.19,78.57
salamandra-7b,69.05,57.14,80.95,57.14
bloom-7b1,54.76,42.86,73.81,28.57
Qwen3-0.6B-Base,54.76,50.00,59.52,64.29
Falcon3-7B-Base,50.00,45.24,54.76,50.00
OLMo-2-1124-7B,50.00,42.86,59.52,42.86
EuroLLM-1.7B,45.24,35.71,73.81,35.71
bloom-1b7,42.86,27.38,59.52,21.43
SmolLM2-1.7B,35.71,30.95,40.48,14.29
salamandra-2b,35.71,33.33,44.05,85.71
Mistral-7B-v0.3,33.33,33.33,38.10,71.43
OLMo-2-0425-1B,28.57,19.05,38.10,7.14
