model,mode,layer,rmfs_median,rmfs_mean,n_defined,n_undefined,n_saturated,q_T_median,q_L,q_C,q_K_median
Qwen3-0.6B-Base,observational,8,0.1079,0.1245,38,2,0,0.0190,0.2858,,0.2000
Qwen3-1.7B-Base,observational,13,0.2052,0.1969,40,0,0,0.1605,0.2938,,0.2000
Qwen3-4B-Base,observational,17,0.1653,0.1696,40,0,0,0.0853,0.4135,,0.2000
Qwen3-8B-Base,observational,19,0.1523,0.1484,40,0,0,0.0659,0.4040,,0.2000
OLMo-2-0425-1B,observational,9,0.0631,0.0628,34,6,0,0.1495,0.0989,,0.0000
OLMo-2-1124-7B,observational,12,0.0403,0.0417,38,2,0,0.0230,0.1561,,0.0000
bloom-1b7,observational,14,0.0694,0.0859,35,5,12,0.0000,0.1011,,0.2000
bloom-7b1,observational,17,0.0859,0.1002,38,2,6,0.0240,0.1158,,0.2000
EuroLLM-1.7B,observational,14,0.2071,0.1845,35,5,0,0.4382,0.1469,,0.2000
SmolLM2-1.7B,observational,15,0.1467,0.1386,37,3,0,0.1556,0.0995,,0.2000
Falcon3-7B-Base,observational,13,0.0329,0.0451,36,4,9,0.0000,0.1836,,0.0000
Mistral-7B-v0.3,observational,2,0.2242,0.2395,38,2,0,0.1804,0.2885,,0.2000
salamandra-2b,observational,6,0.2027,0.2107,35,5,2,0.1817,0.3489,,0.2000
salamandra-7b,observational,18,0.1960,0.1621,38,2,0,0.1672,0.2220,,0.2000
ckpt_armB_seed0,intervention,8,0.1292,0.1678,39,1,2,0.0059,0.6462,0.9586,0.2000
ckpt_armB_seed1,intervention,8,0.1258,0.1586,39,1,5,0.0000,0.6496,0.9644,0.2000
ckpt_armB_seed2,intervention,8,0.1258,0.1632,39,1,3,0.0000,0.6480,0.9732,0.2000
ckpt_armCS-B_s2000_seed0,intervention,8,0.1423,0.1907,38,2,0,0.0518,0.6562,0.8686,0.2000
ckpt_armCS-B_s2000_seed1,intervention,8,0.1258,0.1673,39,1,2,0.0061,0.6565,0.8779,0.2000
ckpt_armCS-B_s2000_seed2,intervention,8,0.1454,0.1704,38,2,1,0.0295,0.6577,0.8785,0.2000
ckpt_armCS-B_seed0,intervention,8,0.1302,0.1672,39,1,1,0.0129,0.6467,0.9461,0.2000
ckpt_armCS-B_seed1,intervention,8,0.1384,0.1719,39,1,0,0.0318,0.6526,0.9878,0.2000
ckpt_armCS-B_seed2,intervention,8,0.1313,0.1711,39,1,1,0.0201,0.6521,0.9745,0.2000
ckpt_armCS-P25_s2000_seed0,intervention,8,0.1734,0.2215,39,1,0,0.1125,0.6568,0.8938,0.2000
ckpt_armCS-P25_s2000_seed1,intervention,8,0.1489,0.1923,38,2,0,0.0648,0.6578,0.9062,0.2000
ckpt_armCS-P25_s2000_seed2,intervention,8,0.1379,0.1986,39,1,1,0.0522,0.6571,0.8994,0.2000
ckpt_armCS-P25_seed0,intervention,8,0.1695,0.1987,39,1,0,0.0793,0.6476,0.9578,0.2000
ckpt_armCS-P25_seed1,intervention,8,0.1839,0.2035,39,1,1,0.0848,0.6519,0.9787,0.2000
ckpt_armCS-P25_seed2,intervention,8,0.1298,0.1837,39,1,3,0.0388,0.6508,0.9682,0.2000
ckpt_armCS-W10_s2000_seed0,intervention,8,0.1258,0.1698,38,2,0,0.0098,0.6574,0.8778,0.2000
ckpt_armCS-W10_s2000_seed1,intervention,8,0.1417,0.1640,38,2,0,0.0294,0.6562,0.9135,0.2000
ckpt_armCS-W10_s2000_seed2,intervention,8,0.1666,0.1931,38,2,0,0.0638,0.6558,0.8851,0.2000
ckpt_armCS-W10_seed0,intervention,8,0.1777,0.1987,39,1,0,0.0743,0.6532,0.9756,0.2000
ckpt_armCS-W10_seed1,intervention,8,0.1397,0.1805,39,1,0,0.0349,0.6514,0.9620,0.2000
ckpt_armCS-W10_seed2,intervention,8,0.1484,0.1930,39,1,1,0.0615,0.6526,0.9844,0.2000
ckpt_armCS-W25_s2000_seed0,intervention,8,0.1416,0.1925,38,2,0,0.0675,0.6552,0.8957,0.2000
ckpt_armCS-W25_s2000_seed1,intervention,8,0.1627,0.2023,38,2,0,0.0842,0.6557,0.9189,0.2000
ckpt_armCS-W25_s2000_seed2,intervention,8,0.1751,0.2004,38,2,0,0.0888,0.6576,0.9109,0.2000
ckpt_armCS-W25_seed0,intervention,8,0.1260,0.1724,39,1,0,0.0161,0.6475,0.9475,0.2000
ckpt_armCS-W25_seed1,intervention,8,0.1437,0.1877,39,1,1,0.0357,0.6504,0.9854,0.2000
ckpt_armCS-W25_seed2,intervention,8,0.1258,0.1711,38,2,1,0.0000,0.6514,0.9822,0.2000
ckpt_armCS-W50_s2000_seed0,intervention,8,0.1263,0.1890,39,1,0,0.0596,0.6537,0.9097,0.2000
ckpt_armCS-W50_s2000_seed1,intervention,8,0.1331,0.1826,38,2,1,0.0465,0.6537,0.9111,0.2000
ckpt_armCS-W50_s2000_seed2,intervention,8,0.1258,0.1768,39,1,2,0.0103,0.6515,0.8963,0.2000
ckpt_armCS-W50_seed0,intervention,8,0.1575,0.1844,39,1,0,0.0528,0.6476,0.9662,0.2000
ckpt_armCS-W50_seed1,intervention,8,0.1626,0.1836,39,1,0,0.0625,0.6506,0.9898,0.2000
ckpt_armCS-W50_seed2,intervention,8,0.1533,0.1786,39,1,0,0.0422,0.6502,0.9762,0.2000
ckpt_armC_seed0,intervention,8,0.1259,0.1495,39,1,0,0.0000,0.7534,0.9529,0.2000
ckpt_armC_seed1,intervention,8,0.1384,0.1667,39,1,0,0.0143,0.7378,0.9620,0.2000
ckpt_armC_seed2,intervention,8,0.1259,0.1524,38,2,0,0.0000,0.7196,0.9279,0.2000
ckpt_armD_seed0,intervention,8,0.2341,0.2284,39,1,0,0.1550,0.6624,0.3343,0.2000
ckpt_armD_seed1,intervention,8,0.1277,0.1676,39,1,4,0.0007,0.6626,0.3209,0.2000
ckpt_armD_seed2,intervention,8,0.1766,0.1895,39,1,1,0.0788,0.6450,0.2661,0.2000
ckpt_armE_cvp100_seed0,intervention,8,0.1468,0.1891,39,1,3,0.0243,0.6581,1.0000,0.2000
ckpt_armE_cvp100_seed1,intervention,8,0.1385,0.1876,39,1,6,0.0000,0.6593,1.0000,0.2000
ckpt_armE_cvp100_seed2,intervention,8,0.2232,0.2261,39,1,3,0.1119,0.6605,1.0000,0.2000
ckpt_armE_cvp10_seed0,intervention,8,0.1598,0.1958,39,1,4,0.0397,0.6605,0.9868,0.2000
ckpt_armE_cvp10_seed1,intervention,8,0.1311,0.1781,39,1,13,0.0000,0.6607,0.9486,0.2000
ckpt_armE_cvp10_seed2,intervention,8,0.2117,0.2201,39,1,5,0.1065,0.6623,0.9737,0.2000
ckpt_armE_cvp1k_seed0,intervention,8,0.1479,0.1859,39,1,4,0.0255,0.6571,1.0000,0.2000
ckpt_armE_cvp1k_seed1,intervention,8,0.1382,0.1787,39,1,6,0.0000,0.6603,1.0000,0.2000
ckpt_armE_cvp1k_seed2,intervention,8,0.2348,0.2269,39,1,7,0.1165,0.6560,1.0000,0.2000
ckpt_armE_seed0,intervention,8,0.1920,0.2068,39,1,2,0.0780,0.6650,0.8721,0.2000
ckpt_armE_seed1,intervention,8,0.1321,0.1806,39,1,8,0.0000,0.6689,0.8622,0.2000
ckpt_armE_seed2,intervention,8,0.2236,0.2223,39,1,8,0.1196,0.6635,0.8684,0.2000
ckpt_armF_seed0,intervention,8,0.1259,0.1807,39,1,6,0.0000,0.7677,0.9771,0.2000
ckpt_armF_seed1,intervention,8,0.2145,0.2177,39,1,1,0.0962,0.7511,0.9787,0.2000
ckpt_armF_seed2,intervention,8,0.1845,0.2233,39,1,4,0.0701,0.7416,1.0000,0.2000
ckpt_armG_tail_seed0,intervention,8,0.1859,0.2024,39,1,3,0.0720,0.6559,0.9867,0.2000
ckpt_armG_tail_seed1,intervention,8,0.1258,0.1733,39,1,7,0.0000,0.6600,1.0000,0.2000
ckpt_armG_tail_seed2,intervention,8,0.2192,0.2214,39,1,4,0.1120,0.6611,1.0000,0.2000
ckpt_armWA-B_seed0,intervention,8,0.1258,0.1413,38,2,14,0.0000,0.6478,1.0000,0.2000
ckpt_armWA-B_seed1,intervention,8,0.1258,0.1375,38,2,6,0.0000,0.6486,1.0000,0.2000
