candidate,target,rho,ci_lo,ci_hi,p_boot,n_rows,n_langs
rmfs_obs,alpha,0.0389,-0.0453,0.1070,0.4360,522,40
texcl,alpha,0.0423,-0.0341,0.1152,0.3300,980,70
q_T,alpha,-0.0107,-0.1098,0.0710,0.6510,522,40
q_L,alpha,0.0670,-0.0216,0.1636,0.1430,980,70
q_K,alpha,-0.0290,-0.0874,0.0351,0.3950,980,70
lde,alpha,-0.0682,-0.1295,0.0136,0.1300,980,70
legacy_lfs,alpha,-0.0675,-0.1635,0.0214,0.1410,980,70
mexa_shared,alpha,0.2430,0.1721,0.2893,0.0005,966,69
aar_shared,alpha,0.0925,0.0174,0.1531,0.0130,966,69
mexa_leg,alpha,0.3058,0.2126,0.3555,0.0005,1173,69
aar10_leg,alpha,0.2089,0.0987,0.2721,0.0005,1173,69
rmfs_obs,r_content,0.5451,0.4204,0.6449,0.0005,128,34
texcl,r_content,0.6791,0.5937,0.8257,0.0005,152,38
q_T,r_content,-0.2658,-0.3838,-0.1123,0.0010,128,34
q_L,r_content,0.7634,0.6744,0.8836,0.0005,152,38
q_K,r_content,0.5477,0.4260,0.6807,0.0005,152,38
mexa_shared,r_content,0.7617,0.7160,0.8510,0.0005,152,38
rmfs_obs|orth_mexa,alpha,0.0253,-0.0534,0.0869,0.6290,522,40
texcl|orth_mexa,alpha,-0.0098,-0.0788,0.0672,0.7780,966,69
q_K|orth_mexa,alpha,-0.0355,-0.0875,0.0250,0.2550,966,69
lde|orth_mexa,alpha,-0.0382,-0.0939,0.0332,0.3480,966,69
